"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","NDSU12","SRR15146548","SRR3000884","SRR14766335","NDSU4","SRR14766329","SRR6502082","SRR14766451","SRR2994394","SRR10037243","SRR5928610","SRR5877168","SRR3000893","SRR1363292","SRR19431269"
"tcdA","","tRNA threonylcarbamoyladenosine dehydratase",581,581,1,1,2918,NA,NA,"",806,806,806,"KMJDPIGG_01207","EGKOAKEK_01048","EFNNPMIA_00304","EMDCPPMA_03416","MLOHFGPA_03114","LGNMAAMO_01933","NAFOOFAA_02604","JKFJINKE_00851","NNGIMOCL_00304","OAJCOHFM_01109","FCBEKDAD_01894","ABGDGJIO_00365","NNFNPJIH_03761","HECGGPDK_01099","KFNBBHOJ_01110"
"phsB","","Thiosulfate reductase electron transfer subunit PhsB",581,581,1,1,5729,NA,NA,"",578,578,578,"KMJDPIGG_03297","EGKOAKEK_03575","EFNNPMIA_03492","EMDCPPMA_04336","MLOHFGPA_00704","LGNMAAMO_02036","NAFOOFAA_03594","JKFJINKE_02104","NNGIMOCL_04135","OAJCOHFM_02751","FCBEKDAD_04089","ABGDGJIO_03624","NNFNPJIH_04274","HECGGPDK_03996","KFNBBHOJ_03240"
"amiD","","N-acetylmuramoyl-L-alanine amidase AmiD",581,581,1,1,4333,NA,NA,"",830,830,830,"KMJDPIGG_03532","EGKOAKEK_01768","EFNNPMIA_00798","EMDCPPMA_02684","MLOHFGPA_00384","LGNMAAMO_01634","NAFOOFAA_02936","JKFJINKE_02293","NNGIMOCL_01617","OAJCOHFM_01543","FCBEKDAD_00965","ABGDGJIO_00798","NNFNPJIH_01657","HECGGPDK_03242","KFNBBHOJ_01771"
"yheS","","putative ABC transporter ATP-binding protein YheS",581,581,1,1,1619,NA,NA,"",1907,1907,1907,"KMJDPIGG_02535","EGKOAKEK_02695","EFNNPMIA_02015","EMDCPPMA_00826","MLOHFGPA_04335","LGNMAAMO_00183","NAFOOFAA_00061","JKFJINKE_00014","NNGIMOCL_01597","OAJCOHFM_01912","FCBEKDAD_02624","ABGDGJIO_01951","NNFNPJIH_00981","HECGGPDK_01908","KFNBBHOJ_02698"
"sdhC","","Succinate dehydrogenase cytochrome b556 subunit",581,581,1,1,284,NA,NA,"",404,404,404,"KMJDPIGG_02043","EGKOAKEK_03897","EFNNPMIA_03898","EMDCPPMA_01870","MLOHFGPA_03807","LGNMAAMO_03960","NAFOOFAA_04140","JKFJINKE_03724","NNGIMOCL_04389","OAJCOHFM_03571","FCBEKDAD_00611","ABGDGJIO_03835","NNFNPJIH_04310","HECGGPDK_03168","KFNBBHOJ_04015"
"group_5375","","hypothetical protein",581,581,1,1,6017,NA,NA,"",698,698,698,"KMJDPIGG_02356","EGKOAKEK_02063","EFNNPMIA_01318","EMDCPPMA_02307","MLOHFGPA_02552","LGNMAAMO_02901","NAFOOFAA_01976","JKFJINKE_00934","NNGIMOCL_02525","OAJCOHFM_03009","FCBEKDAD_00840","ABGDGJIO_01434","NNFNPJIH_02002","HECGGPDK_01568","KFNBBHOJ_02179"
"rsmJ","","Ribosomal RNA small subunit methyltransferase J",581,581,1,1,1758,NA,NA,"",758,758,758,"KMJDPIGG_02668","EGKOAKEK_02562","EFNNPMIA_02148","EMDCPPMA_00959","MLOHFGPA_02808","LGNMAAMO_00050","NAFOOFAA_00194","JKFJINKE_00147","NNGIMOCL_01464","OAJCOHFM_02045","FCBEKDAD_00099","ABGDGJIO_01818","NNFNPJIH_00848","HECGGPDK_02041","KFNBBHOJ_02565"
"purM","","Phosphoribosylformylglycinamidine cyclo-ligase",581,581,1,1,4162,NA,NA,"",1037,1037,1037,"KMJDPIGG_02993","EGKOAKEK_02814","EFNNPMIA_02622","EMDCPPMA_01021","MLOHFGPA_01779","LGNMAAMO_00628","NAFOOFAA_00869","JKFJINKE_00747","NNGIMOCL_02168","OAJCOHFM_02369","FCBEKDAD_01034","ABGDGJIO_02670","NNFNPJIH_01420","HECGGPDK_02658","KFNBBHOJ_03012"
"malG","","Maltose/maltodextrin transport system permease protein MalG",581,581,1,1,2032,NA,NA,"",890,890,890,"KMJDPIGG_02495","EGKOAKEK_01924","EFNNPMIA_01180","EMDCPPMA_03356","MLOHFGPA_03051","LGNMAAMO_02982","NAFOOFAA_03397","JKFJINKE_03362","NNGIMOCL_02663","OAJCOHFM_03147","FCBEKDAD_03429","ABGDGJIO_01572","NNFNPJIH_02140","HECGGPDK_01428","KFNBBHOJ_02317"
"group_5379","","hypothetical protein",581,581,1,1,1493,NA,NA,"",497,497,497,"KMJDPIGG_02833","EGKOAKEK_02398","EFNNPMIA_02313","EMDCPPMA_03655","MLOHFGPA_01528","LGNMAAMO_03422","NAFOOFAA_03932","JKFJINKE_03193","NNGIMOCL_03944","OAJCOHFM_02209","FCBEKDAD_04618","ABGDGJIO_01654","NNFNPJIH_00684","HECGGPDK_02205","KFNBBHOJ_02399"
"pckA","","Phosphoenolpyruvate carboxykinase (ATP)",581,581,1,1,1661,NA,NA,"",206,1619,1614,"KMJDPIGG_02575","EGKOAKEK_02655","EFNNPMIA_02055","EMDCPPMA_00866","MLOHFGPA_03525","LGNMAAMO_00143","NAFOOFAA_00101","JKFJINKE_00054","NNGIMOCL_01557","OAJCOHFM_01952","FCBEKDAD_00006","ABGDGJIO_01911","NNFNPJIH_00941","HECGGPDK_01948","KFNBBHOJ_02658"
"fliT","","Flagellar protein FliT",581,581,1,1,4633,NA,NA,"",368,368,368,"KMJDPIGG_03984","EGKOAKEK_01498","EFNNPMIA_01068","EMDCPPMA_02758","MLOHFGPA_02063","LGNMAAMO_01253","NAFOOFAA_02238","JKFJINKE_02890","NNGIMOCL_01887","OAJCOHFM_01813","FCBEKDAD_01578","ABGDGJIO_01070","NNFNPJIH_03580","HECGGPDK_02299","KFNBBHOJ_01499"
"oxyR_3","","Hydrogen peroxide-inducible genes activator",581,581,1,1,2151,NA,NA,"",917,917,917,"KMJDPIGG_04218","EGKOAKEK_04066","EFNNPMIA_04190","EMDCPPMA_02198","MLOHFGPA_02311","LGNMAAMO_03727","NAFOOFAA_02654","JKFJINKE_03076","NNGIMOCL_03288","OAJCOHFM_04067","FCBEKDAD_03213","ABGDGJIO_04271","NNFNPJIH_03212","HECGGPDK_03802","KFNBBHOJ_04186"
"yjiG","","Inner membrane protein YjiG",581,581,1,1,6157,NA,NA,"",461,461,461,"KMJDPIGG_02223","EGKOAKEK_02196","EFNNPMIA_01451","EMDCPPMA_01420","MLOHFGPA_02666","LGNMAAMO_01884","NAFOOFAA_04029","JKFJINKE_04159","NNGIMOCL_02835","OAJCOHFM_03637","FCBEKDAD_03522","ABGDGJIO_01301","NNFNPJIH_03026","HECGGPDK_01701","KFNBBHOJ_02046"
"yohK_2","","Inner membrane protein YohK",581,581,1,1,5906,NA,NA,"",695,695,695,"KMJDPIGG_03418","EGKOAKEK_03454","EFNNPMIA_03613","EMDCPPMA_01270","MLOHFGPA_00825","LGNMAAMO_00884","NAFOOFAA_01391","JKFJINKE_00558","NNGIMOCL_02957","OAJCOHFM_02872","FCBEKDAD_01393","ABGDGJIO_03745","NNFNPJIH_03150","HECGGPDK_03429","KFNBBHOJ_03361"
"nrdH","","Glutaredoxin-like protein NrdH",581,581,1,1,3137,NA,NA,"",245,245,245,"KMJDPIGG_01396","EGKOAKEK_00859","EFNNPMIA_00115","EMDCPPMA_00724","MLOHFGPA_03759","LGNMAAMO_01586","NAFOOFAA_01830","JKFJINKE_00340","NNGIMOCL_00115","OAJCOHFM_01299","FCBEKDAD_00648","ABGDGJIO_00554","NNFNPJIH_02597","HECGGPDK_01287","KFNBBHOJ_01299"
"mug","","G/U mismatch-specific DNA glycosylase",581,581,1,1,2685,NA,NA,"",506,506,506,"KMJDPIGG_00979","EGKOAKEK_01276","EFNNPMIA_00532","EMDCPPMA_01925","MLOHFGPA_01414","LGNMAAMO_00652","NAFOOFAA_01721","JKFJINKE_02487","NNGIMOCL_00532","OAJCOHFM_00881","FCBEKDAD_00364","ABGDGJIO_00137","NNFNPJIH_01131","HECGGPDK_00871","KFNBBHOJ_00882"
"ydjJ","","putative zinc-type alcohol dehydrogenase-like protein YdjJ",581,581,1,1,5361,NA,NA,"",1043,1043,1043,"KMJDPIGG_00583","EGKOAKEK_00584","EFNNPMIA_03236","EMDCPPMA_00177","MLOHFGPA_01220","LGNMAAMO_03074","NAFOOFAA_00473","JKFJINKE_01138","NNGIMOCL_01174","OAJCOHFM_00584","FCBEKDAD_00197","ABGDGJIO_03313","NNFNPJIH_00053","HECGGPDK_00152","KFNBBHOJ_00583"
"glnA","","Glutamine synthetase",581,581,1,1,2221,NA,NA,"",1409,1409,1409,"KMJDPIGG_04096","EGKOAKEK_04188","EFNNPMIA_04068","EMDCPPMA_02076","MLOHFGPA_04197","LGNMAAMO_03352","NAFOOFAA_03525","JKFJINKE_02844","NNGIMOCL_03166","OAJCOHFM_03945","FCBEKDAD_02955","ABGDGJIO_04149","NNFNPJIH_03334","HECGGPDK_03680","KFNBBHOJ_04064"
"hemE","","Uroporphyrinogen decarboxylase",581,581,1,1,1530,NA,NA,"",1064,1064,1064,"KMJDPIGG_04554","EGKOAKEK_04473","EFNNPMIA_04545","EMDCPPMA_04522","MLOHFGPA_04307","LGNMAAMO_04335","NAFOOFAA_04469","JKFJINKE_04271","NNGIMOCL_04537","OAJCOHFM_04475","FCBEKDAD_04306","ABGDGJIO_04679","NNFNPJIH_04476","HECGGPDK_04572","KFNBBHOJ_04576"
"lpxL","","Lipid A biosynthesis lauroyltransferase",581,581,1,1,5505,NA,NA,"",920,920,920,"KMJDPIGG_00722","EGKOAKEK_00723","EFNNPMIA_03375","EMDCPPMA_00316","MLOHFGPA_01081","LGNMAAMO_01413","NAFOOFAA_00334","JKFJINKE_04407","NNGIMOCL_01313","OAJCOHFM_00723","FCBEKDAD_01279","ABGDGJIO_03452","NNFNPJIH_03636","HECGGPDK_00013","KFNBBHOJ_00721"
"atpC","","ATP synthase epsilon chain",581,581,1,1,1386,NA,NA,"",419,419,419,"KMJDPIGG_04336","EGKOAKEK_04331","EFNNPMIA_04308","EMDCPPMA_03494","MLOHFGPA_03556","LGNMAAMO_02256","NAFOOFAA_03261","JKFJINKE_01353","NNGIMOCL_04201","OAJCOHFM_04279","FCBEKDAD_02515","ABGDGJIO_04406","NNFNPJIH_03991","HECGGPDK_04062","KFNBBHOJ_04321"
"apaG","","Protein ApaG",581,581,1,1,2512,NA,NA,"",377,377,377,"KMJDPIGG_03870","EGKOAKEK_03834","EFNNPMIA_03835","EMDCPPMA_02452","MLOHFGPA_00643","LGNMAAMO_00491","NAFOOFAA_01556","JKFJINKE_01904","NNGIMOCL_03123","OAJCOHFM_04339","FCBEKDAD_02260","ABGDGJIO_04106","NNFNPJIH_02714","HECGGPDK_03554","KFNBBHOJ_03692"
"casE","","CRISPR system Cascade subunit CasE",581,581,1,1,2975,NA,NA,"",650,650,650,"KMJDPIGG_01263","EGKOAKEK_00992","EFNNPMIA_00248","EMDCPPMA_00591","MLOHFGPA_03314","LGNMAAMO_02497","NAFOOFAA_02827","JKFJINKE_00207","NNGIMOCL_00248","OAJCOHFM_01166","FCBEKDAD_00781","ABGDGJIO_00421","NNFNPJIH_02464","HECGGPDK_01155","KFNBBHOJ_01166"
"rluA","","Dual-specificity RNA pseudouridine synthase RluA",581,581,1,1,2506,NA,NA,"",659,659,659,"KMJDPIGG_03864","EGKOAKEK_03828","EFNNPMIA_03829","EMDCPPMA_02446","MLOHFGPA_00637","LGNMAAMO_00485","NAFOOFAA_01550","JKFJINKE_01898","NNGIMOCL_03117","OAJCOHFM_04333","FCBEKDAD_02254","ABGDGJIO_04100","NNFNPJIH_02720","HECGGPDK_03560","KFNBBHOJ_03698"
"dam_2","","DNA adenine methylase",581,581,1,1,1644,NA,NA,"",836,836,836,"KMJDPIGG_02559","EGKOAKEK_02671","EFNNPMIA_02039","EMDCPPMA_00850","MLOHFGPA_04501","LGNMAAMO_00159","NAFOOFAA_00085","JKFJINKE_00038","NNGIMOCL_01573","OAJCOHFM_01936","FCBEKDAD_04216","ABGDGJIO_01927","NNFNPJIH_00957","HECGGPDK_01932","KFNBBHOJ_02674"
"gmhA","","Phosphoheptose isomerase",581,581,1,1,819,NA,NA,"",578,578,578,"KMJDPIGG_01569","EGKOAKEK_03339","EFNNPMIA_02787","EMDCPPMA_00516","MLOHFGPA_04509","LGNMAAMO_00365","NAFOOFAA_02746","JKFJINKE_03510","NNGIMOCL_00727","OAJCOHFM_04108","FCBEKDAD_02870","ABGDGJIO_03077","NNFNPJIH_02412","HECGGPDK_02822","KFNBBHOJ_03476"
"alaC","","Glutamate-pyruvate aminotransferase AlaC",581,581,1,1,3973,NA,NA,"",1238,1238,1238,"KMJDPIGG_03093","EGKOAKEK_02915","EFNNPMIA_02522","EMDCPPMA_01121","MLOHFGPA_03853","LGNMAAMO_00528","NAFOOFAA_00769","JKFJINKE_02769","NNGIMOCL_02068","OAJCOHFM_02469","FCBEKDAD_01134","ABGDGJIO_02570","NNFNPJIH_01520","HECGGPDK_02559","KFNBBHOJ_02912"
"alx","","Putative membrane-bound redox modulator Alx",581,581,1,1,2674,NA,NA,"",968,968,968,"KMJDPIGG_00967","EGKOAKEK_01288","EFNNPMIA_00544","EMDCPPMA_01937","MLOHFGPA_01402","LGNMAAMO_00664","NAFOOFAA_01709","JKFJINKE_02475","NNGIMOCL_00544","OAJCOHFM_00869","FCBEKDAD_00352","ABGDGJIO_00125","NNFNPJIH_01119","HECGGPDK_00859","KFNBBHOJ_00870"
"group_5398","","hypothetical protein",581,581,1,1,3045,NA,NA,"",515,515,515,"KMJDPIGG_01474","EGKOAKEK_00781","EFNNPMIA_00037","EMDCPPMA_00802","MLOHFGPA_02988","LGNMAAMO_01508","NAFOOFAA_01752","JKFJINKE_03486","NNGIMOCL_00037","OAJCOHFM_01377","FCBEKDAD_03483","ABGDGJIO_00632","NNFNPJIH_02675","HECGGPDK_01365","KFNBBHOJ_01377"
"ydjH_1","","putative sugar kinase YdjH",581,581,1,1,5359,NA,NA,"",947,947,947,"KMJDPIGG_00581","EGKOAKEK_00582","EFNNPMIA_03234","EMDCPPMA_00175","MLOHFGPA_01222","LGNMAAMO_03076","NAFOOFAA_00475","JKFJINKE_01136","NNGIMOCL_01172","OAJCOHFM_00582","FCBEKDAD_00199","ABGDGJIO_03311","NNFNPJIH_00055","HECGGPDK_00154","KFNBBHOJ_00581"
"greB","","Transcription elongation factor GreB",581,581,1,1,1665,NA,NA,"",473,473,473,"KMJDPIGG_02578","EGKOAKEK_02652","EFNNPMIA_02058","EMDCPPMA_00869","MLOHFGPA_03522","LGNMAAMO_00140","NAFOOFAA_00104","JKFJINKE_00057","NNGIMOCL_01554","OAJCOHFM_01955","FCBEKDAD_00009","ABGDGJIO_01908","NNFNPJIH_00938","HECGGPDK_01951","KFNBBHOJ_02655"
"group_5401","","Ferredoxin--NADP reductase",581,581,1,1,4184,NA,NA,"",1961,1961,1961,"KMJDPIGG_03015","EGKOAKEK_02836","EFNNPMIA_02600","EMDCPPMA_01043","MLOHFGPA_01757","LGNMAAMO_00606","NAFOOFAA_00847","JKFJINKE_00769","NNGIMOCL_02146","OAJCOHFM_02391","FCBEKDAD_01056","ABGDGJIO_02648","NNFNPJIH_01442","HECGGPDK_02636","KFNBBHOJ_02990"
"group_5402","","hypothetical protein",581,581,1,1,1490,NA,NA,"",1037,1037,1037,"KMJDPIGG_02836","EGKOAKEK_02395","EFNNPMIA_02316","EMDCPPMA_03658","MLOHFGPA_01525","LGNMAAMO_03419","NAFOOFAA_03935","JKFJINKE_03190","NNGIMOCL_03941","OAJCOHFM_02212","FCBEKDAD_04615","ABGDGJIO_01651","NNFNPJIH_00681","HECGGPDK_02208","KFNBBHOJ_02396"
"rfbG","","CDP-glucose 4,6-dehydratase",581,581,1,1,5760,NA,NA,"",1079,1079,1079,"KMJDPIGG_03325","EGKOAKEK_03547","EFNNPMIA_03520","EMDCPPMA_01363","MLOHFGPA_00732","LGNMAAMO_00791","NAFOOFAA_01298","JKFJINKE_03687","NNGIMOCL_02864","OAJCOHFM_02779","FCBEKDAD_03772","ABGDGJIO_03652","NNFNPJIH_03057","HECGGPDK_03522","KFNBBHOJ_03268"
"cbiN","","Cobalt transport protein CbiN",581,581,1,1,5681,NA,NA,"",281,281,281,"KMJDPIGG_03254","EGKOAKEK_03618","EFNNPMIA_03449","EMDCPPMA_04427","MLOHFGPA_04684","LGNMAAMO_01993","NAFOOFAA_03637","JKFJINKE_02147","NNGIMOCL_04092","OAJCOHFM_02708","FCBEKDAD_03724","ABGDGJIO_03581","NNFNPJIH_04231","HECGGPDK_03954","KFNBBHOJ_03197"
"cobD_1","","Cobalamin biosynthesis protein CobD",581,581,1,1,5694,NA,NA,"",959,959,959,"KMJDPIGG_03266","EGKOAKEK_03606","EFNNPMIA_03461","EMDCPPMA_04439","MLOHFGPA_00673","LGNMAAMO_02005","NAFOOFAA_03625","JKFJINKE_02135","NNGIMOCL_04104","OAJCOHFM_02720","FCBEKDAD_03712","ABGDGJIO_03593","NNFNPJIH_04243","HECGGPDK_03966","KFNBBHOJ_03209"
"group_5406","","hypothetical protein",581,581,1,1,4655,NA,NA,"",239,239,239,"KMJDPIGG_03961","EGKOAKEK_01475","EFNNPMIA_01091","EMDCPPMA_02781","MLOHFGPA_02040","LGNMAAMO_01230","NAFOOFAA_02215","JKFJINKE_02913","NNGIMOCL_01910","OAJCOHFM_01836","FCBEKDAD_01601","ABGDGJIO_01093","NNFNPJIH_03557","HECGGPDK_02276","KFNBBHOJ_01476"
"yqcC","","putative protein YqcC",581,581,1,1,2940,NA,NA,"",329,329,329,"KMJDPIGG_01229","EGKOAKEK_01026","EFNNPMIA_00282","EMDCPPMA_03394","MLOHFGPA_03092","LGNMAAMO_01955","NAFOOFAA_02582","JKFJINKE_00873","NNGIMOCL_00282","OAJCOHFM_01132","FCBEKDAD_01872","ABGDGJIO_00387","NNFNPJIH_03739","HECGGPDK_01121","KFNBBHOJ_01132"
"lptB_1","","Lipopolysaccharide export system ATP-binding protein LptB",581,581,1,1,2578,NA,NA,"",725,725,725,"KMJDPIGG_00876","EGKOAKEK_01379","EFNNPMIA_00635","EMDCPPMA_02028","MLOHFGPA_01311","LGNMAAMO_00755","NAFOOFAA_01618","JKFJINKE_00657","NNGIMOCL_00635","OAJCOHFM_00778","FCBEKDAD_01733","ABGDGJIO_00034","NNFNPJIH_01028","HECGGPDK_00768","KFNBBHOJ_00779"
"lspA","","Lipoprotein signal peptidase",581,581,1,1,14,NA,NA,"",500,500,500,"KMJDPIGG_02085","EGKOAKEK_02335","EFNNPMIA_01589","EMDCPPMA_01558","MLOHFGPA_03205","LGNMAAMO_02697","NAFOOFAA_04107","JKFJINKE_03802","NNGIMOCL_02697","OAJCOHFM_03775","FCBEKDAD_03951","ABGDGJIO_01163","NNFNPJIH_02888","HECGGPDK_01840","KFNBBHOJ_01908"
"ubiX","","Flavin prenyltransferase UbiX",581,581,1,1,3913,NA,NA,"",569,569,569,"KMJDPIGG_03146","EGKOAKEK_02968","EFNNPMIA_02469","EMDCPPMA_01174","MLOHFGPA_01735","LGNMAAMO_00993","NAFOOFAA_00716","JKFJINKE_01006","NNGIMOCL_02015","OAJCOHFM_02522","FCBEKDAD_01186","ABGDGJIO_02517","NNFNPJIH_01573","HECGGPDK_03901","KFNBBHOJ_02859"
"group_5411","","hypothetical protein",581,581,1,1,3648,NA,NA,"",749,749,749,"KMJDPIGG_04510","EGKOAKEK_04393","EFNNPMIA_04501","EMDCPPMA_04047","MLOHFGPA_04058","LGNMAAMO_03902","NAFOOFAA_03861","JKFJINKE_03168","NNGIMOCL_03704","OAJCOHFM_04385","FCBEKDAD_03364","ABGDGJIO_04634","NNFNPJIH_04343","HECGGPDK_04494","KFNBBHOJ_04506"
"dadX","","Alanine racemase, catabolic",581,581,1,1,4794,NA,NA,"",1070,1070,1070,"KMJDPIGG_00070","EGKOAKEK_00071","EFNNPMIA_01933","EMDCPPMA_03006","MLOHFGPA_02170","LGNMAAMO_03396","NAFOOFAA_00957","JKFJINKE_01619","NNGIMOCL_03510","OAJCOHFM_00071","FCBEKDAD_02703","ABGDGJIO_02348","NNFNPJIH_00566","HECGGPDK_00666","KFNBBHOJ_00070"
"ppa","","Inorganic pyrophosphatase",581,581,1,1,6064,NA,NA,"",530,530,530,"KMJDPIGG_02312","EGKOAKEK_02107","EFNNPMIA_01362","EMDCPPMA_02263","MLOHFGPA_02596","LGNMAAMO_02737","NAFOOFAA_01932","JKFJINKE_02224","NNGIMOCL_02481","OAJCOHFM_02965","FCBEKDAD_00884","ABGDGJIO_01390","NNFNPJIH_01958","HECGGPDK_01612","KFNBBHOJ_02135"
"group_5414","","hypothetical protein",581,581,1,1,1946,NA,NA,"",629,629,629,"KMJDPIGG_04454","EGKOAKEK_04449","EFNNPMIA_04479","EMDCPPMA_03930","MLOHFGPA_03917","LGNMAAMO_03565","NAFOOFAA_03796","JKFJINKE_03395","NNGIMOCL_04428","OAJCOHFM_04461","FCBEKDAD_03267","ABGDGJIO_04561","NNFNPJIH_04385","HECGGPDK_04455","KFNBBHOJ_04433"
"citE_2","","Citrate lyase subunit beta",581,581,1,1,377,NA,NA,"",908,908,908,"KMJDPIGG_01945","EGKOAKEK_03994","EFNNPMIA_03995","EMDCPPMA_01773","MLOHFGPA_02497","LGNMAAMO_03609","NAFOOFAA_02460","JKFJINKE_01745","NNGIMOCL_03359","OAJCOHFM_03474","FCBEKDAD_00514","ABGDGJIO_03932","NNFNPJIH_03430","HECGGPDK_03071","KFNBBHOJ_03918"
"nirD","","Nitrite reductase (NADH) small subunit",581,581,1,1,1635,NA,NA,"",326,326,326,"KMJDPIGG_02551","EGKOAKEK_02679","EFNNPMIA_02031","EMDCPPMA_00842","MLOHFGPA_04319","LGNMAAMO_00167","NAFOOFAA_00077","JKFJINKE_00030","NNGIMOCL_01581","OAJCOHFM_01928","FCBEKDAD_02608","ABGDGJIO_01935","NNFNPJIH_00965","HECGGPDK_01924","KFNBBHOJ_02682"
"fliE","","Flagellar hook-basal body complex protein FliE",581,581,1,1,4627,NA,NA,"",314,314,314,"KMJDPIGG_03990","EGKOAKEK_01504","EFNNPMIA_01062","EMDCPPMA_02752","MLOHFGPA_02069","LGNMAAMO_01259","NAFOOFAA_02244","JKFJINKE_02884","NNGIMOCL_01881","OAJCOHFM_01807","FCBEKDAD_01572","ABGDGJIO_01064","NNFNPJIH_03586","HECGGPDK_02305","KFNBBHOJ_01505"
"fumD","","Fumarase D",581,581,1,1,5252,NA,NA,"",212,212,212,"KMJDPIGG_00483","EGKOAKEK_00484","EFNNPMIA_03135","EMDCPPMA_00077","MLOHFGPA_03393","LGNMAAMO_01109","NAFOOFAA_00572","JKFJINKE_01844","NNGIMOCL_01074","OAJCOHFM_00484","FCBEKDAD_00296","ABGDGJIO_03213","NNFNPJIH_00153","HECGGPDK_00252","KFNBBHOJ_00483"
"group_5419","","hypothetical protein",581,581,1,1,2746,NA,NA,"",410,410,410,"KMJDPIGG_01037","EGKOAKEK_01218","EFNNPMIA_00474","EMDCPPMA_02493","MLOHFGPA_01472","LGNMAAMO_01758","NAFOOFAA_04018","JKFJINKE_01957","NNGIMOCL_00474","OAJCOHFM_00939","FCBEKDAD_00422","ABGDGJIO_00195","NNFNPJIH_01189","HECGGPDK_00929","KFNBBHOJ_00940"
"group_5420","","hypothetical protein",581,581,1,1,3090,NA,NA,"",632,632,632,"KMJDPIGG_01438","EGKOAKEK_00817","EFNNPMIA_00073","EMDCPPMA_00766","MLOHFGPA_02952","LGNMAAMO_01544","NAFOOFAA_01788","JKFJINKE_00382","NNGIMOCL_00073","OAJCOHFM_01341","FCBEKDAD_03053","ABGDGJIO_00596","NNFNPJIH_02639","HECGGPDK_01329","KFNBBHOJ_01341"
"lplT","","Lysophospholipid transporter LplT",581,581,1,1,2898,NA,NA,"",1202,1202,1202,"KMJDPIGG_01185","EGKOAKEK_01070","EFNNPMIA_00326","EMDCPPMA_03438","MLOHFGPA_03136","LGNMAAMO_01911","NAFOOFAA_02626","JKFJINKE_00829","NNGIMOCL_00326","OAJCOHFM_01087","FCBEKDAD_01916","ABGDGJIO_00343","NNFNPJIH_03783","HECGGPDK_01077","KFNBBHOJ_01088"
"group_5422","","hypothetical protein",581,581,1,1,3040,NA,NA,"",1100,1100,1100,"KMJDPIGG_01478","EGKOAKEK_00777","EFNNPMIA_00033","EMDCPPMA_00806","MLOHFGPA_02992","LGNMAAMO_01504","NAFOOFAA_01748","JKFJINKE_03490","NNGIMOCL_00033","OAJCOHFM_01381","FCBEKDAD_03479","ABGDGJIO_00636","NNFNPJIH_02679","HECGGPDK_01369","KFNBBHOJ_01381"
"group_5423","","hypothetical protein",581,581,1,1,4534,NA,NA,"",362,362,362,"KMJDPIGG_04075","EGKOAKEK_01589","EFNNPMIA_00977","EMDCPPMA_03104","MLOHFGPA_03433","LGNMAAMO_04007","NAFOOFAA_03112","JKFJINKE_04054","NNGIMOCL_01796","OAJCOHFM_01722","FCBEKDAD_04549","ABGDGJIO_00978","NNFNPJIH_01836","HECGGPDK_02390","KFNBBHOJ_01591"
"group_5424","","hypothetical protein",581,581,1,1,3066,NA,NA,"",215,215,215,"KMJDPIGG_01460","EGKOAKEK_00795","EFNNPMIA_00051","EMDCPPMA_00788","MLOHFGPA_02974","LGNMAAMO_01522","NAFOOFAA_01766","JKFJINKE_03472","NNGIMOCL_00051","OAJCOHFM_01363","FCBEKDAD_03497","ABGDGJIO_00618","NNFNPJIH_02661","HECGGPDK_01351","KFNBBHOJ_01363"
"zraP","","Zinc resistance-associated protein",581,581,1,1,1525,NA,NA,"",455,455,455,"KMJDPIGG_04549","EGKOAKEK_04478","EFNNPMIA_04540","EMDCPPMA_04527","MLOHFGPA_04312","LGNMAAMO_04330","NAFOOFAA_04464","JKFJINKE_04266","NNGIMOCL_04532","OAJCOHFM_04470","FCBEKDAD_04311","ABGDGJIO_04684","NNFNPJIH_04471","HECGGPDK_04567","KFNBBHOJ_04571"
"trpR","","Trp operon repressor",581,581,1,1,80,NA,NA,"",326,326,326,"KMJDPIGG_02151","EGKOAKEK_02269","EFNNPMIA_01523","EMDCPPMA_01492","MLOHFGPA_02738","LGNMAAMO_01811","NAFOOFAA_03171","JKFJINKE_03326","NNGIMOCL_02763","OAJCOHFM_03709","FCBEKDAD_01507","ABGDGJIO_01229","NNFNPJIH_02954","HECGGPDK_01774","KFNBBHOJ_01974"
"yjhH","","putative 2-dehydro-3-deoxy-D-pentonate aldolase YjhH",581,581,1,1,1695,NA,NA,"",905,905,905,"KMJDPIGG_02607","EGKOAKEK_02623","EFNNPMIA_02087","EMDCPPMA_00898","MLOHFGPA_03493","LGNMAAMO_00111","NAFOOFAA_00133","JKFJINKE_00086","NNGIMOCL_01525","OAJCOHFM_01984","FCBEKDAD_00038","ABGDGJIO_01879","NNFNPJIH_00909","HECGGPDK_01980","KFNBBHOJ_02626"
"lepB","","Signal peptidase I",581,581,1,1,4073,NA,NA,"",974,974,974,"KMJDPIGG_02909","EGKOAKEK_02729","EFNNPMIA_02707","EMDCPPMA_03215","MLOHFGPA_04357","LGNMAAMO_02078","NAFOOFAA_02544","JKFJINKE_02736","NNGIMOCL_03822","OAJCOHFM_02285","FCBEKDAD_02421","ABGDGJIO_02754","NNFNPJIH_01336","HECGGPDK_02743","KFNBBHOJ_03097"
