"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR14272156","SRR14272154","SRR28323368","NDSU24","SRR19513358","SRR10037239","SRR28323382","SRR7041622","SRR27779120","SRR16506855","NDSU8","SRR5666360","SRR25926991","SRR4292607","SRR5905016"
"uspA","","Universal stress protein A",581,581,1,1,1756,NA,NA,"",434,434,434,"HKKILDPC_01789","HAANCNKA_02285","FCMCIBEK_02446","DFEIMHLH_02663","NAFJMCME_01874","OOMIMPCI_02568","KOLBENFC_02483","KJAFDFOC_00192","BONMFOJB_02565","MMJAGEHG_02226","CDDPGOFG_02577","KHAGAGIB_00712","MAFDEBPG_01263","MKNEJKNF_00498","BIBHBEME_00322"
"holB","","DNA polymerase III subunit delta'",581,581,1,1,5456,NA,NA,"",1004,1004,1004,"HKKILDPC_03375","HAANCNKA_02912","FCMCIBEK_00676","DFEIMHLH_00169","NAFJMCME_00076","OOMIMPCI_00072","KOLBENFC_00069","KJAFDFOC_02358","BONMFOJB_00674","MMJAGEHG_03129","CDDPGOFG_01073","KHAGAGIB_02638","MAFDEBPG_01015","MKNEJKNF_00969","BIBHBEME_01434"
"gpsA","","Glycerol-3-phosphate dehydrogenase [NAD(P)+]",581,581,1,1,1875,NA,NA,"",1019,1019,1019,"HKKILDPC_01902","HAANCNKA_02173","FCMCIBEK_02557","DFEIMHLH_02775","NAFJMCME_01986","OOMIMPCI_02456","KOLBENFC_02595","KJAFDFOC_00304","BONMFOJB_02453","MMJAGEHG_02114","CDDPGOFG_03070","KHAGAGIB_00600","MAFDEBPG_03288","MKNEJKNF_00386","BIBHBEME_04190"
"cutD","","Choline trimethylamine-lyase activating enzyme",581,581,1,1,4275,NA,NA,"",899,899,899,"HKKILDPC_00746","HAANCNKA_00873","FCMCIBEK_01779","DFEIMHLH_03372","NAFJMCME_00827","OOMIMPCI_01822","KOLBENFC_01486","KJAFDFOC_00919","BONMFOJB_01819","MMJAGEHG_00746","CDDPGOFG_02614","KHAGAGIB_00007","MAFDEBPG_04106","MKNEJKNF_02201","BIBHBEME_04487"
"gbpR_2","","HTH-type transcriptional regulator GbpR",581,581,1,1,5904,NA,NA,"",908,908,908,"HKKILDPC_03684","HAANCNKA_03422","FCMCIBEK_03599","DFEIMHLH_04767","NAFJMCME_03364","OOMIMPCI_03508","KOLBENFC_03635","KJAFDFOC_00994","BONMFOJB_03572","MMJAGEHG_03609","CDDPGOFG_01546","KHAGAGIB_03442","MAFDEBPG_03246","MKNEJKNF_03551","BIBHBEME_02287"
"narQ","","Nitrate/nitrite sensor protein NarQ",581,581,1,1,4183,NA,NA,"",1700,1700,1700,"HKKILDPC_02651","HAANCNKA_02602","FCMCIBEK_02900","DFEIMHLH_03011","NAFJMCME_02329","OOMIMPCI_02993","KOLBENFC_02831","KJAFDFOC_01424","BONMFOJB_02942","MMJAGEHG_02496","CDDPGOFG_00126","KHAGAGIB_01965","MAFDEBPG_00798","MKNEJKNF_01166","BIBHBEME_00736"
"lapA","","Lipopolysaccharide assembly protein A",581,581,1,1,4891,NA,NA,"",308,308,308,"HKKILDPC_02176","HAANCNKA_00243","FCMCIBEK_00165","DFEIMHLH_00680","NAFJMCME_00587","OOMIMPCI_00583","KOLBENFC_00579","KJAFDFOC_00397","BONMFOJB_00164","MMJAGEHG_01761","CDDPGOFG_01617","KHAGAGIB_01395","MAFDEBPG_01445","MKNEJKNF_02637","BIBHBEME_01726"
"group_4910","","hypothetical protein",581,581,1,1,3042,NA,NA,"",485,485,485,"HKKILDPC_00635","HAANCNKA_00984","FCMCIBEK_04472","DFEIMHLH_01477","NAFJMCME_02761","OOMIMPCI_00779","KOLBENFC_01376","KJAFDFOC_04226","BONMFOJB_00777","MMJAGEHG_00635","CDDPGOFG_03220","KHAGAGIB_02918","MAFDEBPG_01849","MKNEJKNF_00314","BIBHBEME_03330"
"moaD","","Molybdopterin synthase sulfur carrier subunit",581,581,1,1,4232,NA,NA,"",245,245,245,"HKKILDPC_00705","HAANCNKA_00914","FCMCIBEK_01820","DFEIMHLH_03413","NAFJMCME_00786","OOMIMPCI_01863","KOLBENFC_01445","KJAFDFOC_03573","BONMFOJB_01860","MMJAGEHG_00705","CDDPGOFG_02655","KHAGAGIB_04455","MAFDEBPG_03608","MKNEJKNF_03426","BIBHBEME_02442"
"dadA_1","","D-amino acid dehydrogenase",581,581,1,1,4793,NA,NA,"",1298,1298,1298,"HKKILDPC_02081","HAANCNKA_00338","FCMCIBEK_00070","DFEIMHLH_00775","NAFJMCME_00682","OOMIMPCI_00678","KOLBENFC_00674","KJAFDFOC_03339","BONMFOJB_00069","MMJAGEHG_01666","CDDPGOFG_01712","KHAGAGIB_04037","MAFDEBPG_01540","MKNEJKNF_03787","BIBHBEME_02655"
"bioD1_2","","ATP-dependent dethiobiotin synthetase BioD 1",581,581,1,1,4225,NA,NA,"",686,686,686,"HKKILDPC_00698","HAANCNKA_00921","FCMCIBEK_01827","DFEIMHLH_03420","NAFJMCME_00779","OOMIMPCI_01870","KOLBENFC_01438","KJAFDFOC_03566","BONMFOJB_01867","MMJAGEHG_00698","CDDPGOFG_02662","KHAGAGIB_04462","MAFDEBPG_03615","MKNEJKNF_03419","BIBHBEME_02449"
"sodA","","Superoxide dismutase [Mn]",581,581,1,1,2274,NA,NA,"",620,620,620,"HKKILDPC_04211","HAANCNKA_03990","FCMCIBEK_04116","DFEIMHLH_04079","NAFJMCME_03924","OOMIMPCI_04225","KOLBENFC_04162","KJAFDFOC_02571","BONMFOJB_04099","MMJAGEHG_04125","CDDPGOFG_02268","KHAGAGIB_03154","MAFDEBPG_02840","MKNEJKNF_02719","BIBHBEME_00487"
"group_4915","","hypothetical protein",581,581,1,1,4179,NA,NA,"",200,200,200,"HKKILDPC_02655","HAANCNKA_02598","FCMCIBEK_02904","DFEIMHLH_03007","NAFJMCME_02333","OOMIMPCI_02997","KOLBENFC_02827","KJAFDFOC_01420","BONMFOJB_02946","MMJAGEHG_02492","CDDPGOFG_00122","KHAGAGIB_01961","MAFDEBPG_00794","MKNEJKNF_01162","BIBHBEME_00732"
"hcaR_2","","Hca operon transcriptional activator HcaR",581,581,1,1,3987,NA,NA,"",884,884,884,"HKKILDPC_02591","HAANCNKA_02662","FCMCIBEK_02840","DFEIMHLH_03071","NAFJMCME_02269","OOMIMPCI_02933","KOLBENFC_02891","KJAFDFOC_01484","BONMFOJB_02882","MMJAGEHG_02556","CDDPGOFG_00186","KHAGAGIB_02025","MAFDEBPG_00858","MKNEJKNF_01226","BIBHBEME_00796"
"mggB","","Mannosylglucosyl-3-phosphoglycerate phosphatase",581,581,1,1,28,NA,NA,"",1562,1562,1562,"HKKILDPC_01576","HAANCNKA_02041","FCMCIBEK_02280","DFEIMHLH_02497","NAFJMCME_01256","OOMIMPCI_01921","KOLBENFC_01915","KJAFDFOC_01682","BONMFOJB_02321","MMJAGEHG_01575","CDDPGOFG_03979","KHAGAGIB_03666","MAFDEBPG_04358","MKNEJKNF_04253","BIBHBEME_04227"
"hemA","","Glutamyl-tRNA reductase",581,581,1,1,4822,NA,NA,"",1256,1256,1256,"HKKILDPC_02108","HAANCNKA_00311","FCMCIBEK_00097","DFEIMHLH_00748","NAFJMCME_00655","OOMIMPCI_00651","KOLBENFC_00647","KJAFDFOC_00329","BONMFOJB_00096","MMJAGEHG_01693","CDDPGOFG_01685","KHAGAGIB_01327","MAFDEBPG_01513","MKNEJKNF_04025","BIBHBEME_01658"
"eutN","","Ethanolamine utilization protein EutN",581,581,1,1,4032,NA,NA,"",287,287,287,"HKKILDPC_02636","HAANCNKA_02617","FCMCIBEK_02885","DFEIMHLH_03026","NAFJMCME_02314","OOMIMPCI_02978","KOLBENFC_02846","KJAFDFOC_01439","BONMFOJB_02927","MMJAGEHG_02511","CDDPGOFG_00141","KHAGAGIB_01980","MAFDEBPG_00813","MKNEJKNF_01181","BIBHBEME_00751"
"group_4920","","hypothetical protein",581,581,1,1,5170,NA,NA,"",236,236,236,"HKKILDPC_02416","HAANCNKA_00003","FCMCIBEK_00405","DFEIMHLH_00440","NAFJMCME_00347","OOMIMPCI_00343","KOLBENFC_00339","KJAFDFOC_00637","BONMFOJB_00404","MMJAGEHG_02001","CDDPGOFG_00580","KHAGAGIB_01635","MAFDEBPG_02375","MKNEJKNF_00698","BIBHBEME_03402"
"group_4921","","hypothetical protein",581,581,1,1,2224,NA,NA,"",878,878,878,"HKKILDPC_04258","HAANCNKA_04037","FCMCIBEK_04069","DFEIMHLH_04126","NAFJMCME_03877","OOMIMPCI_04272","KOLBENFC_04209","KJAFDFOC_03674","BONMFOJB_04146","MMJAGEHG_04078","CDDPGOFG_04017","KHAGAGIB_03107","MAFDEBPG_03792","MKNEJKNF_02766","BIBHBEME_00534"
"group_4922","","hypothetical protein",581,581,1,1,149,NA,NA,"",386,386,386,"HKKILDPC_03085","HAANCNKA_03496","FCMCIBEK_03336","DFEIMHLH_02053","NAFJMCME_03648","OOMIMPCI_03140","KOLBENFC_03085","KJAFDFOC_04641","BONMFOJB_03381","MMJAGEHG_03039","CDDPGOFG_03897","KHAGAGIB_01659","MAFDEBPG_00022","MKNEJKNF_03838","BIBHBEME_04365"
"metB","","Cystathionine gamma-synthase",581,581,1,1,2181,NA,NA,"",1160,1160,1160,"HKKILDPC_04167","HAANCNKA_03946","FCMCIBEK_04160","DFEIMHLH_04035","NAFJMCME_03968","OOMIMPCI_04181","KOLBENFC_04118","KJAFDFOC_02615","BONMFOJB_04055","MMJAGEHG_04169","CDDPGOFG_02224","KHAGAGIB_03198","MAFDEBPG_02796","MKNEJKNF_04583","BIBHBEME_00443"
"purC","","Phosphoribosylaminoimidazole-succinocarboxamide synthase",581,581,1,1,4176,NA,NA,"",713,713,713,"HKKILDPC_02658","HAANCNKA_02595","FCMCIBEK_02907","DFEIMHLH_03004","NAFJMCME_02336","OOMIMPCI_03000","KOLBENFC_02824","KJAFDFOC_01417","BONMFOJB_02949","MMJAGEHG_02489","CDDPGOFG_00119","KHAGAGIB_01958","MAFDEBPG_00791","MKNEJKNF_01159","BIBHBEME_00729"
"sifA","","Secreted effector protein SifA",581,581,1,1,5432,NA,NA,"",1010,1010,1010,"HKKILDPC_03352","HAANCNKA_02935","FCMCIBEK_00653","DFEIMHLH_00192","NAFJMCME_00099","OOMIMPCI_00095","KOLBENFC_00092","KJAFDFOC_02381","BONMFOJB_00651","MMJAGEHG_03152","CDDPGOFG_01050","KHAGAGIB_02615","MAFDEBPG_01038","MKNEJKNF_00946","BIBHBEME_01457"
"bsmA","","Lipoprotein BsmA",581,581,1,1,6025,NA,NA,"",302,302,302,"HKKILDPC_01327","HAANCNKA_01792","FCMCIBEK_02030","DFEIMHLH_02248","NAFJMCME_01510","OOMIMPCI_02171","KOLBENFC_02164","KJAFDFOC_03077","BONMFOJB_02071","MMJAGEHG_01326","CDDPGOFG_02369","KHAGAGIB_02372","MAFDEBPG_02212","MKNEJKNF_01862","BIBHBEME_01591"
"ychN","","Protein YchN",581,581,1,1,4830,NA,NA,"",353,353,353,"HKKILDPC_02116","HAANCNKA_00303","FCMCIBEK_00105","DFEIMHLH_00740","NAFJMCME_00647","OOMIMPCI_00643","KOLBENFC_00639","KJAFDFOC_00337","BONMFOJB_00104","MMJAGEHG_01701","CDDPGOFG_01677","KHAGAGIB_01335","MAFDEBPG_01505","MKNEJKNF_04017","BIBHBEME_01666"
"group_4928","","hypothetical protein",581,581,1,1,4898,NA,NA,"",179,179,179,"HKKILDPC_02182","HAANCNKA_00237","FCMCIBEK_00171","DFEIMHLH_00674","NAFJMCME_00581","OOMIMPCI_00577","KOLBENFC_00573","KJAFDFOC_00403","BONMFOJB_00170","MMJAGEHG_01767","CDDPGOFG_01611","KHAGAGIB_01401","MAFDEBPG_01439","MKNEJKNF_02631","BIBHBEME_01732"
"group_4929","","hypothetical protein",581,581,1,1,3985,NA,NA,"",371,371,371,"HKKILDPC_02585","HAANCNKA_02668","FCMCIBEK_02834","DFEIMHLH_03077","NAFJMCME_02263","OOMIMPCI_02927","KOLBENFC_02897","KJAFDFOC_01490","BONMFOJB_02876","MMJAGEHG_02562","CDDPGOFG_00192","KHAGAGIB_02031","MAFDEBPG_00864","MKNEJKNF_01232","BIBHBEME_00802"
"group_4930","","hypothetical protein",581,581,1,1,4220,NA,NA,"",476,476,476,"HKKILDPC_00693","HAANCNKA_00926","FCMCIBEK_01832","DFEIMHLH_03425","NAFJMCME_00774","OOMIMPCI_01875","KOLBENFC_01433","KJAFDFOC_03561","BONMFOJB_01872","MMJAGEHG_00693","CDDPGOFG_02667","KHAGAGIB_04566","MAFDEBPG_03620","MKNEJKNF_03414","BIBHBEME_02454"
"fis","","DNA-binding protein Fis",581,581,1,1,1974,NA,NA,"",296,296,296,"HKKILDPC_04461","HAANCNKA_04474","FCMCIBEK_04567","DFEIMHLH_04555","NAFJMCME_04444","OOMIMPCI_04542","KOLBENFC_04470","KJAFDFOC_04050","BONMFOJB_04505","MMJAGEHG_04518","CDDPGOFG_03951","KHAGAGIB_04410","MAFDEBPG_04180","MKNEJKNF_03945","BIBHBEME_03554"
"group_4932","","hypothetical protein",581,581,1,1,1403,NA,NA,"",755,755,755,"HKKILDPC_04388","HAANCNKA_04284","FCMCIBEK_04307","DFEIMHLH_04347","NAFJMCME_04310","OOMIMPCI_04417","KOLBENFC_04339","KJAFDFOC_03190","BONMFOJB_04276","MMJAGEHG_04426","CDDPGOFG_03635","KHAGAGIB_03992","MAFDEBPG_03442","MKNEJKNF_03349","BIBHBEME_02219"
"citG_3","","2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase",581,581,1,1,2533,NA,NA,"",908,908,908,"HKKILDPC_03749","HAANCNKA_04402","FCMCIBEK_03665","DFEIMHLH_03637","NAFJMCME_04112","OOMIMPCI_03943","KOLBENFC_03880","KJAFDFOC_01096","BONMFOJB_03637","MMJAGEHG_03854","CDDPGOFG_03768","KHAGAGIB_03082","MAFDEBPG_01699","MKNEJKNF_01588","BIBHBEME_04604"
"deoC","","Deoxyribose-phosphate aldolase",581,581,1,1,6219,NA,NA,"",779,779,779,"HKKILDPC_01512","HAANCNKA_01977","FCMCIBEK_02216","DFEIMHLH_02433","NAFJMCME_01320","OOMIMPCI_01985","KOLBENFC_01979","KJAFDFOC_01746","BONMFOJB_02257","MMJAGEHG_01511","CDDPGOFG_03713","KHAGAGIB_03730","MAFDEBPG_02886","MKNEJKNF_02846","BIBHBEME_01884"
"dapB","","4-hydroxy-tetrahydrodipicolinate reductase",581,581,1,1,2532,NA,NA,"",821,821,821,"HKKILDPC_03750","HAANCNKA_04403","FCMCIBEK_03666","DFEIMHLH_03636","NAFJMCME_04113","OOMIMPCI_03942","KOLBENFC_03879","KJAFDFOC_01097","BONMFOJB_03638","MMJAGEHG_03853","CDDPGOFG_03767","KHAGAGIB_03081","MAFDEBPG_01698","MKNEJKNF_01587","BIBHBEME_04605"
"tolC_1","","Outer membrane protein TolC",581,581,1,1,2711,NA,NA,"",1469,1469,1469,"HKKILDPC_00163","HAANCNKA_01456","FCMCIBEK_00907","DFEIMHLH_01005","NAFJMCME_02960","OOMIMPCI_01251","KOLBENFC_00903","KJAFDFOC_04386","BONMFOJB_01249","MMJAGEHG_00163","CDDPGOFG_02420","KHAGAGIB_01156","MAFDEBPG_00514","MKNEJKNF_02060","BIBHBEME_02803"
"group_4937","","hypothetical protein",581,581,1,1,4287,NA,NA,"",383,383,383,"HKKILDPC_00755","HAANCNKA_00864","FCMCIBEK_01770","DFEIMHLH_03363","NAFJMCME_00836","OOMIMPCI_01813","KOLBENFC_01495","KJAFDFOC_00910","BONMFOJB_01810","MMJAGEHG_00755","CDDPGOFG_02604","KHAGAGIB_00016","MAFDEBPG_04115","MKNEJKNF_02210","BIBHBEME_04496"
"mukE","","Chromosome partition protein MukE",581,581,1,1,4397,NA,NA,"",704,704,704,"HKKILDPC_00856","HAANCNKA_00763","FCMCIBEK_01669","DFEIMHLH_03262","NAFJMCME_00937","OOMIMPCI_01712","KOLBENFC_01596","KJAFDFOC_00809","BONMFOJB_01709","MMJAGEHG_00856","CDDPGOFG_02701","KHAGAGIB_00117","MAFDEBPG_03687","MKNEJKNF_02311","BIBHBEME_03916"
"nfdA","","N-substituted formamide deformylase",581,581,1,1,5163,NA,NA,"",1700,1700,1700,"HKKILDPC_02409","HAANCNKA_00010","FCMCIBEK_00398","DFEIMHLH_00447","NAFJMCME_00354","OOMIMPCI_00350","KOLBENFC_00346","KJAFDFOC_00630","BONMFOJB_00397","MMJAGEHG_01994","CDDPGOFG_00573","KHAGAGIB_01628","MAFDEBPG_02382","MKNEJKNF_00691","BIBHBEME_03395"
"solA","","N-methyl-L-tryptophan oxidase",581,581,1,1,5499,NA,NA,"",626,1118,1116,"HKKILDPC_03417","HAANCNKA_02870","FCMCIBEK_00718","DFEIMHLH_00127","NAFJMCME_00034","OOMIMPCI_00030","KOLBENFC_00027","KJAFDFOC_02316","BONMFOJB_00716","MMJAGEHG_03087","CDDPGOFG_04408","KHAGAGIB_02680","MAFDEBPG_00973","MKNEJKNF_01011","BIBHBEME_01392"
"focC","","Chaperone protein FocC",581,581,1,1,790,NA,NA,"",758,758,758,"HKKILDPC_03020","HAANCNKA_03562","FCMCIBEK_03270","DFEIMHLH_01988","NAFJMCME_03581","OOMIMPCI_03206","KOLBENFC_03151","KJAFDFOC_02869","BONMFOJB_03316","MMJAGEHG_02973","CDDPGOFG_00651","KHAGAGIB_01724","MAFDEBPG_00087","MKNEJKNF_01414","BIBHBEME_02142"
"bioB","","Biotin synthase",581,581,1,1,4222,NA,NA,"",1040,1040,1040,"HKKILDPC_00695","HAANCNKA_00924","FCMCIBEK_01830","DFEIMHLH_03423","NAFJMCME_00776","OOMIMPCI_01873","KOLBENFC_01435","KJAFDFOC_03563","BONMFOJB_01870","MMJAGEHG_00695","CDDPGOFG_02665","KHAGAGIB_04564","MAFDEBPG_03618","MKNEJKNF_03416","BIBHBEME_02452"
"pqiC","","Intermembrane transport lipoprotein PqiC",581,581,1,1,4484,NA,NA,"",563,563,563,"HKKILDPC_00932","HAANCNKA_00686","FCMCIBEK_01593","DFEIMHLH_04260","NAFJMCME_01013","OOMIMPCI_01635","KOLBENFC_01672","KJAFDFOC_00733","BONMFOJB_01633","MMJAGEHG_00932","CDDPGOFG_03413","KHAGAGIB_00193","MAFDEBPG_02072","MKNEJKNF_02557","BIBHBEME_03255"
"group_4943","","hypothetical protein",581,581,1,1,5779,NA,NA,"",554,554,554,"HKKILDPC_03612","HAANCNKA_03350","FCMCIBEK_03527","DFEIMHLH_03902","NAFJMCME_03292","OOMIMPCI_03580","KOLBENFC_03563","KJAFDFOC_01066","BONMFOJB_03500","MMJAGEHG_03537","CDDPGOFG_01474","KHAGAGIB_04524","MAFDEBPG_03369","MKNEJKNF_02953","BIBHBEME_03054"
"group_4944","","hypothetical protein",581,581,1,1,5194,NA,NA,"",236,236,236,"HKKILDPC_03126","HAANCNKA_03161","FCMCIBEK_00427","DFEIMHLH_00418","NAFJMCME_00325","OOMIMPCI_00321","KOLBENFC_00317","KJAFDFOC_03785","BONMFOJB_00426","MMJAGEHG_03378","CDDPGOFG_00602","KHAGAGIB_04196","MAFDEBPG_03882","MKNEJKNF_00720","BIBHBEME_03424"
"phrB","","Deoxyribodipyrimidine photo-lyase",581,581,1,1,293,NA,NA,"",1421,1421,1421,"HKKILDPC_04089","HAANCNKA_03765","FCMCIBEK_04008","DFEIMHLH_01554","NAFJMCME_03816","OOMIMPCI_03994","KOLBENFC_03931","KJAFDFOC_03984","BONMFOJB_03977","MMJAGEHG_04017","CDDPGOFG_01158","KHAGAGIB_04222","MAFDEBPG_04056","MKNEJKNF_04245","BIBHBEME_04218"
"cobU","","Bifunctional adenosylcobalamin biosynthesis protein CobU",581,581,1,1,5677,NA,NA,"",545,545,545,"HKKILDPC_03518","HAANCNKA_03256","FCMCIBEK_03433","DFEIMHLH_03996","NAFJMCME_03198","OOMIMPCI_03674","KOLBENFC_03469","KJAFDFOC_02937","BONMFOJB_03406","MMJAGEHG_03443","CDDPGOFG_01380","KHAGAGIB_03568","MAFDEBPG_03163","MKNEJKNF_04090","BIBHBEME_02953"
"yhfA","","Protein YhfA",581,581,1,1,1624,NA,NA,"",404,404,404,"HKKILDPC_01663","HAANCNKA_02411","FCMCIBEK_02320","DFEIMHLH_02537","NAFJMCME_01748","OOMIMPCI_02694","KOLBENFC_02357","KJAFDFOC_00066","BONMFOJB_02691","MMJAGEHG_02352","CDDPGOFG_03591","KHAGAGIB_00838","MAFDEBPG_01389","MKNEJKNF_00624","BIBHBEME_01776"
"group_4948","","hypothetical protein",581,581,1,1,4919,NA,NA,"",1061,1061,1061,"HKKILDPC_02201","HAANCNKA_00218","FCMCIBEK_00190","DFEIMHLH_00655","NAFJMCME_00562","OOMIMPCI_00558","KOLBENFC_00554","KJAFDFOC_00422","BONMFOJB_00189","MMJAGEHG_01786","CDDPGOFG_00365","KHAGAGIB_01420","MAFDEBPG_01420","MKNEJKNF_02612","BIBHBEME_00015"
"pgrR_1","","HTH-type transcriptional regulator PgrR",581,581,1,1,4926,NA,NA,"",905,905,905,"HKKILDPC_02208","HAANCNKA_00211","FCMCIBEK_00197","DFEIMHLH_00648","NAFJMCME_00555","OOMIMPCI_00551","KOLBENFC_00547","KJAFDFOC_00429","BONMFOJB_00196","MMJAGEHG_01793","CDDPGOFG_00372","KHAGAGIB_01427","MAFDEBPG_01413","MKNEJKNF_02605","BIBHBEME_00022"
"modB","","Molybdenum transport system permease protein ModB",581,581,1,1,4210,NA,NA,"",689,689,689,"HKKILDPC_00683","HAANCNKA_00936","FCMCIBEK_01842","DFEIMHLH_03435","NAFJMCME_00764","OOMIMPCI_01885","KOLBENFC_01423","KJAFDFOC_03551","BONMFOJB_01882","MMJAGEHG_00683","CDDPGOFG_02677","KHAGAGIB_04576","MAFDEBPG_03630","MKNEJKNF_03404","BIBHBEME_02464"
"trmL_1","","tRNA (cytidine(34)-2'-O)-methyltransferase",581,581,1,1,63,NA,NA,"",686,686,686,"HKKILDPC_01542","HAANCNKA_02007","FCMCIBEK_02246","DFEIMHLH_02463","NAFJMCME_01290","OOMIMPCI_01955","KOLBENFC_01949","KJAFDFOC_01716","BONMFOJB_02287","MMJAGEHG_01541","CDDPGOFG_03683","KHAGAGIB_03700","MAFDEBPG_02916","MKNEJKNF_02816","BIBHBEME_01914"
"group_4952","","hypothetical protein",581,581,1,1,1972,NA,NA,"",143,143,143,"HKKILDPC_04459","HAANCNKA_04472","FCMCIBEK_04565","DFEIMHLH_04553","NAFJMCME_04446","OOMIMPCI_04544","KOLBENFC_04468","KJAFDFOC_04052","BONMFOJB_04507","MMJAGEHG_04520","CDDPGOFG_03949","KHAGAGIB_04408","MAFDEBPG_04178","MKNEJKNF_03943","BIBHBEME_03556"
"tolQ","","Tol-Pal system protein TolQ",581,581,1,1,270,NA,NA,"",692,692,692,"HKKILDPC_04112","HAANCNKA_03742","FCMCIBEK_04031","DFEIMHLH_01531","NAFJMCME_03839","OOMIMPCI_03971","KOLBENFC_03908","KJAFDFOC_03961","BONMFOJB_04000","MMJAGEHG_04040","CDDPGOFG_01135","KHAGAGIB_04245","MAFDEBPG_04079","MKNEJKNF_04478","BIBHBEME_04428"
"chbA","","PTS system N,N'-diacetylchitobiose-specific EIIA component",581,581,1,1,5332,NA,NA,"",347,347,347,"HKKILDPC_03255","HAANCNKA_03032","FCMCIBEK_00556","DFEIMHLH_00289","NAFJMCME_00196","OOMIMPCI_00192","KOLBENFC_00188","KJAFDFOC_01955","BONMFOJB_00555","MMJAGEHG_03249","CDDPGOFG_00953","KHAGAGIB_02518","MAFDEBPG_01135","MKNEJKNF_00849","BIBHBEME_00591"
"group_4955","","hypothetical protein",581,581,1,1,2021,NA,NA,"",1589,1589,1589,"HKKILDPC_01170","HAANCNKA_01635","FCMCIBEK_01873","DFEIMHLH_02091","NAFJMCME_01666","OOMIMPCI_02329","KOLBENFC_02321","KJAFDFOC_04501","BONMFOJB_01913","MMJAGEHG_01170","CDDPGOFG_03470","KHAGAGIB_02215","MAFDEBPG_04543","MKNEJKNF_04456","BIBHBEME_04406"
"fixB_2","","Protein FixB",581,581,1,1,2521,NA,NA,"",941,941,941,"HKKILDPC_03761","HAANCNKA_04414","FCMCIBEK_03678","DFEIMHLH_03625","NAFJMCME_04124","OOMIMPCI_03931","KOLBENFC_03868","KJAFDFOC_01108","BONMFOJB_03649","MMJAGEHG_03842","CDDPGOFG_03756","KHAGAGIB_03070","MAFDEBPG_01687","MKNEJKNF_01576","BIBHBEME_03955"
"sufE","","Cysteine desulfuration protein SufE",581,581,1,1,5268,NA,NA,"",416,416,416,"HKKILDPC_03197","HAANCNKA_03090","FCMCIBEK_00498","DFEIMHLH_00347","NAFJMCME_00254","OOMIMPCI_00250","KOLBENFC_00246","KJAFDFOC_02014","BONMFOJB_00497","MMJAGEHG_03307","CDDPGOFG_00895","KHAGAGIB_02460","MAFDEBPG_01192","MKNEJKNF_00791","BIBHBEME_00649"
"group_4958","","hypothetical protein",581,581,1,1,1949,NA,NA,"",263,263,263,"HKKILDPC_04436","HAANCNKA_04449","FCMCIBEK_04542","DFEIMHLH_04530","NAFJMCME_04469","OOMIMPCI_04567","KOLBENFC_04445","KJAFDFOC_04075","BONMFOJB_04530","MMJAGEHG_04543","CDDPGOFG_03926","KHAGAGIB_04385","MAFDEBPG_04155","MKNEJKNF_03920","BIBHBEME_03579"
"wzzB","","Chain length determinant protein",581,581,1,1,5744,NA,NA,"",983,983,983,"HKKILDPC_03580","HAANCNKA_03318","FCMCIBEK_03495","DFEIMHLH_03934","NAFJMCME_03260","OOMIMPCI_03612","KOLBENFC_03531","KJAFDFOC_02999","BONMFOJB_03468","MMJAGEHG_03505","CDDPGOFG_01442","KHAGAGIB_03506","MAFDEBPG_03101","MKNEJKNF_04282","BIBHBEME_04282"
"mgtC","","Protein MgtC",581,581,1,1,1480,NA,NA,"",683,683,683,"HKKILDPC_01970","HAANCNKA_02105","FCMCIBEK_02625","DFEIMHLH_02843","NAFJMCME_02054","OOMIMPCI_02388","KOLBENFC_02663","KJAFDFOC_02786","BONMFOJB_02385","MMJAGEHG_02046","CDDPGOFG_03153","KHAGAGIB_00532","MAFDEBPG_02719","MKNEJKNF_03725","BIBHBEME_03501"
"sspB","","Stringent starvation protein B",581,581,1,1,2555,NA,NA,"",500,500,500,"HKKILDPC_00011","HAANCNKA_01608","FCMCIBEK_00755","DFEIMHLH_00853","NAFJMCME_03112","OOMIMPCI_01403","KOLBENFC_00751","KJAFDFOC_01375","BONMFOJB_01401","MMJAGEHG_00011","CDDPGOFG_03865","KHAGAGIB_01309","MAFDEBPG_00363","MKNEJKNF_02328","BIBHBEME_01364"
"recF_1","","DNA replication and repair protein RecF",581,581,1,1,1494,NA,NA,"",176,176,176,"HKKILDPC_01956","HAANCNKA_02119","FCMCIBEK_02611","DFEIMHLH_02829","NAFJMCME_02040","OOMIMPCI_02402","KOLBENFC_02649","KJAFDFOC_02800","BONMFOJB_02399","MMJAGEHG_02060","CDDPGOFG_03167","KHAGAGIB_00546","MAFDEBPG_02705","MKNEJKNF_04424","BIBHBEME_03725"
