"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","NDSU7","SRR7010294","SRR14766451","SRR15146546","SRR28323382","SRR23043676","SRR14766379","SRR5905513","SRR14766388","SRR6310053","SRR14766438","SRR23043674","SRR14766396","SRR28830416","SRR16297816"
"lgt","","Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase",581,581,1,1,2905,NA,NA,"",875,875,875,"IGPMGEKP_03025","FNDKDPDO_01994","JKFJINKE_00836","NAPOKNNJ_00998","KOLBENFC_01090","MKCMHNPK_00350","LAONLALK_02276","JLGLOGEO_00827","NAOOLHEA_02747","DNOEEKHJ_00350","EJBBKOOG_00319","HLOGJBDP_01070","OHGNPAHP_01301","KJPJOPGC_00319","IIHPGJAB_01062"
"xylP_2","","Isoprimeverose transporter",581,581,1,1,19,NA,NA,"",410,410,410,"IGPMGEKP_00432","FNDKDPDO_03395","JKFJINKE_03797","NAPOKNNJ_04061","KOLBENFC_01906","MKCMHNPK_01166","LAONLALK_04202","JLGLOGEO_01278","NAOOLHEA_04133","DNOEEKHJ_01500","EJBBKOOG_02304","HLOGJBDP_02336","OHGNPAHP_01633","KJPJOPGC_01170","IIHPGJAB_01911"
"citE_1","","Citrate lyase subunit beta",581,581,1,1,2536,NA,NA,"",869,869,869,"IGPMGEKP_04790","FNDKDPDO_04555","JKFJINKE_01928","NAPOKNNJ_03090","KOLBENFC_03883","MKCMHNPK_03702","LAONLALK_01101","JLGLOGEO_04131","NAOOLHEA_04602","DNOEEKHJ_03864","EJBBKOOG_03351","HLOGJBDP_03754","OHGNPAHP_04201","KJPJOPGC_03897","IIHPGJAB_03861"
"group_5100","","hypothetical protein",581,581,1,1,2201,NA,NA,"",596,596,596,"IGPMGEKP_03270","FNDKDPDO_02261","JKFJINKE_02978","NAPOKNNJ_03925","KOLBENFC_04136","MKCMHNPK_04135","LAONLALK_03156","JLGLOGEO_03217","NAOOLHEA_02832","DNOEEKHJ_03357","EJBBKOOG_03844","HLOGJBDP_04187","OHGNPAHP_03858","KJPJOPGC_04182","IIHPGJAB_04114"
"sucC","","Succinate--CoA ligase [ADP-forming] subunit beta",581,581,1,1,278,NA,NA,"",1166,1166,1166,"IGPMGEKP_04291","FNDKDPDO_03995","JKFJINKE_03718","NAPOKNNJ_03638","KOLBENFC_03916","MKCMHNPK_04054","LAONLALK_03359","JLGLOGEO_04076","NAOOLHEA_04099","DNOEEKHJ_04563","EJBBKOOG_01410","HLOGJBDP_04106","OHGNPAHP_04472","KJPJOPGC_04069","IIHPGJAB_03894"
"glnP","","Glutamine transport system permease protein GlnP",581,581,1,1,4257,NA,NA,"",659,659,659,"IGPMGEKP_02528","FNDKDPDO_02956","JKFJINKE_01471","NAPOKNNJ_01772","KOLBENFC_01469","MKCMHNPK_00729","LAONLALK_02754","JLGLOGEO_03584","NAOOLHEA_03244","DNOEEKHJ_02267","EJBBKOOG_03167","HLOGJBDP_01480","OHGNPAHP_00061","KJPJOPGC_01097","IIHPGJAB_01838"
"lldR_2","","Putative L-lactate dehydrogenase operon regulatory protein",581,581,1,1,1868,NA,NA,"",776,776,776,"IGPMGEKP_02107","FNDKDPDO_03968","JKFJINKE_03692","NAPOKNNJ_01950","KOLBENFC_02588","MKCMHNPK_02119","LAONLALK_02522","JLGLOGEO_00046","NAOOLHEA_00250","DNOEEKHJ_00965","EJBBKOOG_04166","HLOGJBDP_02644","OHGNPAHP_02183","KJPJOPGC_02258","IIHPGJAB_02592"
"nasD","","Nitrite reductase [NAD(P)H]",581,581,1,1,1634,NA,NA,"",2543,2543,2543,"IGPMGEKP_04412","FNDKDPDO_02415","JKFJINKE_00029","NAPOKNNJ_02170","KOLBENFC_02367","MKCMHNPK_02340","LAONLALK_00263","JLGLOGEO_00267","NAOOLHEA_00029","DNOEEKHJ_00744","EJBBKOOG_04173","HLOGJBDP_02424","OHGNPAHP_02403","KJPJOPGC_02037","IIHPGJAB_02371"
"group_5105","","hypothetical protein",581,581,1,1,6072,NA,NA,"",362,362,362,"IGPMGEKP_00217","FNDKDPDO_01484","JKFJINKE_02231","NAPOKNNJ_02598","KOLBENFC_02121","MKCMHNPK_01381","LAONLALK_01405","JLGLOGEO_04267","NAOOLHEA_01440","DNOEEKHJ_01715","EJBBKOOG_01962","HLOGJBDP_02121","OHGNPAHP_01849","KJPJOPGC_01386","IIHPGJAB_02126"
"group_5106","","hypothetical protein",581,581,1,1,2226,NA,NA,"",875,875,875,"IGPMGEKP_03341","FNDKDPDO_03269","JKFJINKE_02839","NAPOKNNJ_03854","KOLBENFC_04207","MKCMHNPK_04206","LAONLALK_03041","JLGLOGEO_03869","NAOOLHEA_03574","DNOEEKHJ_03286","EJBBKOOG_03614","HLOGJBDP_04258","OHGNPAHP_03929","KJPJOPGC_04111","IIHPGJAB_04185"
"fliJ","","Flagellar FliJ protein",581,581,1,1,4622,NA,NA,"",443,443,443,"IGPMGEKP_02287","FNDKDPDO_00528","JKFJINKE_02879","NAPOKNNJ_01444","KOLBENFC_01797","MKCMHNPK_01057","LAONLALK_00964","JLGLOGEO_01923","NAOOLHEA_03711","DNOEEKHJ_03679","EJBBKOOG_02337","HLOGJBDP_01808","OHGNPAHP_00390","KJPJOPGC_00766","IIHPGJAB_01508"
"ndk","","Nucleoside diphosphate kinase",581,581,1,1,4133,NA,NA,"",431,431,431,"IGPMGEKP_01130","FNDKDPDO_02031","JKFJINKE_03594","NAPOKNNJ_03391","KOLBENFC_02784","MKCMHNPK_02447","LAONLALK_01830","JLGLOGEO_00720","NAOOLHEA_04007","DNOEEKHJ_03877","EJBBKOOG_02711","HLOGJBDP_02840","OHGNPAHP_02557","KJPJOPGC_02656","IIHPGJAB_02788"
"alr_2","","Alanine racemase, biosynthetic",581,581,1,1,2173,NA,NA,"",1106,1106,1106,"IGPMGEKP_03244","FNDKDPDO_02235","JKFJINKE_03056","NAPOKNNJ_03951","KOLBENFC_04110","MKCMHNPK_04109","LAONLALK_03889","JLGLOGEO_03243","NAOOLHEA_02858","DNOEEKHJ_03383","EJBBKOOG_03887","HLOGJBDP_04161","OHGNPAHP_03832","KJPJOPGC_04208","IIHPGJAB_04088"
"rseC","","Protein RseC",581,581,1,1,4071,NA,NA,"",479,479,479,"IGPMGEKP_01190","FNDKDPDO_02091","JKFJINKE_02738","NAPOKNNJ_03451","KOLBENFC_02724","MKCMHNPK_02387","LAONLALK_01770","JLGLOGEO_00780","NAOOLHEA_02432","DNOEEKHJ_03937","EJBBKOOG_02651","HLOGJBDP_02780","OHGNPAHP_02497","KJPJOPGC_02716","IIHPGJAB_02728"
"group_5111","","hypothetical protein",581,581,1,1,5937,NA,NA,"",665,665,665,"IGPMGEKP_03903","FNDKDPDO_01257","JKFJINKE_00529","NAPOKNNJ_02842","KOLBENFC_03665","MKCMHNPK_03670","LAONLALK_04568","JLGLOGEO_01727","NAOOLHEA_01204","DNOEEKHJ_03139","EJBBKOOG_02066","HLOGJBDP_03476","OHGNPAHP_03532","KJPJOPGC_03431","IIHPGJAB_03426"
"gudX_1","","Glucarate dehydratase-related protein",581,581,1,1,2944,NA,NA,"",251,251,251,"IGPMGEKP_02984","FNDKDPDO_01953","JKFJINKE_00877","NAPOKNNJ_00957","KOLBENFC_01131","MKCMHNPK_00391","LAONLALK_02235","JLGLOGEO_00868","NAOOLHEA_02788","DNOEEKHJ_00391","EJBBKOOG_00278","HLOGJBDP_01029","OHGNPAHP_01342","KJPJOPGC_00278","IIHPGJAB_01021"
"tadA","","tRNA-specific adenosine deaminase",581,581,1,1,4087,NA,NA,"",518,518,518,"IGPMGEKP_01174","FNDKDPDO_02075","JKFJINKE_02722","NAPOKNNJ_03435","KOLBENFC_02740","MKCMHNPK_02403","LAONLALK_01786","JLGLOGEO_00764","NAOOLHEA_02448","DNOEEKHJ_03921","EJBBKOOG_02667","HLOGJBDP_02796","OHGNPAHP_02513","KJPJOPGC_02700","IIHPGJAB_02744"
"skp","","Chaperone protein Skp",581,581,1,1,2364,NA,NA,"",485,485,485,"IGPMGEKP_03194","FNDKDPDO_03107","JKFJINKE_02027","NAPOKNNJ_03257","KOLBENFC_03716","MKCMHNPK_03869","LAONLALK_02998","JLGLOGEO_03796","NAOOLHEA_03438","DNOEEKHJ_03579","EJBBKOOG_03488","HLOGJBDP_03921","OHGNPAHP_04173","KJPJOPGC_03729","IIHPGJAB_03694"
"group_5115","","hypothetical protein",581,581,1,1,6052,NA,NA,"",386,386,386,"IGPMGEKP_00198","FNDKDPDO_01465","JKFJINKE_00902","NAPOKNNJ_02617","KOLBENFC_02140","MKCMHNPK_01400","LAONLALK_01424","JLGLOGEO_01891","NAOOLHEA_01421","DNOEEKHJ_01734","EJBBKOOG_01981","HLOGJBDP_02102","OHGNPAHP_01868","KJPJOPGC_01405","IIHPGJAB_02145"
"acrE_1","","Multidrug export protein AcrE",581,581,1,1,1979,NA,NA,"",545,545,545,"IGPMGEKP_04513","FNDKDPDO_03512","JKFJINKE_04525","NAPOKNNJ_04415","KOLBENFC_04475","MKCMHNPK_04562","LAONLALK_03627","JLGLOGEO_04659","NAOOLHEA_02508","DNOEEKHJ_04295","EJBBKOOG_03947","HLOGJBDP_04580","OHGNPAHP_04588","KJPJOPGC_04539","IIHPGJAB_04395"
"group_5117","","hypothetical protein",581,581,1,1,2215,NA,NA,"",197,197,197,"IGPMGEKP_03352","FNDKDPDO_03280","JKFJINKE_02850","NAPOKNNJ_03843","KOLBENFC_04218","MKCMHNPK_04217","LAONLALK_03030","JLGLOGEO_03880","NAOOLHEA_03585","DNOEEKHJ_03275","EJBBKOOG_03625","HLOGJBDP_04269","OHGNPAHP_03940","KJPJOPGC_04100","IIHPGJAB_04196"
"ycgJ","","putative methyltransferase YcgJ",581,581,1,1,134,NA,NA,"",770,770,770,"IGPMGEKP_01214","FNDKDPDO_04400","JKFJINKE_04346","NAPOKNNJ_02523","KOLBENFC_03069","MKCMHNPK_03053","LAONLALK_03756","JLGLOGEO_02220","NAOOLHEA_03813","DNOEEKHJ_01882","EJBBKOOG_04540","HLOGJBDP_03443","OHGNPAHP_02841","KJPJOPGC_03061","IIHPGJAB_03073"
"group_5119","","hypothetical protein",581,581,1,1,2628,NA,NA,"",317,317,317,"IGPMGEKP_01660","FNDKDPDO_02126","JKFJINKE_00706","NAPOKNNJ_01265","KOLBENFC_00823","MKCMHNPK_00083","LAONLALK_01298","JLGLOGEO_03006","NAOOLHEA_02099","DNOEEKHJ_00082","EJBBKOOG_01676","HLOGJBDP_01337","OHGNPAHP_01034","KJPJOPGC_00587","IIHPGJAB_01329"
"ynhF","","putative protein YnhF",581,581,1,1,5208,NA,NA,"",89,89,89,"IGPMGEKP_04351","FNDKDPDO_03762","JKFJINKE_02669","NAPOKNNJ_00305","KOLBENFC_00304","MKCMHNPK_03366","LAONLALK_00600","JLGLOGEO_01069","NAOOLHEA_00797","DNOEEKHJ_02808","EJBBKOOG_00483","HLOGJBDP_00440","OHGNPAHP_03197","KJPJOPGC_03099","IIHPGJAB_00439"
"group_5121","","Beta-xylosidase",581,581,1,1,5891,NA,NA,"",2297,2297,2297,"IGPMGEKP_03947","FNDKDPDO_01301","JKFJINKE_00573","NAPOKNNJ_02886","KOLBENFC_03622","MKCMHNPK_03627","LAONLALK_02185","JLGLOGEO_01684","NAOOLHEA_01248","DNOEEKHJ_03183","EJBBKOOG_02110","HLOGJBDP_03520","OHGNPAHP_03576","KJPJOPGC_03475","IIHPGJAB_03471"
"bioA","","Adenosylmethionine-8-amino-7-oxononanoate aminotransferase",581,581,1,1,4221,NA,NA,"",1298,1298,1298,"IGPMGEKP_02563","FNDKDPDO_02991","JKFJINKE_01506","NAPOKNNJ_01807","KOLBENFC_01434","MKCMHNPK_00694","LAONLALK_02719","JLGLOGEO_03619","NAOOLHEA_03279","DNOEEKHJ_02232","EJBBKOOG_03202","HLOGJBDP_01445","OHGNPAHP_00026","KJPJOPGC_01132","IIHPGJAB_01873"
"dinJ","","Antitoxin DinJ",581,581,1,1,1680,NA,NA,"",260,260,260,"IGPMGEKP_01929","FNDKDPDO_00013","JKFJINKE_00071","NAPOKNNJ_02128","KOLBENFC_02409","MKCMHNPK_02298","LAONLALK_00305","JLGLOGEO_00225","NAOOLHEA_00071","DNOEEKHJ_00786","EJBBKOOG_01003","HLOGJBDP_02466","OHGNPAHP_02361","KJPJOPGC_02079","IIHPGJAB_02413"
"group_5124","","hypothetical protein",581,581,1,1,5723,NA,NA,"",335,335,335,"IGPMGEKP_03397","FNDKDPDO_03539","JKFJINKE_02109","NAPOKNNJ_02997","KOLBENFC_03511","MKCMHNPK_03516","LAONLALK_03686","JLGLOGEO_03651","NAOOLHEA_02946","DNOEEKHJ_04022","EJBBKOOG_03294","HLOGJBDP_03631","OHGNPAHP_03687","KJPJOPGC_03586","IIHPGJAB_03582"
"pqiA","","Intermembrane transport protein PqiA",581,581,1,1,4482,NA,NA,"",1253,1253,1253,"IGPMGEKP_02160","FNDKDPDO_02602","JKFJINKE_03627","NAPOKNNJ_01571","KOLBENFC_01670","MKCMHNPK_00930","LAONLALK_03126","JLGLOGEO_02877","NAOOLHEA_01584","DNOEEKHJ_02468","EJBBKOOG_02889","HLOGJBDP_01681","OHGNPAHP_00262","KJPJOPGC_00893","IIHPGJAB_01636"
"yehW","","Glycine betaine uptake system permease protein YehW",581,581,1,1,5887,NA,NA,"",731,731,731,"IGPMGEKP_03951","FNDKDPDO_01305","JKFJINKE_00577","NAPOKNNJ_02890","KOLBENFC_03618","MKCMHNPK_03623","LAONLALK_02181","JLGLOGEO_01680","NAOOLHEA_01252","DNOEEKHJ_03187","EJBBKOOG_02114","HLOGJBDP_03524","OHGNPAHP_03580","KJPJOPGC_03479","IIHPGJAB_03475"
"rsxE","","Ion-translocating oxidoreductase complex subunit E",581,581,1,1,5182,NA,NA,"",692,692,692,"IGPMGEKP_04376","FNDKDPDO_03787","JKFJINKE_02694","NAPOKNNJ_00330","KOLBENFC_00329","MKCMHNPK_03391","LAONLALK_00625","JLGLOGEO_01044","NAOOLHEA_00772","DNOEEKHJ_02833","EJBBKOOG_00458","HLOGJBDP_00415","OHGNPAHP_03172","KJPJOPGC_03074","IIHPGJAB_00414"
"tdk","","Thymidine kinase",581,581,1,1,4846,NA,NA,"",617,617,617,"IGPMGEKP_00566","FNDKDPDO_01223","JKFJINKE_02201","NAPOKNNJ_00622","KOLBENFC_00621","MKCMHNPK_01717","LAONLALK_01717","JLGLOGEO_00376","NAOOLHEA_00996","DNOEEKHJ_01204","EJBBKOOG_01259","HLOGJBDP_00123","OHGNPAHP_00667","KJPJOPGC_01725","IIHPGJAB_00122"
"asnC","","Regulatory protein AsnC",581,581,1,1,1374,NA,NA,"",458,458,458,"IGPMGEKP_04094","FNDKDPDO_02879","JKFJINKE_01341","NAPOKNNJ_04214","KOLBENFC_04367","MKCMHNPK_04325","LAONLALK_02681","JLGLOGEO_03369","NAOOLHEA_03023","DNOEEKHJ_04149","EJBBKOOG_03006","HLOGJBDP_04418","OHGNPAHP_04431","KJPJOPGC_04334","IIHPGJAB_04345"
"sstT","","Serine/threonine transporter SstT",581,581,1,1,2673,NA,NA,"",1244,1244,1244,"IGPMGEKP_01701","FNDKDPDO_03050","JKFJINKE_02474","NAPOKNNJ_01224","KOLBENFC_00864","MKCMHNPK_00124","LAONLALK_01257","JLGLOGEO_03922","NAOOLHEA_02058","DNOEEKHJ_00124","EJBBKOOG_01635","HLOGJBDP_01296","OHGNPAHP_01075","KJPJOPGC_00546","IIHPGJAB_01288"
"zntA","","Zinc/cadmium/lead-transporting P-type ATPase",581,581,1,1,1739,NA,NA,"",2198,2198,2198,"IGPMGEKP_01987","FNDKDPDO_00071","JKFJINKE_00129","NAPOKNNJ_02070","KOLBENFC_02467","MKCMHNPK_02240","LAONLALK_00363","JLGLOGEO_00167","NAOOLHEA_00129","DNOEEKHJ_00844","EJBBKOOG_01061","HLOGJBDP_02524","OHGNPAHP_02303","KJPJOPGC_02137","IIHPGJAB_02471"
"ydiF","","Acetate CoA-transferase YdiF",581,581,1,1,5285,NA,NA,"",1595,1595,1595,"IGPMGEKP_03804","FNDKDPDO_00595","JKFJINKE_01874","NAPOKNNJ_00231","KOLBENFC_00230","MKCMHNPK_03292","LAONLALK_00526","JLGLOGEO_01143","NAOOLHEA_00871","DNOEEKHJ_02734","EJBBKOOG_00557","HLOGJBDP_00514","OHGNPAHP_03271","KJPJOPGC_03173","IIHPGJAB_00513"
"rlmH","","Ribosomal RNA large subunit methyltransferase H",581,581,1,1,357,NA,NA,"",467,467,467,"IGPMGEKP_03568","FNDKDPDO_01046","JKFJINKE_03905","NAPOKNNJ_03554","KOLBENFC_04000","MKCMHNPK_03970","LAONLALK_01906","JLGLOGEO_02152","NAOOLHEA_02358","DNOEEKHJ_03493","EJBBKOOG_01494","HLOGJBDP_04022","OHGNPAHP_04011","KJPJOPGC_03985","IIHPGJAB_03978"
"mioC","","Protein MioC",581,581,1,1,1375,NA,NA,"",443,443,443,"IGPMGEKP_04093","FNDKDPDO_02878","JKFJINKE_01342","NAPOKNNJ_04213","KOLBENFC_04366","MKCMHNPK_04326","LAONLALK_02680","JLGLOGEO_03370","NAOOLHEA_03022","DNOEEKHJ_04150","EJBBKOOG_03005","HLOGJBDP_04417","OHGNPAHP_04430","KJPJOPGC_04335","IIHPGJAB_04344"
"group_5135","","6-deoxy-6-sulfogluconolactonase",581,581,1,1,3013,NA,NA,"",908,908,908,"IGPMGEKP_03636","FNDKDPDO_04098","JKFJINKE_03994","NAPOKNNJ_04285","KOLBENFC_01403","MKCMHNPK_00662","LAONLALK_04150","JLGLOGEO_02683","NAOOLHEA_04318","DNOEEKHJ_00662","EJBBKOOG_00007","HLOGJBDP_00758","OHGNPAHP_01614","KJPJOPGC_00007","IIHPGJAB_00750"
"ycbU","","putative fimbrial-like protein YcbU",581,581,1,1,38,NA,NA,"",545,545,545,"IGPMGEKP_00414","FNDKDPDO_03413","JKFJINKE_03456","NAPOKNNJ_04043","KOLBENFC_01924","MKCMHNPK_01184","LAONLALK_04529","JLGLOGEO_01296","NAOOLHEA_02711","DNOEEKHJ_01518","EJBBKOOG_02286","HLOGJBDP_02318","OHGNPAHP_01651","KJPJOPGC_01188","IIHPGJAB_01929"
"group_5137","","hypothetical protein",581,581,1,1,2379,NA,NA,"",386,386,386,"IGPMGEKP_03179","FNDKDPDO_03092","JKFJINKE_02012","NAPOKNNJ_03242","KOLBENFC_03731","MKCMHNPK_03854","LAONLALK_02983","JLGLOGEO_03811","NAOOLHEA_03453","DNOEEKHJ_03594","EJBBKOOG_03503","HLOGJBDP_03906","OHGNPAHP_04158","KJPJOPGC_03744","IIHPGJAB_03709"
"spy","","Periplasmic chaperone Spy",581,581,1,1,5338,NA,NA,"",485,485,485,"IGPMGEKP_03852","FNDKDPDO_00642","JKFJINKE_01116","NAPOKNNJ_00183","KOLBENFC_00182","MKCMHNPK_03244","LAONLALK_00479","JLGLOGEO_01191","NAOOLHEA_00919","DNOEEKHJ_02686","EJBBKOOG_00604","HLOGJBDP_00562","OHGNPAHP_03319","KJPJOPGC_03221","IIHPGJAB_00561"
"mtnN","","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase",581,581,1,1,2384,NA,NA,"",698,698,698,"IGPMGEKP_03174","FNDKDPDO_03087","JKFJINKE_02007","NAPOKNNJ_03237","KOLBENFC_03736","MKCMHNPK_03849","LAONLALK_02978","JLGLOGEO_03816","NAOOLHEA_03458","DNOEEKHJ_03599","EJBBKOOG_03508","HLOGJBDP_03901","OHGNPAHP_04153","KJPJOPGC_03749","IIHPGJAB_03714"
"group_5140","","hypothetical protein",581,581,1,1,5782,NA,NA,"",1217,1217,1217,"IGPMGEKP_03452","FNDKDPDO_01357","JKFJINKE_03665","NAPOKNNJ_02942","KOLBENFC_03566","MKCMHNPK_03571","LAONLALK_03919","JLGLOGEO_01628","NAOOLHEA_01304","DNOEEKHJ_03239","EJBBKOOG_02166","HLOGJBDP_03576","OHGNPAHP_03632","KJPJOPGC_03531","IIHPGJAB_03527"
"group_5141","","hypothetical protein",581,581,1,1,2623,NA,NA,"",1007,1007,1007,"IGPMGEKP_01655","FNDKDPDO_02131","JKFJINKE_00701","NAPOKNNJ_01270","KOLBENFC_00818","MKCMHNPK_00078","LAONLALK_01303","JLGLOGEO_03011","NAOOLHEA_02104","DNOEEKHJ_00077","EJBBKOOG_01681","HLOGJBDP_01342","OHGNPAHP_01029","KJPJOPGC_00592","IIHPGJAB_01334"
"yhbO","","Protein/nucleic acid deglycase 2",581,581,1,1,2630,NA,NA,"",518,518,518,"IGPMGEKP_01662","FNDKDPDO_02124","JKFJINKE_00708","NAPOKNNJ_01263","KOLBENFC_00825","MKCMHNPK_00085","LAONLALK_01296","JLGLOGEO_03004","NAOOLHEA_02097","DNOEEKHJ_00084","EJBBKOOG_01674","HLOGJBDP_01335","OHGNPAHP_01036","KJPJOPGC_00585","IIHPGJAB_01327"
"fliN","","Flagellar motor switch protein FliN",581,581,1,1,4618,NA,NA,"",413,413,413,"IGPMGEKP_02283","FNDKDPDO_00532","JKFJINKE_02875","NAPOKNNJ_01448","KOLBENFC_01793","MKCMHNPK_01053","LAONLALK_00968","JLGLOGEO_01919","NAOOLHEA_03707","DNOEEKHJ_03675","EJBBKOOG_02333","HLOGJBDP_01804","OHGNPAHP_00386","KJPJOPGC_00770","IIHPGJAB_01512"
"trmH","","tRNA (guanosine(18)-2'-O)-methyltransferase",581,581,1,1,1923,NA,NA,"",689,689,689,"IGPMGEKP_03974","FNDKDPDO_03578","JKFJINKE_03204","NAPOKNNJ_01899","KOLBENFC_02639","MKCMHNPK_02068","LAONLALK_02446","JLGLOGEO_03568","NAOOLHEA_03918","DNOEEKHJ_01016","EJBBKOOG_03151","HLOGJBDP_02695","OHGNPAHP_02132","KJPJOPGC_02309","IIHPGJAB_02643"
"cbiD","","Cobalt-precorrin-5B C(1)-methyltransferase",581,581,1,1,5692,NA,NA,"",1139,1139,1139,"IGPMGEKP_03369","FNDKDPDO_04261","JKFJINKE_02137","NAPOKNNJ_03025","KOLBENFC_03483","MKCMHNPK_03488","LAONLALK_04362","JLGLOGEO_03679","NAOOLHEA_02918","DNOEEKHJ_03994","EJBBKOOG_03266","HLOGJBDP_03659","OHGNPAHP_03715","KJPJOPGC_03614","IIHPGJAB_03610"
"dmlR_2","","HTH-type transcriptional regulator DmlR",581,581,1,1,4355,NA,NA,"",911,911,911,"IGPMGEKP_02440","FNDKDPDO_02690","JKFJINKE_02312","NAPOKNNJ_01684","KOLBENFC_01557","MKCMHNPK_00817","LAONLALK_02334","JLGLOGEO_01542","NAOOLHEA_01737","DNOEEKHJ_02355","EJBBKOOG_02749","HLOGJBDP_01568","OHGNPAHP_00149","KJPJOPGC_01006","IIHPGJAB_01750"
"group_5147","","hypothetical protein",581,581,1,1,6149,NA,NA,"",461,461,461,"IGPMGEKP_00291","FNDKDPDO_03813","JKFJINKE_04151","NAPOKNNJ_04349","KOLBENFC_02047","MKCMHNPK_01307","LAONLALK_01128","JLGLOGEO_01419","NAOOLHEA_03869","DNOEEKHJ_01641","EJBBKOOG_04011","HLOGJBDP_02195","OHGNPAHP_01775","KJPJOPGC_01312","IIHPGJAB_02052"
"ygdR_4","","putative lipoprotein YgdR",581,581,1,1,2517,NA,NA,"",230,230,230,"IGPMGEKP_04771","FNDKDPDO_01613","JKFJINKE_01909","NAPOKNNJ_03109","KOLBENFC_03864","MKCMHNPK_03721","LAONLALK_01082","JLGLOGEO_04112","NAOOLHEA_02281","DNOEEKHJ_03845","EJBBKOOG_03332","HLOGJBDP_03773","OHGNPAHP_04220","KJPJOPGC_03878","IIHPGJAB_03842"
"ymiA","","Protein YmiA",581,581,1,1,4887,NA,NA,"",128,128,128,"IGPMGEKP_00604","FNDKDPDO_01185","JKFJINKE_01313","NAPOKNNJ_00584","KOLBENFC_00583","MKCMHNPK_01755","LAONLALK_01679","JLGLOGEO_00414","NAOOLHEA_03498","DNOEEKHJ_01242","EJBBKOOG_01221","HLOGJBDP_00161","OHGNPAHP_00705","KJPJOPGC_01763","IIHPGJAB_00160"
"group_5150","","hypothetical protein",581,581,1,1,3085,NA,NA,"",233,233,233,"IGPMGEKP_03697","FNDKDPDO_00195","JKFJINKE_00387","NAPOKNNJ_00747","KOLBENFC_01342","MKCMHNPK_00601","LAONLALK_02924","JLGLOGEO_02744","NAOOLHEA_00578","DNOEEKHJ_00601","EJBBKOOG_00068","HLOGJBDP_00819","OHGNPAHP_01553","KJPJOPGC_00068","IIHPGJAB_00811"
"elfA","","Laminin-binding fimbrial subunit ElfA",581,581,1,1,42,NA,NA,"",542,542,542,"IGPMGEKP_00410","FNDKDPDO_03417","JKFJINKE_03452","NAPOKNNJ_04039","KOLBENFC_01928","MKCMHNPK_01188","LAONLALK_04525","JLGLOGEO_01300","NAOOLHEA_02707","DNOEEKHJ_01522","EJBBKOOG_02282","HLOGJBDP_02314","OHGNPAHP_01655","KJPJOPGC_01192","IIHPGJAB_01933"
"ligB","","DNA ligase B",581,581,1,1,1919,NA,NA,"",1685,1685,1685,"IGPMGEKP_03970","FNDKDPDO_03582","JKFJINKE_03208","NAPOKNNJ_01903","KOLBENFC_02635","MKCMHNPK_02072","LAONLALK_02450","JLGLOGEO_03572","NAOOLHEA_03914","DNOEEKHJ_01012","EJBBKOOG_03155","HLOGJBDP_02691","OHGNPAHP_02136","KJPJOPGC_02305","IIHPGJAB_02639"
"group_5153","","hypothetical protein",581,581,1,1,1453,NA,NA,"",98,98,98,"IGPMGEKP_04025","FNDKDPDO_03351","JKFJINKE_02946","NAPOKNNJ_01848","KOLBENFC_02690","MKCMHNPK_02017","LAONLALK_02395","JLGLOGEO_03517","NAOOLHEA_04376","DNOEEKHJ_01067","EJBBKOOG_03100","HLOGJBDP_02746","OHGNPAHP_02081","KJPJOPGC_02360","IIHPGJAB_02694"
"group_5154","","hypothetical protein",581,581,1,1,5708,NA,NA,"",350,350,350,"IGPMGEKP_03382","FNDKDPDO_03524","JKFJINKE_02124","NAPOKNNJ_03012","KOLBENFC_03496","MKCMHNPK_03501","LAONLALK_03671","JLGLOGEO_03666","NAOOLHEA_02931","DNOEEKHJ_04007","EJBBKOOG_03279","HLOGJBDP_03646","OHGNPAHP_03702","KJPJOPGC_03601","IIHPGJAB_03597"
"thiH","","2-iminoacetate synthase",581,581,1,1,1538,NA,NA,"",1133,1133,1133,"IGPMGEKP_04673","FNDKDPDO_04346","JKFJINKE_04279","NAPOKNNJ_04470","KOLBENFC_04544","MKCMHNPK_04579","LAONLALK_03936","JLGLOGEO_04517","NAOOLHEA_04450","DNOEEKHJ_04466","EJBBKOOG_04527","HLOGJBDP_04603","OHGNPAHP_04613","KJPJOPGC_04588","IIHPGJAB_04518"
"dnaN","","Beta sliding clamp",581,581,1,1,1410,NA,NA,"",1100,1100,1100,"IGPMGEKP_04059","FNDKDPDO_02844","JKFJINKE_01376","NAPOKNNJ_04179","KOLBENFC_04332","MKCMHNPK_04360","LAONLALK_02646","JLGLOGEO_03404","NAOOLHEA_02988","DNOEEKHJ_04184","EJBBKOOG_02971","HLOGJBDP_04383","OHGNPAHP_04396","KJPJOPGC_04369","IIHPGJAB_04310"
