"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR11068404","SRR7041896","SRR1411125","SRR14766396","SRR14272159","NDSU28","SRR9301046","SRR1556977","SRR5666360","SRR13001984","SRR14766435","SRR5928137","SRR14766343","SRR2994392","SRR18233394"
"ydjJ","","putative zinc-type alcohol dehydrogenase-like protein YdjJ",581,581,1,1,5361,NA,NA,"",1043,1043,1043,"NHHFDHOA_01259","LNFOPOPD_02057","LNNOOKGB_01380","OHGNPAHP_03341","GLJEHEMI_00583","KBLPGKMM_01374","FIBKOHBH_01165","KLKGDDID_00165","KHAGAGIB_02546","DLEBNIDD_00496","IJNFKBKA_01203","FHJCNOBE_02665","CLBIFFHN_00483","FBFFAOJI_03399","BCOIPCNK_02200"
"glnA","","Glutamine synthetase",581,581,1,1,2221,NA,NA,"",1409,1409,1409,"NHHFDHOA_03230","LNFOPOPD_04385","LNNOOKGB_02985","OHGNPAHP_03934","GLJEHEMI_04198","KBLPGKMM_02792","FIBKOHBH_02579","KLKGDDID_03979","KHAGAGIB_03104","DLEBNIDD_03757","IJNFKBKA_01692","FHJCNOBE_03170","CLBIFFHN_03009","FBFFAOJI_03691","BCOIPCNK_04192"
"hemE","","Uroporphyrinogen decarboxylase",581,581,1,1,1530,NA,NA,"",1064,1064,1064,"NHHFDHOA_04557","LNFOPOPD_04545","LNNOOKGB_04451","OHGNPAHP_04621","GLJEHEMI_04618","KBLPGKMM_04460","FIBKOHBH_04499","KLKGDDID_04624","KHAGAGIB_04474","DLEBNIDD_04506","IJNFKBKA_04572","FHJCNOBE_04597","CLBIFFHN_03749","FBFFAOJI_04494","BCOIPCNK_04441"
"lpxL","","Lipid A biosynthesis lauroyltransferase",581,581,1,1,5505,NA,NA,"",920,920,920,"NHHFDHOA_01398","LNFOPOPD_01918","LNNOOKGB_03636","OHGNPAHP_03480","GLJEHEMI_00722","KBLPGKMM_01513","FIBKOHBH_01304","KLKGDDID_00026","KHAGAGIB_02685","DLEBNIDD_00635","IJNFKBKA_02216","FHJCNOBE_03817","CLBIFFHN_02771","FBFFAOJI_03538","BCOIPCNK_03199"
"atpC","","ATP synthase epsilon chain",581,581,1,1,1386,NA,NA,"",419,419,419,"NHHFDHOA_04009","LNFOPOPD_04027","LNNOOKGB_04050","OHGNPAHP_04419","GLJEHEMI_04324","KBLPGKMM_03272","FIBKOHBH_03857","KLKGDDID_04220","KHAGAGIB_03976","DLEBNIDD_03421","IJNFKBKA_03574","FHJCNOBE_04201","CLBIFFHN_02152","FBFFAOJI_04232","BCOIPCNK_03833"
"apaG","","Protein ApaG",581,581,1,1,2512,NA,NA,"",377,377,377,"NHHFDHOA_02916","LNFOPOPD_03571","LNNOOKGB_02416","OHGNPAHP_04225","GLJEHEMI_04485","KBLPGKMM_02380","FIBKOHBH_02536","KLKGDDID_03608","KHAGAGIB_03061","DLEBNIDD_01687","IJNFKBKA_01995","FHJCNOBE_03127","CLBIFFHN_03223","FBFFAOJI_03124","BCOIPCNK_02404"
"casE","","CRISPR system Cascade subunit CasE",581,581,1,1,2975,NA,NA,"",650,650,650,"NHHFDHOA_01952","LNFOPOPD_02699","LNNOOKGB_00250","OHGNPAHP_01372","GLJEHEMI_01020","KBLPGKMM_02522","FIBKOHBH_03237","KLKGDDID_00991","KHAGAGIB_02704","DLEBNIDD_02716","IJNFKBKA_02508","FHJCNOBE_02141","CLBIFFHN_00465","FBFFAOJI_01379","BCOIPCNK_00248"
"rluA","","Dual-specificity RNA pseudouridine synthase RluA",581,581,1,1,2506,NA,NA,"",659,659,659,"NHHFDHOA_02910","LNFOPOPD_03565","LNNOOKGB_02422","OHGNPAHP_04231","GLJEHEMI_04491","KBLPGKMM_02374","FIBKOHBH_02530","KLKGDDID_03614","KHAGAGIB_03055","DLEBNIDD_01693","IJNFKBKA_02001","FHJCNOBE_03121","CLBIFFHN_03217","FBFFAOJI_03118","BCOIPCNK_02410"
"dam_2","","DNA adenine methylase",581,581,1,1,1644,NA,NA,"",836,836,836,"NHHFDHOA_01448","LNFOPOPD_00085","LNNOOKGB_00999","OHGNPAHP_02394","GLJEHEMI_01962","KBLPGKMM_01571","FIBKOHBH_00328","KLKGDDID_02185","KHAGAGIB_00819","DLEBNIDD_00942","IJNFKBKA_00038","FHJCNOBE_01917","CLBIFFHN_00038","FBFFAOJI_00736","BCOIPCNK_01812"
"gmhA","","Phosphoheptose isomerase",581,581,1,1,819,NA,NA,"",578,578,578,"NHHFDHOA_03952","LNFOPOPD_02840","LNNOOKGB_03993","OHGNPAHP_02894","GLJEHEMI_02921","KBLPGKMM_01016","FIBKOHBH_00929","KLKGDDID_03220","KHAGAGIB_01696","DLEBNIDD_01127","IJNFKBKA_02433","FHJCNOBE_01234","CLBIFFHN_01800","FBFFAOJI_01531","BCOIPCNK_01220"
"alaC","","Glutamate-pyruvate aminotransferase AlaC",581,581,1,1,3973,NA,NA,"",1238,1238,1238,"NHHFDHOA_01802","LNFOPOPD_01369","LNNOOKGB_02047","OHGNPAHP_02683","GLJEHEMI_02497","KBLPGKMM_00203","FIBKOHBH_01707","KLKGDDID_02746","KHAGAGIB_02044","DLEBNIDD_00800","IJNFKBKA_01332","FHJCNOBE_00971","CLBIFFHN_01188","FBFFAOJI_00978","BCOIPCNK_00814"
"alx","","Putative membrane-bound redox modulator Alx",581,581,1,1,2674,NA,NA,"",968,968,968,"NHHFDHOA_02977","LNFOPOPD_02358","LNNOOKGB_00546","OHGNPAHP_01076","GLJEHEMI_01316","KBLPGKMM_00810","FIBKOHBH_03106","KLKGDDID_01287","KHAGAGIB_01194","DLEBNIDD_01830","IJNFKBKA_02754","FHJCNOBE_00694","CLBIFFHN_03705","FBFFAOJI_01926","BCOIPCNK_00544"
"group_5398","","hypothetical protein",581,581,1,1,3045,NA,NA,"",515,515,515,"NHHFDHOA_02163","LNFOPOPD_03960","LNNOOKGB_00037","OHGNPAHP_01584","GLJEHEMI_00809","KBLPGKMM_03786","FIBKOHBH_03343","KLKGDDID_00779","KHAGAGIB_02915","DLEBNIDD_02874","IJNFKBKA_03838","FHJCNOBE_02352","CLBIFFHN_03417","FBFFAOJI_01168","BCOIPCNK_00037"
"ydjH_1","","putative sugar kinase YdjH",581,581,1,1,5359,NA,NA,"",947,947,947,"NHHFDHOA_01257","LNFOPOPD_02059","LNNOOKGB_01378","OHGNPAHP_03339","GLJEHEMI_00581","KBLPGKMM_01372","FIBKOHBH_01163","KLKGDDID_00167","KHAGAGIB_02544","DLEBNIDD_00494","IJNFKBKA_01201","FHJCNOBE_02667","CLBIFFHN_00485","FBFFAOJI_03397","BCOIPCNK_02202"
"greB","","Transcription elongation factor GreB",581,581,1,1,1665,NA,NA,"",473,473,473,"NHHFDHOA_01467","LNFOPOPD_00104","LNNOOKGB_00980","OHGNPAHP_02375","GLJEHEMI_01981","KBLPGKMM_01590","FIBKOHBH_00309","KLKGDDID_02166","KHAGAGIB_00800","DLEBNIDD_00961","IJNFKBKA_00057","FHJCNOBE_01936","CLBIFFHN_00057","FBFFAOJI_00717","BCOIPCNK_01793"
"group_5401","","Ferredoxin--NADP reductase",581,581,1,1,4184,NA,NA,"",1961,1961,1961,"NHHFDHOA_01724","LNFOPOPD_01447","LNNOOKGB_02125","OHGNPAHP_02605","GLJEHEMI_02419","KBLPGKMM_00127","FIBKOHBH_01785","KLKGDDID_02824","KHAGAGIB_01966","DLEBNIDD_00878","IJNFKBKA_01254","FHJCNOBE_01049","CLBIFFHN_01266","FBFFAOJI_00900","BCOIPCNK_00892"
"group_5402","","hypothetical protein",581,581,1,1,1490,NA,NA,"",1037,1037,1037,"NHHFDHOA_03754","LNFOPOPD_00361","LNNOOKGB_00723","OHGNPAHP_02118","GLJEHEMI_02240","KBLPGKMM_02973","FIBKOHBH_00053","KLKGDDID_01909","KHAGAGIB_00542","DLEBNIDD_03328","IJNFKBKA_00314","FHJCNOBE_03626","CLBIFFHN_01900","FBFFAOJI_00460","BCOIPCNK_03445"
"rfbG","","CDP-glucose 4,6-dehydratase",581,581,1,1,5760,NA,NA,"",1079,1079,1079,"NHHFDHOA_03507","LNFOPOPD_03456","LNNOOKGB_01539","OHGNPAHP_03654","GLJEHEMI_03130","KBLPGKMM_01836","FIBKOHBH_02830","KLKGDDID_03428","KHAGAGIB_04505","DLEBNIDD_01654","IJNFKBKA_01512","FHJCNOBE_02991","CLBIFFHN_02306","FBFFAOJI_02565","BCOIPCNK_03054"
"cbiN","","Cobalt transport protein CbiN",581,581,1,1,5681,NA,NA,"",281,281,281,"NHHFDHOA_03577","LNFOPOPD_03639","LNNOOKGB_01468","OHGNPAHP_03725","GLJEHEMI_03201","KBLPGKMM_01765","FIBKOHBH_02901","KLKGDDID_03499","KHAGAGIB_03564","DLEBNIDD_03609","IJNFKBKA_03673","FHJCNOBE_03723","CLBIFFHN_03558","FBFFAOJI_02636","BCOIPCNK_03635"
"cobD_1","","Cobalamin biosynthesis protein CobD",581,581,1,1,5694,NA,NA,"",959,959,959,"NHHFDHOA_03565","LNFOPOPD_03627","LNNOOKGB_01480","OHGNPAHP_03713","GLJEHEMI_03189","KBLPGKMM_01777","FIBKOHBH_02889","KLKGDDID_03487","KHAGAGIB_03552","DLEBNIDD_03597","IJNFKBKA_03685","FHJCNOBE_03711","CLBIFFHN_03546","FBFFAOJI_02624","BCOIPCNK_03623"
"group_5406","","hypothetical protein",581,581,1,1,4655,NA,NA,"",239,239,239,"NHHFDHOA_00914","LNFOPOPD_00476","LNNOOKGB_03715","OHGNPAHP_00424","GLJEHEMI_01862","KBLPGKMM_03877","FIBKOHBH_03434","KLKGDDID_04324","KHAGAGIB_00352","DLEBNIDD_02158","IJNFKBKA_03046","FHJCNOBE_00063","CLBIFFHN_04012","FBFFAOJI_04042","BCOIPCNK_03120"
"yqcC","","putative protein YqcC",581,581,1,1,2940,NA,NA,"",329,329,329,"NHHFDHOA_04499","LNFOPOPD_02733","LNNOOKGB_00284","OHGNPAHP_01338","GLJEHEMI_01054","KBLPGKMM_02556","FIBKOHBH_02259","KLKGDDID_01025","KHAGAGIB_00931","DLEBNIDD_03264","IJNFKBKA_03480","FHJCNOBE_00432","CLBIFFHN_01382","FBFFAOJI_01413","BCOIPCNK_00282"
"lptB_1","","Lipopolysaccharide export system ATP-binding protein LptB",581,581,1,1,2578,NA,NA,"",725,725,725,"NHHFDHOA_03068","LNFOPOPD_02267","LNNOOKGB_00637","OHGNPAHP_00985","GLJEHEMI_01407","KBLPGKMM_00719","FIBKOHBH_03015","KLKGDDID_01379","KHAGAGIB_01286","DLEBNIDD_01921","IJNFKBKA_02663","FHJCNOBE_00785","CLBIFFHN_01530","FBFFAOJI_01835","BCOIPCNK_00635"
"lspA","","Lipoprotein signal peptidase",581,581,1,1,14,NA,NA,"",500,500,500,"NHHFDHOA_00008","LNFOPOPD_01209","LNNOOKGB_04478","OHGNPAHP_01628","GLJEHEMI_03718","KBLPGKMM_03072","FIBKOHBH_04130","KLKGDDID_01849","KHAGAGIB_03652","DLEBNIDD_04277","IJNFKBKA_02361","FHJCNOBE_01511","CLBIFFHN_04208","FBFFAOJI_03160","BCOIPCNK_04313"
"ubiX","","Flavin prenyltransferase UbiX",581,581,1,1,3913,NA,NA,"",569,569,569,"NHHFDHOA_01855","LNFOPOPD_01317","LNNOOKGB_01994","OHGNPAHP_02735","GLJEHEMI_02550","KBLPGKMM_00255","FIBKOHBH_01654","KLKGDDID_02693","KHAGAGIB_02098","DLEBNIDD_00746","IJNFKBKA_03265","FHJCNOBE_00918","CLBIFFHN_03802","FBFFAOJI_01031","BCOIPCNK_00761"
"group_5411","","hypothetical protein",581,581,1,1,3648,NA,NA,"",749,749,749,"NHHFDHOA_04389","LNFOPOPD_04518","LNNOOKGB_04333","OHGNPAHP_00526","GLJEHEMI_04564","KBLPGKMM_04380","FIBKOHBH_04455","KLKGDDID_04414","KHAGAGIB_00454","DLEBNIDD_02260","IJNFKBKA_04152","FHJCNOBE_04570","CLBIFFHN_02627","FBFFAOJI_04458","BCOIPCNK_04268"
"dadX","","Alanine racemase, catabolic",581,581,1,1,4794,NA,NA,"",1070,1070,1070,"NHHFDHOA_00781","LNFOPOPD_03855","LNNOOKGB_03490","OHGNPAHP_00615","GLJEHEMI_00070","KBLPGKMM_00420","FIBKOHBH_03940","KLKGDDID_00673","KHAGAGIB_04036","DLEBNIDD_03634","IJNFKBKA_00437","FHJCNOBE_04059","CLBIFFHN_02546","FBFFAOJI_00338","BCOIPCNK_03323"
"ppa","","Inorganic pyrophosphatase",581,581,1,1,6064,NA,NA,"",530,530,530,"NHHFDHOA_00235","LNFOPOPD_00980","LNNOOKGB_02178","OHGNPAHP_01856","GLJEHEMI_03319","KBLPGKMM_02136","FIBKOHBH_02000","KLKGDDID_01621","KHAGAGIB_02408","DLEBNIDD_04237","IJNFKBKA_00763","FHJCNOBE_01736","CLBIFFHN_01746","FBFFAOJI_02925","BCOIPCNK_02611"
"group_5414","","hypothetical protein",581,581,1,1,1946,NA,NA,"",629,629,629,"NHHFDHOA_04350","LNFOPOPD_04445","LNNOOKGB_04355","OHGNPAHP_04555","GLJEHEMI_04542","KBLPGKMM_04278","FIBKOHBH_04399","KLKGDDID_04470","KHAGAGIB_04382","DLEBNIDD_04038","IJNFKBKA_04240","FHJCNOBE_04497","CLBIFFHN_03290","FBFFAOJI_04416","BCOIPCNK_04348"
"citE_2","","Citrate lyase subunit beta",581,581,1,1,377,NA,NA,"",908,908,908,"NHHFDHOA_02515","LNFOPOPD_03242","LNNOOKGB_02909","OHGNPAHP_04030","GLJEHEMI_03790","KBLPGKMM_02726","FIBKOHBH_02177","KLKGDDID_03833","KHAGAGIB_03314","DLEBNIDD_01446","IJNFKBKA_01902","FHJCNOBE_03476","CLBIFFHN_00740","FBFFAOJI_03787","BCOIPCNK_02739"
"nirD","","Nitrite reductase (NADH) small subunit",581,581,1,1,1635,NA,NA,"",326,326,326,"NHHFDHOA_01440","LNFOPOPD_00077","LNNOOKGB_01007","OHGNPAHP_02402","GLJEHEMI_01954","KBLPGKMM_01563","FIBKOHBH_00336","KLKGDDID_02193","KHAGAGIB_00827","DLEBNIDD_00934","IJNFKBKA_00030","FHJCNOBE_01909","CLBIFFHN_00030","FBFFAOJI_00744","BCOIPCNK_01820"
"fliE","","Flagellar hook-basal body complex protein FliE",581,581,1,1,4627,NA,NA,"",314,314,314,"NHHFDHOA_00943","LNFOPOPD_00505","LNNOOKGB_03687","OHGNPAHP_00395","GLJEHEMI_01833","KBLPGKMM_04197","FIBKOHBH_03405","KLKGDDID_04507","KHAGAGIB_00323","DLEBNIDD_02129","IJNFKBKA_03076","FHJCNOBE_00092","CLBIFFHN_04259","FBFFAOJI_04071","BCOIPCNK_03149"
"fumD","","Fumarase D",581,581,1,1,5252,NA,NA,"",212,212,212,"NHHFDHOA_01159","LNFOPOPD_02157","LNNOOKGB_01280","OHGNPAHP_03241","GLJEHEMI_00483","KBLPGKMM_01275","FIBKOHBH_01065","KLKGDDID_00265","KHAGAGIB_02446","DLEBNIDD_00396","IJNFKBKA_01103","FHJCNOBE_02765","CLBIFFHN_00582","FBFFAOJI_03928","BCOIPCNK_02299"
"group_5419","","hypothetical protein",581,581,1,1,2746,NA,NA,"",410,410,410,"NHHFDHOA_03347","LNFOPOPD_02428","LNNOOKGB_00476","OHGNPAHP_01146","GLJEHEMI_01246","KBLPGKMM_00880","FIBKOHBH_03695","KLKGDDID_01217","KHAGAGIB_01124","DLEBNIDD_02662","IJNFKBKA_03400","FHJCNOBE_00624","CLBIFFHN_03531","FBFFAOJI_01996","BCOIPCNK_00474"
"group_5420","","hypothetical protein",581,581,1,1,3090,NA,NA,"",632,632,632,"NHHFDHOA_02127","LNFOPOPD_03996","LNNOOKGB_00073","OHGNPAHP_01548","GLJEHEMI_00845","KBLPGKMM_03893","FIBKOHBH_03307","KLKGDDID_00815","KHAGAGIB_02879","DLEBNIDD_02910","IJNFKBKA_03748","FHJCNOBE_02316","CLBIFFHN_00289","FBFFAOJI_01204","BCOIPCNK_00073"
"lplT","","Lysophospholipid transporter LplT",581,581,1,1,2898,NA,NA,"",1202,1202,1202,"NHHFDHOA_04057","LNFOPOPD_02778","LNNOOKGB_00328","OHGNPAHP_01294","GLJEHEMI_01098","KBLPGKMM_02599","FIBKOHBH_02303","KLKGDDID_01069","KHAGAGIB_00975","DLEBNIDD_03308","IJNFKBKA_03524","FHJCNOBE_00476","CLBIFFHN_01338","FBFFAOJI_01457","BCOIPCNK_00326"
"group_5422","","hypothetical protein",581,581,1,1,3040,NA,NA,"",1100,1100,1100,"NHHFDHOA_02167","LNFOPOPD_03956","LNNOOKGB_00033","OHGNPAHP_01588","GLJEHEMI_00805","KBLPGKMM_03782","FIBKOHBH_03347","KLKGDDID_00775","KHAGAGIB_02919","DLEBNIDD_02870","IJNFKBKA_03834","FHJCNOBE_02356","CLBIFFHN_03413","FBFFAOJI_01164","BCOIPCNK_00033"
"group_5423","","hypothetical protein",581,581,1,1,4534,NA,NA,"",362,362,362,"NHHFDHOA_01028","LNFOPOPD_00591","LNNOOKGB_03173","OHGNPAHP_00309","GLJEHEMI_01748","KBLPGKMM_03601","FIBKOHBH_01376","KLKGDDID_02578","KHAGAGIB_00238","DLEBNIDD_03119","IJNFKBKA_01629","FHJCNOBE_00177","CLBIFFHN_03955","FBFFAOJI_02178","BCOIPCNK_02087"
"group_5424","","hypothetical protein",581,581,1,1,3066,NA,NA,"",215,215,215,"NHHFDHOA_02149","LNFOPOPD_03974","LNNOOKGB_00051","OHGNPAHP_01570","GLJEHEMI_00823","KBLPGKMM_03800","FIBKOHBH_03329","KLKGDDID_00793","KHAGAGIB_02901","DLEBNIDD_02888","IJNFKBKA_03852","FHJCNOBE_02338","CLBIFFHN_03431","FBFFAOJI_01182","BCOIPCNK_00051"
"zraP","","Zinc resistance-associated protein",581,581,1,1,1525,NA,NA,"",455,455,455,"NHHFDHOA_04562","LNFOPOPD_04540","LNNOOKGB_04446","OHGNPAHP_04626","GLJEHEMI_04623","KBLPGKMM_04455","FIBKOHBH_04494","KLKGDDID_04619","KHAGAGIB_04469","DLEBNIDD_04501","IJNFKBKA_04567","FHJCNOBE_04592","CLBIFFHN_03744","FBFFAOJI_04499","BCOIPCNK_04436"
"trpR","","Trp operon repressor",581,581,1,1,80,NA,NA,"",326,326,326,"NHHFDHOA_00074","LNFOPOPD_01143","LNNOOKGB_02339","OHGNPAHP_01694","GLJEHEMI_03652","KBLPGKMM_03138","FIBKOHBH_01839","KLKGDDID_01783","KHAGAGIB_03718","DLEBNIDD_02374","IJNFKBKA_02295","FHJCNOBE_01577","CLBIFFHN_02943","FBFFAOJI_03226","BCOIPCNK_02923"
"yjhH","","putative 2-dehydro-3-deoxy-D-pentonate aldolase YjhH",581,581,1,1,1695,NA,NA,"",905,905,905,"NHHFDHOA_01496","LNFOPOPD_00133","LNNOOKGB_00951","OHGNPAHP_02346","GLJEHEMI_02010","KBLPGKMM_01619","FIBKOHBH_00280","KLKGDDID_02137","KHAGAGIB_00771","DLEBNIDD_00990","IJNFKBKA_00086","FHJCNOBE_01965","CLBIFFHN_00086","FBFFAOJI_00688","BCOIPCNK_01764"
"lepB","","Signal peptidase I",581,581,1,1,4073,NA,NA,"",974,974,974,"NHHFDHOA_03694","LNFOPOPD_01554","LNNOOKGB_03364","OHGNPAHP_02499","GLJEHEMI_02313","KBLPGKMM_00021","FIBKOHBH_03517","KLKGDDID_02931","KHAGAGIB_03785","DLEBNIDD_03044","IJNFKBKA_03937","FHJCNOBE_01155","CLBIFFHN_01665","FBFFAOJI_00794","BCOIPCNK_04230"
"group_5429","","hypothetical protein",581,581,1,1,763,NA,NA,"",131,131,131,"NHHFDHOA_02417","LNFOPOPD_02893","LNNOOKGB_02744","OHGNPAHP_02947","GLJEHEMI_02868","KBLPGKMM_01069","FIBKOHBH_00876","KLKGDDID_03167","KHAGAGIB_01749","DLEBNIDD_01180","IJNFKBKA_02380","FHJCNOBE_01287","CLBIFFHN_01853","FBFFAOJI_01584","BCOIPCNK_01167"
"ybgI","","GTP cyclohydrolase 1 type 2 ",581,581,1,1,291,NA,NA,"",743,743,743,"NHHFDHOA_02605","LNFOPOPD_03152","LNNOOKGB_02819","OHGNPAHP_04485","GLJEHEMI_03880","KBLPGKMM_02640","FIBKOHBH_02087","KLKGDDID_03923","KHAGAGIB_04224","DLEBNIDD_01356","IJNFKBKA_04198","FHJCNOBE_04451","CLBIFFHN_02986","FBFFAOJI_04336","BCOIPCNK_04390"
"ulaE_1","","L-ribulose-5-phosphate 3-epimerase UlaE",581,581,1,1,6034,NA,NA,"",854,854,854,"NHHFDHOA_00263","LNFOPOPD_00952","LNNOOKGB_04284","OHGNPAHP_01884","GLJEHEMI_03347","KBLPGKMM_02108","FIBKOHBH_02028","KLKGDDID_01593","KHAGAGIB_02380","DLEBNIDD_01982","IJNFKBKA_00735","FHJCNOBE_01764","CLBIFFHN_01718","FBFFAOJI_02897","BCOIPCNK_02583"
"nadA","","Quinolinate synthase A",581,581,1,1,264,NA,NA,"",1043,1043,1043,"NHHFDHOA_02636","LNFOPOPD_03121","LNNOOKGB_02788","OHGNPAHP_04454","GLJEHEMI_03911","KBLPGKMM_04564","FIBKOHBH_02056","KLKGDDID_03954","KHAGAGIB_04255","DLEBNIDD_01325","IJNFKBKA_04229","FHJCNOBE_04482","CLBIFFHN_02955","FBFFAOJI_04367","BCOIPCNK_04421"
"rpsP","","30S ribosomal protein S16",581,581,1,1,3021,NA,NA,"",248,248,248,"NHHFDHOA_02185","LNFOPOPD_03938","LNNOOKGB_00015","OHGNPAHP_01606","GLJEHEMI_00787","KBLPGKMM_03764","FIBKOHBH_03365","KLKGDDID_00757","KHAGAGIB_02937","DLEBNIDD_02852","IJNFKBKA_03816","FHJCNOBE_02374","CLBIFFHN_04097","FBFFAOJI_01146","BCOIPCNK_00015"
"ypjD","","Inner membrane protein YpjD",581,581,1,1,3023,NA,NA,"",791,791,791,"NHHFDHOA_02183","LNFOPOPD_03940","LNNOOKGB_00017","OHGNPAHP_01604","GLJEHEMI_00789","KBLPGKMM_03766","FIBKOHBH_03363","KLKGDDID_00759","KHAGAGIB_02935","DLEBNIDD_02854","IJNFKBKA_03818","FHJCNOBE_02372","CLBIFFHN_04095","FBFFAOJI_01148","BCOIPCNK_00017"
"lldD","","L-lactate dehydrogenase",581,581,1,1,1869,NA,NA,"",1190,1190,1190,"NHHFDHOA_01661","LNFOPOPD_00297","LNNOOKGB_00787","OHGNPAHP_02182","GLJEHEMI_02176","KBLPGKMM_03037","FIBKOHBH_00117","KLKGDDID_01973","KHAGAGIB_00606","DLEBNIDD_03392","IJNFKBKA_00250","FHJCNOBE_03562","CLBIFFHN_00250","FBFFAOJI_00524","BCOIPCNK_01600"
"ulaR","","HTH-type transcriptional regulator UlaR",581,581,1,1,6027,NA,NA,"",755,755,755,"NHHFDHOA_00269","LNFOPOPD_00946","LNNOOKGB_04278","OHGNPAHP_01890","GLJEHEMI_03353","KBLPGKMM_02102","FIBKOHBH_02034","KLKGDDID_01587","KHAGAGIB_02374","DLEBNIDD_01988","IJNFKBKA_00729","FHJCNOBE_01770","CLBIFFHN_01712","FBFFAOJI_02891","BCOIPCNK_02577"
"lsrC","","Autoinducer 2 import system permease protein LsrC",581,581,1,1,2295,NA,NA,"",1043,1043,1043,"NHHFDHOA_03161","LNFOPOPD_03727","LNNOOKGB_03054","OHGNPAHP_03865","GLJEHEMI_04129","KBLPGKMM_02861","FIBKOHBH_02648","KLKGDDID_04048","KHAGAGIB_03173","DLEBNIDD_03223","IJNFKBKA_01761","FHJCNOBE_03239","CLBIFFHN_03109","FBFFAOJI_03622","BCOIPCNK_03510"
"yidZ_2","","HTH-type transcriptional regulator YidZ",581,581,1,1,1404,NA,NA,"",959,959,959,"NHHFDHOA_03992","LNFOPOPD_04044","LNNOOKGB_04033","OHGNPAHP_04402","GLJEHEMI_04341","KBLPGKMM_03289","FIBKOHBH_03840","KLKGDDID_04237","KHAGAGIB_03993","DLEBNIDD_03438","IJNFKBKA_03557","FHJCNOBE_04184","CLBIFFHN_02135","FBFFAOJI_04215","BCOIPCNK_03850"
"ptsN","","Nitrogen regulatory protein",581,581,1,1,2575,NA,NA,"",491,491,491,"NHHFDHOA_03071","LNFOPOPD_02264","LNNOOKGB_00640","OHGNPAHP_00982","GLJEHEMI_01410","KBLPGKMM_00716","FIBKOHBH_03012","KLKGDDID_01382","KHAGAGIB_01289","DLEBNIDD_01924","IJNFKBKA_02660","FHJCNOBE_00788","CLBIFFHN_01527","FBFFAOJI_01832","BCOIPCNK_00638"
"pabB","","Aminodeoxychorismate synthase component 1",581,581,1,1,4772,NA,NA,"",1364,1364,1364,"NHHFDHOA_00803","LNFOPOPD_03877","LNNOOKGB_03512","OHGNPAHP_00593","GLJEHEMI_00048","KBLPGKMM_00398","FIBKOHBH_03918","KLKGDDID_00695","KHAGAGIB_04058","DLEBNIDD_03656","IJNFKBKA_00415","FHJCNOBE_04037","CLBIFFHN_02524","FBFFAOJI_00360","BCOIPCNK_03345"
"group_5441","","hypothetical protein",581,581,1,1,1775,NA,NA,"",2060,2060,2060,"NHHFDHOA_01574","LNFOPOPD_00211","LNNOOKGB_00873","OHGNPAHP_02268","GLJEHEMI_02088","KBLPGKMM_01697","FIBKOHBH_00203","KLKGDDID_02059","KHAGAGIB_00693","DLEBNIDD_01068","IJNFKBKA_00164","FHJCNOBE_02043","CLBIFFHN_00164","FBFFAOJI_00610","BCOIPCNK_01686"
"dctA","","Aerobic C4-dicarboxylate transport protein",581,581,1,1,1779,NA,NA,"",1286,1286,1286,"NHHFDHOA_01578","LNFOPOPD_00215","LNNOOKGB_00869","OHGNPAHP_02264","GLJEHEMI_02092","KBLPGKMM_01701","FIBKOHBH_00199","KLKGDDID_02055","KHAGAGIB_00689","DLEBNIDD_01072","IJNFKBKA_00168","FHJCNOBE_02047","CLBIFFHN_00168","FBFFAOJI_00606","BCOIPCNK_01682"
"accB","","Biotin carboxyl carrier protein of acetyl-CoA carboxylase",581,581,1,1,1967,NA,NA,"",470,470,470,"NHHFDHOA_04329","LNFOPOPD_04466","LNNOOKGB_04376","OHGNPAHP_04576","GLJEHEMI_04521","KBLPGKMM_04299","FIBKOHBH_04420","KLKGDDID_04449","KHAGAGIB_04403","DLEBNIDD_04017","IJNFKBKA_04261","FHJCNOBE_04518","CLBIFFHN_03269","FBFFAOJI_04395","BCOIPCNK_04369"
"yhhA","","putative protein YhhA",581,581,1,1,1716,NA,NA,"",416,416,416,"NHHFDHOA_01516","LNFOPOPD_00153","LNNOOKGB_00931","OHGNPAHP_02326","GLJEHEMI_02030","KBLPGKMM_01639","FIBKOHBH_00261","KLKGDDID_02117","KHAGAGIB_00751","DLEBNIDD_01010","IJNFKBKA_00106","FHJCNOBE_01985","CLBIFFHN_00106","FBFFAOJI_00668","BCOIPCNK_01744"
"lnt","","Apolipoprotein N-acyltransferase",581,581,1,1,331,NA,NA,"",1589,1589,1589,"NHHFDHOA_02560","LNFOPOPD_03197","LNNOOKGB_02864","OHGNPAHP_03985","GLJEHEMI_03835","KBLPGKMM_02681","FIBKOHBH_02132","KLKGDDID_03878","KHAGAGIB_03269","DLEBNIDD_01401","IJNFKBKA_01857","FHJCNOBE_03521","CLBIFFHN_00695","FBFFAOJI_03742","BCOIPCNK_02784"
