"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR1461785","SRR3097426","SRR5877170","SRR14766359","SRR8728065","SRR11068404","NDSU1","SRR14766419","SRR12075372","SRR14766452","SRR11101167","SRR1333873","SRR14766421","SRR14766430","SRR12418434"
"group_5597","","hypothetical protein",581,581,1,1,3650,NA,NA,"",566,566,566,"JAFODMFN_04475","PBDKJOHP_04443","GJPDLPPO_04460","PLKMKOCD_03727","OMPAEEHE_04497","NHHFDHOA_04387","GEPIEMCB_04608","JCGPGLCM_00423","OHGDDBEJ_04342","APEDILLO_04395","ELELPFCC_04449","DCMJPIDO_04538","HEDGDFAA_03051","GHDKDIHM_04470","FECNONKH_04262"
"pheA","","Bifunctional chorismate mutase/prephenate dehydratase",581,581,1,1,3012,NA,NA,"",1160,1160,1160,"JAFODMFN_00664","PBDKJOHP_04292","GJPDLPPO_00444","PLKMKOCD_03912","OMPAEEHE_00481","NHHFDHOA_02194","GEPIEMCB_00749","JCGPGLCM_00697","OHGDDBEJ_00006","APEDILLO_04534","ELELPFCC_03369","DCMJPIDO_00663","HEDGDFAA_00006","GHDKDIHM_04598","FECNONKH_01307"
"mtr","","Tryptophan-specific transport protein",581,581,1,1,2620,NA,NA,"",1244,1244,1244,"JAFODMFN_00076","PBDKJOHP_01723","GJPDLPPO_03078","PLKMKOCD_00441","OMPAEEHE_02851","NHHFDHOA_03027","GEPIEMCB_01337","JCGPGLCM_00330","OHGDDBEJ_00598","APEDILLO_00075","ELELPFCC_03114","DCMJPIDO_00075","HEDGDFAA_01271","GHDKDIHM_02503","FECNONKH_02163"
"cvpA","","Colicin V production protein",581,581,1,1,3921,NA,NA,"",488,488,488,"JAFODMFN_02617","PBDKJOHP_02727","GJPDLPPO_01664","PLKMKOCD_01622","OMPAEEHE_01679","NHHFDHOA_01848","GEPIEMCB_02894","JCGPGLCM_02421","OHGDDBEJ_04304","APEDILLO_01744","ELELPFCC_02425","DCMJPIDO_02757","HEDGDFAA_02028","GHDKDIHM_02741","FECNONKH_02272"
"group_5601","","hypothetical protein",581,581,1,1,3113,NA,NA,"",431,431,431,"JAFODMFN_00576","PBDKJOHP_00627","GJPDLPPO_00356","PLKMKOCD_01357","OMPAEEHE_00393","NHHFDHOA_02106","GEPIEMCB_00837","JCGPGLCM_00785","OHGDDBEJ_00096","APEDILLO_00575","ELELPFCC_03281","DCMJPIDO_00575","HEDGDFAA_00094","GHDKDIHM_01277","FECNONKH_01219"
"yrfG","","GMP/IMP nucleotidase YrfG",581,581,1,1,1657,NA,NA,"",668,668,668,"JAFODMFN_02317","PBDKJOHP_01522","GJPDLPPO_02164","PLKMKOCD_01793","OMPAEEHE_02181","NHHFDHOA_01460","GEPIEMCB_02737","JCGPGLCM_01103","OHGDDBEJ_01572","APEDILLO_01444","ELELPFCC_01094","DCMJPIDO_02457","HEDGDFAA_00271","GHDKDIHM_01160","FECNONKH_00495"
"lptF","","Lipopolysaccharide export system permease protein LptF",581,581,1,1,6109,NA,NA,"",1100,1100,1100,"JAFODMFN_01408","PBDKJOHP_02869","GJPDLPPO_01048","PLKMKOCD_04169","OMPAEEHE_02733","NHHFDHOA_00191","GEPIEMCB_02167","JCGPGLCM_02774","OHGDDBEJ_00864","APEDILLO_02106","ELELPFCC_00191","DCMJPIDO_01948","HEDGDFAA_03834","GHDKDIHM_00653","FECNONKH_03840"
"pncB","","Nicotinate phosphoribosyltransferase",581,581,1,1,4410,NA,NA,"",1202,1202,1202,"JAFODMFN_00956","PBDKJOHP_03851","GJPDLPPO_04353","PLKMKOCD_03228","OMPAEEHE_00615","NHHFDHOA_02758","GEPIEMCB_03195","JCGPGLCM_01634","OHGDDBEJ_02060","APEDILLO_00841","ELELPFCC_01966","DCMJPIDO_01406","HEDGDFAA_02808","GHDKDIHM_00080","FECNONKH_00128"
"group_5605","","hypothetical protein",581,581,1,1,5797,NA,NA,"",197,197,197,"JAFODMFN_02926","PBDKJOHP_03343","GJPDLPPO_01864","PLKMKOCD_00255","OMPAEEHE_03208","NHHFDHOA_03470","GEPIEMCB_03508","JCGPGLCM_02046","OHGDDBEJ_03313","APEDILLO_02268","ELELPFCC_02238","DCMJPIDO_03052","HEDGDFAA_01815","GHDKDIHM_03170","FECNONKH_01969"
"dauR","","Transcriptional regulator DauR",581,581,1,1,1612,NA,NA,"",722,722,722,"JAFODMFN_02360","PBDKJOHP_01565","GJPDLPPO_02207","PLKMKOCD_01750","OMPAEEHE_02138","NHHFDHOA_01417","GEPIEMCB_02780","JCGPGLCM_01146","OHGDDBEJ_01529","APEDILLO_01487","ELELPFCC_01137","DCMJPIDO_02500","HEDGDFAA_03584","GHDKDIHM_01203","FECNONKH_00538"
"group_5607","","hypothetical protein",581,581,1,1,4042,NA,NA,"",230,230,230,"JAFODMFN_02497","PBDKJOHP_02608","GJPDLPPO_01544","PLKMKOCD_00547","OMPAEEHE_01799","NHHFDHOA_01728","GEPIEMCB_03015","JCGPGLCM_02133","OHGDDBEJ_02919","APEDILLO_01624","ELELPFCC_02545","DCMJPIDO_02637","HEDGDFAA_00866","GHDKDIHM_02621","FECNONKH_02830"
"group_5608","","hypothetical protein",581,581,1,1,2971,NA,NA,"",560,560,560,"JAFODMFN_00419","PBDKJOHP_00782","GJPDLPPO_00199","PLKMKOCD_00769","OMPAEEHE_00236","NHHFDHOA_01949","GEPIEMCB_00994","JCGPGLCM_00943","OHGDDBEJ_00253","APEDILLO_00418","ELELPFCC_01732","DCMJPIDO_00418","HEDGDFAA_00251","GHDKDIHM_01434","FECNONKH_01062"
"ybiS","","putative L,D-transpeptidase YbiS",581,581,1,1,4267,NA,NA,"",920,920,920,"JAFODMFN_01085","PBDKJOHP_03992","GJPDLPPO_03965","PLKMKOCD_04507","OMPAEEHE_04669","NHHFDHOA_04260","GEPIEMCB_03324","JCGPGLCM_03173","OHGDDBEJ_04220","APEDILLO_00712","ELELPFCC_04362","DCMJPIDO_01276","HEDGDFAA_04473","GHDKDIHM_03923","FECNONKH_03710"
"aroB","","3-dehydroquinate synthase",581,581,1,1,1646,NA,NA,"",1088,1088,1088,"JAFODMFN_02327","PBDKJOHP_01532","GJPDLPPO_02174","PLKMKOCD_01783","OMPAEEHE_02171","NHHFDHOA_01450","GEPIEMCB_02747","JCGPGLCM_01113","OHGDDBEJ_01562","APEDILLO_01454","ELELPFCC_01104","DCMJPIDO_02467","HEDGDFAA_00261","GHDKDIHM_01170","FECNONKH_00505"
"ybiI_1","","putative protein YbiI",581,581,1,1,3084,NA,NA,"",227,227,227,"JAFODMFN_00603","PBDKJOHP_00600","GJPDLPPO_00383","PLKMKOCD_01384","OMPAEEHE_00420","NHHFDHOA_02133","GEPIEMCB_00810","JCGPGLCM_00758","OHGDDBEJ_00068","APEDILLO_00602","ELELPFCC_03308","DCMJPIDO_00602","HEDGDFAA_00067","GHDKDIHM_01250","FECNONKH_01246"
"yqaA","","Inner membrane protein YqaA",581,581,1,1,3151,NA,NA,"",425,425,425,"JAFODMFN_00541","PBDKJOHP_00662","GJPDLPPO_00321","PLKMKOCD_00891","OMPAEEHE_00358","NHHFDHOA_02071","GEPIEMCB_00872","JCGPGLCM_00820","OHGDDBEJ_00131","APEDILLO_00540","ELELPFCC_03246","DCMJPIDO_00540","HEDGDFAA_00129","GHDKDIHM_01312","FECNONKH_01184"
"bioH","","Pimeloyl-[acyl-carrier protein] methyl ester esterase",581,581,1,1,1672,NA,NA,"",770,770,770,"JAFODMFN_02304","PBDKJOHP_01509","GJPDLPPO_02151","PLKMKOCD_00005","OMPAEEHE_02194","NHHFDHOA_01473","GEPIEMCB_02724","JCGPGLCM_01090","OHGDDBEJ_01585","APEDILLO_01431","ELELPFCC_01081","DCMJPIDO_02444","HEDGDFAA_00285","GHDKDIHM_01147","FECNONKH_00482"
"zapB","","Cell division protein ZapB",581,581,1,1,2195,NA,NA,"",239,239,239,"JAFODMFN_03712","PBDKJOHP_03555","GJPDLPPO_02653","PLKMKOCD_02836","OMPAEEHE_03736","NHHFDHOA_03148","GEPIEMCB_04047","JCGPGLCM_02915","OHGDDBEJ_03452","APEDILLO_03775","ELELPFCC_03421","DCMJPIDO_03857","HEDGDFAA_03113","GHDKDIHM_03456","FECNONKH_02476"
"mdtH","","Multidrug resistance protein MdtH",581,581,1,1,5493,NA,NA,"",1208,1208,1208,"JAFODMFN_03966","PBDKJOHP_02297","GJPDLPPO_02296","PLKMKOCD_02145","OMPAEEHE_01536","NHHFDHOA_01387","GEPIEMCB_00711","JCGPGLCM_02649","OHGDDBEJ_02198","APEDILLO_03857","ELELPFCC_03942","DCMJPIDO_03638","HEDGDFAA_01107","GHDKDIHM_01554","FECNONKH_01026"
"galE","","UDP-glucose 4-epimerase",581,581,1,1,4203,NA,NA,"",1016,1016,1016,"JAFODMFN_01146","PBDKJOHP_04053","GJPDLPPO_04026","PLKMKOCD_02618","OMPAEEHE_04214","NHHFDHOA_04199","GEPIEMCB_03385","JCGPGLCM_03234","OHGDDBEJ_04159","APEDILLO_00651","ELELPFCC_04301","DCMJPIDO_01215","HEDGDFAA_02286","GHDKDIHM_03984","FECNONKH_03771"
"modF","","ABC transporter ATP-binding protein ModF",581,581,1,1,4205,NA,NA,"",1475,1475,1475,"JAFODMFN_01144","PBDKJOHP_04051","GJPDLPPO_04024","PLKMKOCD_02616","OMPAEEHE_04216","NHHFDHOA_04201","GEPIEMCB_03383","JCGPGLCM_03232","OHGDDBEJ_04161","APEDILLO_00653","ELELPFCC_04303","DCMJPIDO_01217","HEDGDFAA_02284","GHDKDIHM_03982","FECNONKH_03769"
"group_5618","","hypothetical protein",581,581,1,1,5921,NA,NA,"",389,389,389,"JAFODMFN_02997","PBDKJOHP_04302","GJPDLPPO_01793","PLKMKOCD_00326","OMPAEEHE_03137","NHHFDHOA_03399","GEPIEMCB_03579","JCGPGLCM_01975","OHGDDBEJ_03242","APEDILLO_02339","ELELPFCC_02309","DCMJPIDO_03123","HEDGDFAA_02402","GHDKDIHM_03099","FECNONKH_02040"
"amyA","","Cytoplasmic alpha-amylase",581,581,1,1,4632,NA,NA,"",1484,1484,1484,"JAFODMFN_00756","PBDKJOHP_00099","GJPDLPPO_03441","PLKMKOCD_00924","OMPAEEHE_00815","NHHFDHOA_00938","GEPIEMCB_03764","JCGPGLCM_00546","OHGDDBEJ_03877","APEDILLO_01041","ELELPFCC_03837","DCMJPIDO_01607","HEDGDFAA_01678","GHDKDIHM_00280","FECNONKH_03096"
"cysE_2","","Serine acetyltransferase",581,581,1,1,5783,NA,NA,"",488,488,488,"JAFODMFN_02912","PBDKJOHP_03357","GJPDLPPO_01878","PLKMKOCD_00241","OMPAEEHE_03222","NHHFDHOA_03484","GEPIEMCB_03494","JCGPGLCM_02060","OHGDDBEJ_03327","APEDILLO_02254","ELELPFCC_02224","DCMJPIDO_03038","HEDGDFAA_01829","GHDKDIHM_03302","FECNONKH_01955"
"surE","","5'/3'-nucleotidase SurE",581,581,1,1,2988,NA,NA,"",761,761,761,"JAFODMFN_00434","PBDKJOHP_00767","GJPDLPPO_00214","PLKMKOCD_00784","OMPAEEHE_00251","NHHFDHOA_01964","GEPIEMCB_00979","JCGPGLCM_00928","OHGDDBEJ_00238","APEDILLO_00433","ELELPFCC_01747","DCMJPIDO_00433","HEDGDFAA_00236","GHDKDIHM_01419","FECNONKH_01077"
"plsC","","1-acyl-sn-glycerol-3-phosphate acyltransferase",581,581,1,1,2724,NA,NA,"",737,737,737,"JAFODMFN_00177","PBDKJOHP_01622","GJPDLPPO_04076","PLKMKOCD_03507","OMPAEEHE_02750","NHHFDHOA_03366","GEPIEMCB_01236","JCGPGLCM_00229","OHGDDBEJ_00496","APEDILLO_00176","ELELPFCC_03013","DCMJPIDO_00176","HEDGDFAA_03692","GHDKDIHM_02402","FECNONKH_03947"
"nei","","Endonuclease 8",581,581,1,1,287,NA,NA,"",791,791,791,"JAFODMFN_03439","PBDKJOHP_04157","GJPDLPPO_04292","PLKMKOCD_03160","OMPAEEHE_04422","NHHFDHOA_02609","GEPIEMCB_01940","JCGPGLCM_04260","OHGDDBEJ_04259","APEDILLO_03019","ELELPFCC_04376","DCMJPIDO_04463","HEDGDFAA_03621","GHDKDIHM_04303","FECNONKH_04183"
"group_5624","","ISNCY family transposase ISRor2",581,581,1,1,1478,NA,NA,"",941,941,941,"JAFODMFN_02040","PBDKJOHP_01246","GJPDLPPO_03232","PLKMKOCD_03338","OMPAEEHE_03055","NHHFDHOA_03766","GEPIEMCB_02460","JCGPGLCM_03873","OHGDDBEJ_01849","APEDILLO_01168","ELELPFCC_04171","DCMJPIDO_02180","HEDGDFAA_01568","GHDKDIHM_00884","FECNONKH_04236"
"sulA","","Cell division inhibitor SulA",581,581,1,1,4489,NA,NA,"",509,509,509,"JAFODMFN_00886","PBDKJOHP_04360","GJPDLPPO_03617","PLKMKOCD_03487","OMPAEEHE_00685","NHHFDHOA_01068","GEPIEMCB_03634","JCGPGLCM_00677","OHGDDBEJ_01989","APEDILLO_00911","ELELPFCC_01896","DCMJPIDO_01476","HEDGDFAA_01978","GHDKDIHM_00150","FECNONKH_00199"
"prlC","","Oligopeptidase A",581,581,1,1,1759,NA,NA,"",2042,2042,2042,"JAFODMFN_02219","PBDKJOHP_01424","GJPDLPPO_02066","PLKMKOCD_00090","OMPAEEHE_02279","NHHFDHOA_01558","GEPIEMCB_02639","JCGPGLCM_01005","OHGDDBEJ_01670","APEDILLO_01346","ELELPFCC_00996","DCMJPIDO_02359","HEDGDFAA_00371","GHDKDIHM_01062","FECNONKH_00397"
"dgoK1","","putative 2-dehydro-3-deoxygalactonokinase DgoK1",581,581,1,1,1418,NA,NA,"",878,878,878,"JAFODMFN_04247","PBDKJOHP_01187","GJPDLPPO_03816","PLKMKOCD_02978","OMPAEEHE_04059","NHHFDHOA_03978","GEPIEMCB_04386","JCGPGLCM_03116","OHGDDBEJ_04140","APEDILLO_04187","ELELPFCC_04120","DCMJPIDO_04242","HEDGDFAA_01866","GHDKDIHM_03866","FECNONKH_03653"
"ygiN","","putative quinol monooxygenase YgiN",581,581,1,1,2717,NA,NA,"",314,314,314,"JAFODMFN_00170","PBDKJOHP_01629","GJPDLPPO_04069","PLKMKOCD_03514","OMPAEEHE_02757","NHHFDHOA_03373","GEPIEMCB_01243","JCGPGLCM_00236","OHGDDBEJ_00503","APEDILLO_00169","ELELPFCC_03020","DCMJPIDO_00169","HEDGDFAA_03699","GHDKDIHM_02409","FECNONKH_03954"
"fldA","","Flavodoxin 1",581,581,1,1,309,NA,NA,"",530,530,530,"JAFODMFN_03418","PBDKJOHP_04178","GJPDLPPO_02887","PLKMKOCD_01516","OMPAEEHE_04605","NHHFDHOA_02588","GEPIEMCB_01919","JCGPGLCM_02462","OHGDDBEJ_03507","APEDILLO_03040","ELELPFCC_03526","DCMJPIDO_03962","HEDGDFAA_01436","GHDKDIHM_03049","FECNONKH_02660"
"group_5630","","hypothetical protein",581,581,1,1,6118,NA,NA,"",248,248,248,"JAFODMFN_01418","PBDKJOHP_02859","GJPDLPPO_01058","PLKMKOCD_04179","OMPAEEHE_02723","NHHFDHOA_00181","GEPIEMCB_02157","JCGPGLCM_02784","OHGDDBEJ_00854","APEDILLO_02116","ELELPFCC_00181","DCMJPIDO_01958","HEDGDFAA_03824","GHDKDIHM_00663","FECNONKH_03850"
"group_5631","","hypothetical protein",581,581,1,1,2631,NA,NA,"",635,635,635,"JAFODMFN_00087","PBDKJOHP_01712","GJPDLPPO_03067","PLKMKOCD_00452","OMPAEEHE_02840","NHHFDHOA_03016","GEPIEMCB_01326","JCGPGLCM_00319","OHGDDBEJ_00587","APEDILLO_00086","ELELPFCC_03103","DCMJPIDO_00086","HEDGDFAA_01260","GHDKDIHM_02492","FECNONKH_02152"
"pxpA","","5-oxoprolinase subunit A",581,581,1,1,288,NA,NA,"",734,734,734,"JAFODMFN_03438","PBDKJOHP_04158","GJPDLPPO_04293","PLKMKOCD_03161","OMPAEEHE_04423","NHHFDHOA_02608","GEPIEMCB_01939","JCGPGLCM_04261","OHGDDBEJ_04260","APEDILLO_03020","ELELPFCC_04375","DCMJPIDO_04464","HEDGDFAA_03622","GHDKDIHM_04304","FECNONKH_04184"
"qseB","","Transcriptional regulatory protein QseB",581,581,1,1,2720,NA,NA,"",659,659,659,"JAFODMFN_00173","PBDKJOHP_01626","GJPDLPPO_04072","PLKMKOCD_03511","OMPAEEHE_02754","NHHFDHOA_03370","GEPIEMCB_01240","JCGPGLCM_00233","OHGDDBEJ_00500","APEDILLO_00172","ELELPFCC_03017","DCMJPIDO_00172","HEDGDFAA_03696","GHDKDIHM_02406","FECNONKH_03951"
"nadE","","NH(3)-dependent NAD(+) synthetase",581,581,1,1,5336,NA,NA,"",827,827,827,"JAFODMFN_04084","PBDKJOHP_02145","GJPDLPPO_02448","PLKMKOCD_00689","OMPAEEHE_01384","NHHFDHOA_01235","GEPIEMCB_00559","JCGPGLCM_01229","OHGDDBEJ_02350","APEDILLO_02639","ELELPFCC_02931","DCMJPIDO_03790","HEDGDFAA_00713","GHDKDIHM_01706","FECNONKH_00874"
"yidH","","Inner membrane protein YidH",581,581,1,1,1443,NA,NA,"",347,347,347,"JAFODMFN_02005","PBDKJOHP_01211","GJPDLPPO_03267","PLKMKOCD_03373","OMPAEEHE_03090","NHHFDHOA_03801","GEPIEMCB_02425","JCGPGLCM_03908","OHGDDBEJ_01884","APEDILLO_01133","ELELPFCC_04136","DCMJPIDO_02145","HEDGDFAA_01533","GHDKDIHM_00849","FECNONKH_04201"
"moeB","","Molybdopterin-synthase adenylyltransferase",581,581,1,1,4276,NA,NA,"",749,749,749,"JAFODMFN_01076","PBDKJOHP_03806","GJPDLPPO_03011","PLKMKOCD_04018","OMPAEEHE_00494","NHHFDHOA_04574","GEPIEMCB_03315","JCGPGLCM_01754","OHGDDBEJ_02180","APEDILLO_00721","ELELPFCC_02086","DCMJPIDO_01285","HEDGDFAA_03877","GHDKDIHM_04323","FECNONKH_00008"
"yfhM","","Alpha-2-macroglobulin",581,581,1,1,4127,NA,NA,"",4661,4661,4661,"JAFODMFN_02439","PBDKJOHP_01059","GJPDLPPO_03704","PLKMKOCD_01091","OMPAEEHE_03588","NHHFDHOA_03642","GEPIEMCB_03074","JCGPGLCM_04172","OHGDDBEJ_02861","APEDILLO_01566","ELELPFCC_03731","DCMJPIDO_02579","HEDGDFAA_03074","GHDKDIHM_03679","FECNONKH_02989"
"glaH_2","","Glutarate 2-hydroxylase",581,581,1,1,3116,NA,NA,"",389,389,389,"JAFODMFN_00573","PBDKJOHP_00630","GJPDLPPO_00353","PLKMKOCD_01354","OMPAEEHE_00390","NHHFDHOA_02103","GEPIEMCB_00840","JCGPGLCM_00788","OHGDDBEJ_00099","APEDILLO_00572","ELELPFCC_03278","DCMJPIDO_00572","HEDGDFAA_00097","GHDKDIHM_01280","FECNONKH_01216"
"rhaB","","Rhamnulokinase",581,581,1,1,2266,NA,NA,"",1469,1469,1469,"JAFODMFN_03671","PBDKJOHP_03515","GJPDLPPO_02693","PLKMKOCD_04425","OMPAEEHE_04381","NHHFDHOA_03188","GEPIEMCB_04087","JCGPGLCM_03552","OHGDDBEJ_03412","APEDILLO_03735","ELELPFCC_03461","DCMJPIDO_03897","HEDGDFAA_04377","GHDKDIHM_03496","FECNONKH_02436"
"abaF","","Fosfomycin resistance protein AbaF",581,581,1,1,2378,NA,NA,"",803,803,803,"JAFODMFN_04381","PBDKJOHP_01956","GJPDLPPO_04169","PLKMKOCD_02694","OMPAEEHE_04306","NHHFDHOA_04299","GEPIEMCB_03888","JCGPGLCM_03458","OHGDDBEJ_03163","APEDILLO_02417","ELELPFCC_02621","DCMJPIDO_03565","HEDGDFAA_02498","GHDKDIHM_04085","FECNONKH_04003"
"ttdA_2","","L(+)-tartrate dehydratase subunit alpha",581,581,1,1,1943,NA,NA,"",899,899,899,"JAFODMFN_04401","PBDKJOHP_04386","GJPDLPPO_04440","PLKMKOCD_03418","OMPAEEHE_04436","NHHFDHOA_04353","GEPIEMCB_04574","JCGPGLCM_03995","OHGDDBEJ_04460","APEDILLO_04321","ELELPFCC_04510","DCMJPIDO_04517","HEDGDFAA_03356","GHDKDIHM_04416","FECNONKH_04339"
"dapD","","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",581,581,1,1,2376,NA,NA,"",824,824,824,"JAFODMFN_04379","PBDKJOHP_01958","GJPDLPPO_04171","PLKMKOCD_02696","OMPAEEHE_04304","NHHFDHOA_04297","GEPIEMCB_03886","JCGPGLCM_03460","OHGDDBEJ_03165","APEDILLO_02415","ELELPFCC_02619","DCMJPIDO_03567","HEDGDFAA_02500","GHDKDIHM_04083","FECNONKH_04001"
"group_5643","","hypothetical protein",581,581,1,1,4238,NA,NA,"",170,170,170,"JAFODMFN_01113","PBDKJOHP_04020","GJPDLPPO_03993","PLKMKOCD_02585","OMPAEEHE_04247","NHHFDHOA_04232","GEPIEMCB_03352","JCGPGLCM_03201","OHGDDBEJ_04192","APEDILLO_00684","ELELPFCC_04334","DCMJPIDO_01248","HEDGDFAA_02253","GHDKDIHM_03951","FECNONKH_03738"
"slyX","","Protein SlyX",581,581,1,1,1614,NA,NA,"",218,218,218,"JAFODMFN_02358","PBDKJOHP_01563","GJPDLPPO_02205","PLKMKOCD_01752","OMPAEEHE_02140","NHHFDHOA_01419","GEPIEMCB_02778","JCGPGLCM_01144","OHGDDBEJ_01531","APEDILLO_01485","ELELPFCC_01135","DCMJPIDO_02498","HEDGDFAA_03586","GHDKDIHM_01201","FECNONKH_00536"
"ywrO","","General stress protein 14",581,581,1,1,1618,NA,NA,"",551,551,551,"JAFODMFN_02354","PBDKJOHP_01559","GJPDLPPO_02201","PLKMKOCD_01756","OMPAEEHE_02144","NHHFDHOA_01423","GEPIEMCB_02774","JCGPGLCM_01140","OHGDDBEJ_01535","APEDILLO_01481","ELELPFCC_01131","DCMJPIDO_02494","HEDGDFAA_03590","GHDKDIHM_01197","FECNONKH_00532"
"torC","","Cytochrome c-type protein TorC",581,581,1,1,1425,NA,NA,"",1184,1184,1184,"JAFODMFN_04254","PBDKJOHP_01194","GJPDLPPO_03809","PLKMKOCD_02971","OMPAEEHE_04052","NHHFDHOA_03971","GEPIEMCB_04393","JCGPGLCM_03109","OHGDDBEJ_04147","APEDILLO_04194","ELELPFCC_04127","DCMJPIDO_04249","HEDGDFAA_01859","GHDKDIHM_03859","FECNONKH_03646"
"yceO","","putative protein YceO",581,581,1,1,5500,NA,NA,"",113,113,113,"JAFODMFN_03973","PBDKJOHP_02304","GJPDLPPO_02289","PLKMKOCD_04318","OMPAEEHE_01543","NHHFDHOA_01394","GEPIEMCB_00718","JCGPGLCM_02656","OHGDDBEJ_02191","APEDILLO_03850","ELELPFCC_03949","DCMJPIDO_03631","HEDGDFAA_01114","GHDKDIHM_01547","FECNONKH_01033"
"group_5648","","hypothetical protein",581,581,1,1,5882,NA,NA,"",467,467,467,"JAFODMFN_02958","PBDKJOHP_03311","GJPDLPPO_01832","PLKMKOCD_00287","OMPAEEHE_03176","NHHFDHOA_03438","GEPIEMCB_03540","JCGPGLCM_02014","OHGDDBEJ_03281","APEDILLO_02300","ELELPFCC_02270","DCMJPIDO_03084","HEDGDFAA_02363","GHDKDIHM_03138","FECNONKH_02001"
"yhbE","","putative inner membrane transporter YhbE",581,581,1,1,2595,NA,NA,"",890,890,890,"JAFODMFN_00051","PBDKJOHP_01747","GJPDLPPO_03102","PLKMKOCD_00417","OMPAEEHE_02875","NHHFDHOA_03051","GEPIEMCB_01361","JCGPGLCM_00354","OHGDDBEJ_00622","APEDILLO_00051","ELELPFCC_03138","DCMJPIDO_00051","HEDGDFAA_01295","GHDKDIHM_02527","FECNONKH_02187"
"dmlR_7","","HTH-type transcriptional regulator DmlR",581,581,1,1,1955,NA,NA,"",929,929,929,"JAFODMFN_04413","PBDKJOHP_04398","GJPDLPPO_04428","PLKMKOCD_03430","OMPAEEHE_04448","NHHFDHOA_04341","GEPIEMCB_04562","JCGPGLCM_04007","OHGDDBEJ_04448","APEDILLO_04333","ELELPFCC_04498","DCMJPIDO_04505","HEDGDFAA_03344","GHDKDIHM_04428","FECNONKH_04327"
"yedJ","","putative protein YedJ",581,581,1,1,4601,NA,NA,"",695,695,695,"JAFODMFN_00785","PBDKJOHP_00071","GJPDLPPO_03412","PLKMKOCD_00895","OMPAEEHE_00786","NHHFDHOA_00967","GEPIEMCB_03735","JCGPGLCM_00575","OHGDDBEJ_03907","APEDILLO_01012","ELELPFCC_03866","DCMJPIDO_01578","HEDGDFAA_01707","GHDKDIHM_00251","FECNONKH_03125"
"pmbA","","Metalloprotease PmbA",581,581,1,1,6069,NA,NA,"",1352,1352,1352,"JAFODMFN_01368","PBDKJOHP_02909","GJPDLPPO_01008","PLKMKOCD_02268","OMPAEEHE_01871","NHHFDHOA_00231","GEPIEMCB_02207","JCGPGLCM_02734","OHGDDBEJ_00904","APEDILLO_02064","ELELPFCC_00231","DCMJPIDO_01908","HEDGDFAA_02194","GHDKDIHM_00613","FECNONKH_00579"
"levE","","PTS system fructose-specific EIIB component",581,581,1,1,1473,NA,NA,"",485,485,485,"JAFODMFN_02035","PBDKJOHP_01241","GJPDLPPO_03237","PLKMKOCD_03343","OMPAEEHE_03060","NHHFDHOA_03771","GEPIEMCB_02455","JCGPGLCM_03878","OHGDDBEJ_01854","APEDILLO_01163","ELELPFCC_04166","DCMJPIDO_02175","HEDGDFAA_01563","GHDKDIHM_00879","FECNONKH_04231"
"eutM","","Ethanolamine utilization protein EutM",581,581,1,1,4033,NA,NA,"",290,290,290,"JAFODMFN_02506","PBDKJOHP_02617","GJPDLPPO_01553","PLKMKOCD_00556","OMPAEEHE_01790","NHHFDHOA_01737","GEPIEMCB_03006","JCGPGLCM_02142","OHGDDBEJ_02928","APEDILLO_01633","ELELPFCC_02536","DCMJPIDO_02646","HEDGDFAA_00875","GHDKDIHM_02630","FECNONKH_02839"
"group_5655","","hypothetical protein",581,581,1,1,4168,NA,NA,"",1067,1067,1067,"JAFODMFN_02477","PBDKJOHP_01020","GJPDLPPO_01524","PLKMKOCD_00527","OMPAEEHE_01819","NHHFDHOA_01708","GEPIEMCB_03035","JCGPGLCM_02113","OHGDDBEJ_02899","APEDILLO_01604","ELELPFCC_02565","DCMJPIDO_02617","HEDGDFAA_00846","GHDKDIHM_02601","FECNONKH_02810"
"ydjF_2","","putative HTH-type transcriptional regulator YdjF",581,581,1,1,5357,NA,NA,"",758,758,758,"JAFODMFN_04064","PBDKJOHP_02165","GJPDLPPO_02428","PLKMKOCD_00709","OMPAEEHE_01404","NHHFDHOA_01255","GEPIEMCB_00579","JCGPGLCM_01209","OHGDDBEJ_02330","APEDILLO_02619","ELELPFCC_02951","DCMJPIDO_03770","HEDGDFAA_00693","GHDKDIHM_01686","FECNONKH_00894"
"mhbM","","3-hydroxybenzoate 6-hydroxylase",581,581,1,1,5899,NA,NA,"",1193,1193,1193,"JAFODMFN_02975","PBDKJOHP_03294","GJPDLPPO_01815","PLKMKOCD_00304","OMPAEEHE_03159","NHHFDHOA_03421","GEPIEMCB_03557","JCGPGLCM_01997","OHGDDBEJ_03264","APEDILLO_02317","ELELPFCC_02287","DCMJPIDO_03101","HEDGDFAA_02380","GHDKDIHM_03121","FECNONKH_02018"
