"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","NDSU10","SRR6310053","SRR3037435","SRR3097528","SRR15146546","SRR980326","SRR15146530","SRR8137073","SRR14766361","SRR14766414","SRR17585407","SRR5905513","NDSU12","SRR14766337","SRR27708427"
"occR","","Octopine catabolism/uptake operon regulatory protein OccR",581,581,1,1,2893,NA,NA,"",935,935,935,"PGKCJFEA_04275","DNOEEKHJ_00338","CKPEMOEN_01159","ALLEBCBP_01177","NAPOKNNJ_01010","ICDMIJBP_00331","MNLBAKIA_00332","JJPGFOPI_02329","MGNDMLEC_02336","CBFLKJKM_01147","MAIOMPIG_00338","JLGLOGEO_00815","KMJDPIGG_01180","FHGKKJNF_01332","LBMEENEJ_00067"
"aroC","","Chorismate synthase",581,581,1,1,3945,NA,NA,"",1085,1085,1085,"PGKCJFEA_03791","DNOEEKHJ_02982","CKPEMOEN_02110","ALLEBCBP_02625","NAPOKNNJ_03796","ICDMIJBP_01617","MNLBAKIA_02499","JJPGFOPI_03440","MGNDMLEC_01777","CBFLKJKM_01001","MAIOMPIG_02500","JLGLOGEO_02349","KMJDPIGG_03117","FHGKKJNF_00338","LBMEENEJ_04533"
"group_5743","ygdR_2","putative lipoprotein YgdR",581,581,1,1,2922,NA,NA,"",227,227,227,"PGKCJFEA_02476","DNOEEKHJ_00369","CKPEMOEN_01190","ALLEBCBP_01208","NAPOKNNJ_00979","ICDMIJBP_00300","MNLBAKIA_00301","JJPGFOPI_02298","MGNDMLEC_02305","CBFLKJKM_01178","MAIOMPIG_00369","JLGLOGEO_00846","KMJDPIGG_01211","FHGKKJNF_01301","LBMEENEJ_00036"
"iadA","","Isoaspartyl dipeptidase",581,581,1,1,6156,NA,NA,"",1172,1172,1172,"PGKCJFEA_02988","DNOEEKHJ_01634","CKPEMOEN_01468","ALLEBCBP_03263","NAPOKNNJ_04342","ICDMIJBP_03849","MNLBAKIA_01452","JJPGFOPI_04032","MGNDMLEC_01135","CBFLKJKM_01977","MAIOMPIG_01300","JLGLOGEO_01412","KMJDPIGG_02224","FHGKKJNF_03965","LBMEENEJ_03950"
"gudX_2","","Glucarate dehydratase-related protein",581,581,1,1,2945,NA,NA,"",1085,1085,1085,"PGKCJFEA_02453","DNOEEKHJ_00392","CKPEMOEN_01213","ALLEBCBP_01232","NAPOKNNJ_00956","ICDMIJBP_00277","MNLBAKIA_00277","JJPGFOPI_02275","MGNDMLEC_02282","CBFLKJKM_01201","MAIOMPIG_00392","JLGLOGEO_00869","KMJDPIGG_01234","FHGKKJNF_01278","LBMEENEJ_00013"
"ydjI","","putative protein YdjI",581,581,1,1,5360,NA,NA,"",836,836,836,"PGKCJFEA_01127","DNOEEKHJ_02665","CKPEMOEN_02505","ALLEBCBP_01603","NAPOKNNJ_00162","ICDMIJBP_02665","MNLBAKIA_03233","JJPGFOPI_01796","MGNDMLEC_02826","CBFLKJKM_02326","MAIOMPIG_03221","JLGLOGEO_01212","KMJDPIGG_00582","FHGKKJNF_03411","LBMEENEJ_01426"
"pgsA","","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase",581,581,1,1,4650,NA,NA,"",548,548,548,"PGKCJFEA_01635","DNOEEKHJ_03705","CKPEMOEN_00751","ALLEBCBP_00166","NAPOKNNJ_01418","ICDMIJBP_04227","MNLBAKIA_01084","JJPGFOPI_02441","MGNDMLEC_00415","CBFLKJKM_04090","MAIOMPIG_00739","JLGLOGEO_01949","KMJDPIGG_03969","FHGKKJNF_00439","LBMEENEJ_00626"
"group_5748","","hypothetical protein",581,581,1,1,5127,NA,NA,"",341,341,341,"PGKCJFEA_03330","DNOEEKHJ_01447","CKPEMOEN_00367","ALLEBCBP_00608","NAPOKNNJ_00378","ICDMIJBP_01122","MNLBAKIA_01638","JJPGFOPI_02642","MGNDMLEC_00852","CBFLKJKM_00367","MAIOMPIG_01639","JLGLOGEO_03461","KMJDPIGG_00366","FHGKKJNF_01211","LBMEENEJ_02999"
"group_5749","","hypothetical protein",581,581,1,1,4296,NA,NA,"",425,425,425,"PGKCJFEA_00394","DNOEEKHJ_02302","CKPEMOEN_00432","ALLEBCBP_02945","NAPOKNNJ_01737","ICDMIJBP_02075","MNLBAKIA_00765","JJPGFOPI_03820","MGNDMLEC_00096","CBFLKJKM_02847","MAIOMPIG_01058","JLGLOGEO_01595","KMJDPIGG_03498","FHGKKJNF_03598","LBMEENEJ_02316"
"ucpA","","Oxidoreductase UcpA",581,581,1,1,4013,NA,NA,"",791,791,791,"PGKCJFEA_01474","DNOEEKHJ_02913","CKPEMOEN_02179","ALLEBCBP_02694","NAPOKNNJ_03309","ICDMIJBP_01686","MNLBAKIA_02568","JJPGFOPI_01587","MGNDMLEC_01846","CBFLKJKM_00932","MAIOMPIG_02568","JLGLOGEO_00638","KMJDPIGG_03048","FHGKKJNF_00269","LBMEENEJ_02159"
"group_5751","","hypothetical protein",581,581,1,1,6068,NA,NA,"",551,551,551,"PGKCJFEA_02269","DNOEEKHJ_01719","CKPEMOEN_01383","ALLEBCBP_01931","NAPOKNNJ_02602","ICDMIJBP_03373","MNLBAKIA_01367","JJPGFOPI_01684","MGNDMLEC_01050","CBFLKJKM_02062","MAIOMPIG_01385","JLGLOGEO_04263","KMJDPIGG_02309","FHGKKJNF_01567","LBMEENEJ_01959"
"kbp","","Potassium binding protein Kbp",581,581,1,1,3126,NA,NA,"",449,449,449,"PGKCJFEA_03406","DNOEEKHJ_00565","CKPEMOEN_03075","ALLEBCBP_01403","NAPOKNNJ_00783","ICDMIJBP_00104","MNLBAKIA_00104","JJPGFOPI_02127","MGNDMLEC_02109","CBFLKJKM_01374","MAIOMPIG_00565","JLGLOGEO_02780","KMJDPIGG_01407","FHGKKJNF_00799","LBMEENEJ_01516"
"group_5753","","putative protein",581,581,1,1,2942,NA,NA,"",449,449,449,"PGKCJFEA_02456","DNOEEKHJ_00389","CKPEMOEN_01210","ALLEBCBP_01229","NAPOKNNJ_00959","ICDMIJBP_00280","MNLBAKIA_00280","JJPGFOPI_02278","MGNDMLEC_02285","CBFLKJKM_01198","MAIOMPIG_00389","JLGLOGEO_00866","KMJDPIGG_01231","FHGKKJNF_01281","LBMEENEJ_00016"
"group_5754","","hypothetical protein",581,581,1,1,3951,NA,NA,"",284,284,284,"PGKCJFEA_03797","DNOEEKHJ_02976","CKPEMOEN_02116","ALLEBCBP_02631","NAPOKNNJ_03802","ICDMIJBP_01623","MNLBAKIA_02505","JJPGFOPI_03446","MGNDMLEC_01783","CBFLKJKM_00995","MAIOMPIG_02506","JLGLOGEO_02343","KMJDPIGG_03111","FHGKKJNF_00332","LBMEENEJ_04539"
"prfB_2","","Peptide chain release factor RF2",581,581,1,1,813,NA,NA,"",614,614,614,"PGKCJFEA_00305","DNOEEKHJ_01940","CKPEMOEN_02707","ALLEBCBP_03961","NAPOKNNJ_02464","ICDMIJBP_02436","MNLBAKIA_02993","JJPGFOPI_04054","MGNDMLEC_03366","CBFLKJKM_01766","MAIOMPIG_02791","JLGLOGEO_02278","KMJDPIGG_01574","FHGKKJNF_00558","LBMEENEJ_01088"
"envC","","Murein hydrolase activator EnvC",581,581,1,1,1881,NA,NA,"",1283,1283,1283,"PGKCJFEA_01393","DNOEEKHJ_00977","CKPEMOEN_01875","ALLEBCBP_00727","NAPOKNNJ_01938","ICDMIJBP_00774","MNLBAKIA_02109","JJPGFOPI_00010","MGNDMLEC_01387","CBFLKJKM_00513","MAIOMPIG_02110","JLGLOGEO_00034","KMJDPIGG_02783","FHGKKJNF_03488","LBMEENEJ_04217"
"glpF","","Glycerol uptake facilitator protein",581,581,1,1,2196,NA,NA,"",845,845,845,"PGKCJFEA_01971","DNOEEKHJ_03362","CKPEMOEN_03678","ALLEBCBP_03633","NAPOKNNJ_03930","ICDMIJBP_04091","MNLBAKIA_04105","JJPGFOPI_01343","MGNDMLEC_04230","CBFLKJKM_03713","MAIOMPIG_03983","JLGLOGEO_03222","KMJDPIGG_04177","FHGKKJNF_02817","LBMEENEJ_02420"
"livK","","Leucine-specific-binding protein",581,581,1,1,1728,NA,NA,"",1109,1109,1109,"PGKCJFEA_04089","DNOEEKHJ_00833","CKPEMOEN_01732","ALLEBCBP_00870","NAPOKNNJ_02081","ICDMIJBP_00917","MNLBAKIA_02252","JJPGFOPI_00153","MGNDMLEC_01530","CBFLKJKM_00656","MAIOMPIG_02254","JLGLOGEO_00178","KMJDPIGG_02639","FHGKKJNF_00079","LBMEENEJ_00775"
"group_5759","","hypothetical protein",581,581,1,1,53,NA,NA,"",404,404,404,"PGKCJFEA_03217","DNOEEKHJ_01533","CKPEMOEN_01569","ALLEBCBP_03364","NAPOKNNJ_04028","ICDMIJBP_03950","MNLBAKIA_01552","JJPGFOPI_02581","MGNDMLEC_01236","CBFLKJKM_01876","MAIOMPIG_01199","JLGLOGEO_01311","KMJDPIGG_02123","FHGKKJNF_01093","LBMEENEJ_01813"
"thiE","","Thiamine-phosphate synthase",581,581,1,1,1534,NA,NA,"",635,635,635,"PGKCJFEA_04190","DNOEEKHJ_04462","CKPEMOEN_04585","ALLEBCBP_04546","NAPOKNNJ_04466","ICDMIJBP_04572","MNLBAKIA_04524","JJPGFOPI_04121","MGNDMLEC_04526","CBFLKJKM_04613","MAIOMPIG_04579","JLGLOGEO_04521","KMJDPIGG_04558","FHGKKJNF_04178","LBMEENEJ_04121"
"citG_1","","2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase",581,581,1,1,2544,NA,NA,"",698,698,698,"PGKCJFEA_00938","DNOEEKHJ_00002","CKPEMOEN_00823","ALLEBCBP_02728","NAPOKNNJ_01346","ICDMIJBP_00667","MNLBAKIA_00668","JJPGFOPI_00570","MGNDMLEC_02347","CBFLKJKM_02821","MAIOMPIG_00002","JLGLOGEO_03087","KMJDPIGG_00844","FHGKKJNF_00921","LBMEENEJ_00403"
"group_5762","","hypothetical protein",581,581,1,1,4002,NA,NA,"",239,239,239,"PGKCJFEA_01463","DNOEEKHJ_02924","CKPEMOEN_02168","ALLEBCBP_02683","NAPOKNNJ_03298","ICDMIJBP_01675","MNLBAKIA_02557","JJPGFOPI_01576","MGNDMLEC_01835","CBFLKJKM_00943","MAIOMPIG_02557","JLGLOGEO_00627","KMJDPIGG_03059","FHGKKJNF_00280","LBMEENEJ_02170"
"chiQ","","putative lipoprotein ChiQ",581,581,1,1,315,NA,NA,"",332,332,332,"PGKCJFEA_03435","DNOEEKHJ_03541","CKPEMOEN_03740","ALLEBCBP_04233","NAPOKNNJ_03602","ICDMIJBP_03687","MNLBAKIA_03926","JJPGFOPI_01517","MGNDMLEC_03702","CBFLKJKM_03888","MAIOMPIG_03762","JLGLOGEO_02200","KMJDPIGG_02012","FHGKKJNF_02613","LBMEENEJ_01603"
"group_5764","","hypothetical protein",581,581,1,1,4035,NA,NA,"",803,803,803,"PGKCJFEA_01496","DNOEEKHJ_02891","CKPEMOEN_02201","ALLEBCBP_02716","NAPOKNNJ_03331","ICDMIJBP_01708","MNLBAKIA_02590","JJPGFOPI_01609","MGNDMLEC_01868","CBFLKJKM_00910","MAIOMPIG_02590","JLGLOGEO_00660","KMJDPIGG_03026","FHGKKJNF_00247","LBMEENEJ_02137"
"pduX","","L-threonine kinase",581,581,1,1,5722,NA,NA,"",902,902,902,"PGKCJFEA_03997","DNOEEKHJ_04021","CKPEMOEN_03900","ALLEBCBP_02451","NAPOKNNJ_02998","ICDMIJBP_02978","MNLBAKIA_03577","JJPGFOPI_03119","MGNDMLEC_03185","CBFLKJKM_03305","MAIOMPIG_03580","JLGLOGEO_03652","KMJDPIGG_03291","FHGKKJNF_02906","LBMEENEJ_02652"
"dadA_2","","D-amino acid dehydrogenase",581,581,1,1,5290,NA,NA,"",1286,1286,1286,"PGKCJFEA_02367","DNOEEKHJ_02729","CKPEMOEN_02569","ALLEBCBP_01666","NAPOKNNJ_00226","ICDMIJBP_02729","MNLBAKIA_03169","JJPGFOPI_01859","MGNDMLEC_02890","CBFLKJKM_02390","MAIOMPIG_03285","JLGLOGEO_01148","KMJDPIGG_00518","FHGKKJNF_00963","LBMEENEJ_01363"
"group_5767","","hypothetical protein",581,581,1,1,6160,NA,NA,"",1271,1271,1271,"PGKCJFEA_02992","DNOEEKHJ_01630","CKPEMOEN_01472","ALLEBCBP_03267","NAPOKNNJ_04338","ICDMIJBP_03853","MNLBAKIA_01456","JJPGFOPI_04036","MGNDMLEC_01139","CBFLKJKM_01973","MAIOMPIG_01296","JLGLOGEO_01408","KMJDPIGG_02220","FHGKKJNF_03961","LBMEENEJ_03954"
"group_5768","","hypothetical protein",581,581,1,1,5364,NA,NA,"",278,278,278,"PGKCJFEA_01131","DNOEEKHJ_02661","CKPEMOEN_02501","ALLEBCBP_01599","NAPOKNNJ_00158","ICDMIJBP_02661","MNLBAKIA_03237","JJPGFOPI_01792","MGNDMLEC_02822","CBFLKJKM_02322","MAIOMPIG_03217","JLGLOGEO_01216","KMJDPIGG_00586","FHGKKJNF_03407","LBMEENEJ_01430"
"ytfP","","Gamma-glutamylcyclotransferase family protein YtfP",581,581,1,1,6061,NA,NA,"",344,344,344,"PGKCJFEA_02275","DNOEEKHJ_01725","CKPEMOEN_01377","ALLEBCBP_01925","NAPOKNNJ_02608","ICDMIJBP_03367","MNLBAKIA_01361","JJPGFOPI_01690","MGNDMLEC_01044","CBFLKJKM_02068","MAIOMPIG_01391","JLGLOGEO_01900","KMJDPIGG_02315","FHGKKJNF_01573","LBMEENEJ_01953"
"nhaA","","Na(+)/H(+) antiporter NhaA",581,581,1,1,22,NA,NA,"",1166,1166,1166,"PGKCJFEA_03593","DNOEEKHJ_01503","CKPEMOEN_01599","ALLEBCBP_03394","NAPOKNNJ_04058","ICDMIJBP_03980","MNLBAKIA_01582","JJPGFOPI_04202","MGNDMLEC_01266","CBFLKJKM_01846","MAIOMPIG_01169","JLGLOGEO_01281","KMJDPIGG_02093","FHGKKJNF_03510","LBMEENEJ_01843"
"group_5771","","hypothetical protein",581,581,1,1,5322,NA,NA,"",536,536,536,"PGKCJFEA_02395","DNOEEKHJ_02701","CKPEMOEN_02541","ALLEBCBP_01639","NAPOKNNJ_00198","ICDMIJBP_02701","MNLBAKIA_03197","JJPGFOPI_01832","MGNDMLEC_02862","CBFLKJKM_02362","MAIOMPIG_03257","JLGLOGEO_01176","KMJDPIGG_00546","FHGKKJNF_00990","LBMEENEJ_01390"
"queE","","7-carboxy-7-deazaguanine synthase",581,581,1,1,2961,NA,NA,"",671,671,671,"PGKCJFEA_02437","DNOEEKHJ_00408","CKPEMOEN_03232","ALLEBCBP_01248","NAPOKNNJ_00940","ICDMIJBP_00261","MNLBAKIA_00261","JJPGFOPI_03891","MGNDMLEC_02266","CBFLKJKM_01217","MAIOMPIG_00408","JLGLOGEO_00885","KMJDPIGG_01250","FHGKKJNF_04396","LBMEENEJ_04585"
"radA","","DNA repair protein RadA",581,581,1,1,6227,NA,NA,"",1382,1382,1382,"PGKCJFEA_03185","DNOEEKHJ_01565","CKPEMOEN_01537","ALLEBCBP_03332","NAPOKNNJ_03996","ICDMIJBP_03918","MNLBAKIA_01520","JJPGFOPI_02549","MGNDMLEC_01204","CBFLKJKM_01908","MAIOMPIG_01231","JLGLOGEO_01343","KMJDPIGG_02155","FHGKKJNF_01061","LBMEENEJ_01781"
"group_5774","","hypothetical protein",581,581,1,1,27,NA,NA,"",761,761,761,"PGKCJFEA_03598","DNOEEKHJ_01508","CKPEMOEN_01594","ALLEBCBP_03389","NAPOKNNJ_04053","ICDMIJBP_03975","MNLBAKIA_01577","JJPGFOPI_04197","MGNDMLEC_01261","CBFLKJKM_01851","MAIOMPIG_01174","JLGLOGEO_01286","KMJDPIGG_02098","FHGKKJNF_03505","LBMEENEJ_01838"
"pabA","","Aminodeoxychorismate synthase component 2",581,581,1,1,1628,NA,NA,"",563,563,563,"PGKCJFEA_04226","DNOEEKHJ_00738","CKPEMOEN_01637","ALLEBCBP_00965","NAPOKNNJ_02176","ICDMIJBP_01012","MNLBAKIA_02347","JJPGFOPI_00248","MGNDMLEC_01625","CBFLKJKM_00750","MAIOMPIG_02348","JLGLOGEO_00273","KMJDPIGG_02544","FHGKKJNF_00174","LBMEENEJ_00870"
"tyrA","","T-protein",581,581,1,1,3014,NA,NA,"",1121,1121,1121,"PGKCJFEA_02903","DNOEEKHJ_00661","CKPEMOEN_02979","ALLEBCBP_04173","NAPOKNNJ_04284","ICDMIJBP_00008","MNLBAKIA_00008","JJPGFOPI_04325","MGNDMLEC_02013","CBFLKJKM_01470","MAIOMPIG_00661","JLGLOGEO_02684","KMJDPIGG_01503","FHGKKJNF_03861","LBMEENEJ_04383"
"ybgC","","Acyl-CoA thioester hydrolase YbgC",581,581,1,1,271,NA,NA,"",404,404,404,"PGKCJFEA_03478","DNOEEKHJ_04647","CKPEMOEN_04409","ALLEBCBP_04276","NAPOKNNJ_03645","ICDMIJBP_03644","MNLBAKIA_03883","JJPGFOPI_04414","MGNDMLEC_04270","CBFLKJKM_04437","MAIOMPIG_03719","JLGLOGEO_04069","KMJDPIGG_02056","FHGKKJNF_04112","LBMEENEJ_03815"
"btuD_3","","Vitamin B12 import ATP-binding protein BtuD",581,581,1,1,5397,NA,NA,"",797,797,797,"PGKCJFEA_01164","DNOEEKHJ_02628","CKPEMOEN_02468","ALLEBCBP_01566","NAPOKNNJ_00125","ICDMIJBP_02628","MNLBAKIA_03270","JJPGFOPI_04362","MGNDMLEC_02789","CBFLKJKM_02289","MAIOMPIG_03184","JLGLOGEO_01249","KMJDPIGG_00619","FHGKKJNF_04223","LBMEENEJ_04159"
"rfaF","","ADP-heptose--LPS heptosyltransferase 2",581,581,1,1,1887,NA,NA,"",1046,1046,1046,"PGKCJFEA_01387","DNOEEKHJ_00983","CKPEMOEN_01881","ALLEBCBP_00721","NAPOKNNJ_01932","ICDMIJBP_00768","MNLBAKIA_02103","JJPGFOPI_00004","MGNDMLEC_01381","CBFLKJKM_00507","MAIOMPIG_02104","JLGLOGEO_00028","KMJDPIGG_02789","FHGKKJNF_03482","LBMEENEJ_04211"
"mtlD","","Mannitol-1-phosphate 5-dehydrogenase",581,581,1,1,1861,NA,NA,"",1148,1148,1148,"PGKCJFEA_01412","DNOEEKHJ_00958","CKPEMOEN_01856","ALLEBCBP_00746","NAPOKNNJ_01957","ICDMIJBP_00793","MNLBAKIA_02128","JJPGFOPI_00029","MGNDMLEC_01406","CBFLKJKM_00532","MAIOMPIG_02129","JLGLOGEO_00053","KMJDPIGG_02764","FHGKKJNF_02342","LBMEENEJ_03749"
"thiS","","Sulfur carrier protein ThiS",581,581,1,1,1536,NA,NA,"",173,173,173,"PGKCJFEA_04188","DNOEEKHJ_04464","CKPEMOEN_04587","ALLEBCBP_04544","NAPOKNNJ_04468","ICDMIJBP_04570","MNLBAKIA_04526","JJPGFOPI_04123","MGNDMLEC_04524","CBFLKJKM_04611","MAIOMPIG_04577","JLGLOGEO_04519","KMJDPIGG_04560","FHGKKJNF_04180","LBMEENEJ_04119"
"cecR","","HTH-type transcriptional dual regulator CecR",581,581,1,1,4248,NA,NA,"",674,674,674,"PGKCJFEA_01526","DNOEEKHJ_02258","CKPEMOEN_04281","ALLEBCBP_04056","NAPOKNNJ_01781","ICDMIJBP_02119","MNLBAKIA_00721","JJPGFOPI_03463","MGNDMLEC_00052","CBFLKJKM_04343","MAIOMPIG_01102","JLGLOGEO_03593","KMJDPIGG_04429","FHGKKJNF_01850","LBMEENEJ_03057"
"ail_2","","Attachment invasion locus protein",581,581,1,1,780,NA,NA,"",524,524,524,"PGKCJFEA_00272","DNOEEKHJ_01973","CKPEMOEN_02740","ALLEBCBP_02246","NAPOKNNJ_02431","ICDMIJBP_02403","MNLBAKIA_02960","JJPGFOPI_00338","MGNDMLEC_03399","CBFLKJKM_01733","MAIOMPIG_02824","JLGLOGEO_02311","KMJDPIGG_01607","FHGKKJNF_00591","LBMEENEJ_01121"
"cbiG","","Cobalt-precorrin-5A hydrolase",581,581,1,1,5688,NA,NA,"",1055,1055,1055,"PGKCJFEA_03966","DNOEEKHJ_03990","CKPEMOEN_03931","ALLEBCBP_02482","NAPOKNNJ_03029","ICDMIJBP_02947","MNLBAKIA_03608","JJPGFOPI_03088","MGNDMLEC_03216","CBFLKJKM_03336","MAIOMPIG_03611","JLGLOGEO_03683","KMJDPIGG_03260","FHGKKJNF_03183","LBMEENEJ_02683"
"thrC","","Threonine synthase",581,581,1,1,60,NA,NA,"",1286,1286,1286,"PGKCJFEA_03210","DNOEEKHJ_01540","CKPEMOEN_01562","ALLEBCBP_03357","NAPOKNNJ_04021","ICDMIJBP_03943","MNLBAKIA_01545","JJPGFOPI_02574","MGNDMLEC_01229","CBFLKJKM_01883","MAIOMPIG_01206","JLGLOGEO_01318","KMJDPIGG_02130","FHGKKJNF_01086","LBMEENEJ_01806"
"group_5786","","putative signaling protein",581,581,1,1,1977,NA,NA,"",2099,2099,2099,"PGKCJFEA_03696","DNOEEKHJ_04293","CKPEMOEN_04528","ALLEBCBP_04372","NAPOKNNJ_04417","ICDMIJBP_04513","MNLBAKIA_04475","JJPGFOPI_04003","MGNDMLEC_04438","CBFLKJKM_04529","MAIOMPIG_04504","JLGLOGEO_04294","KMJDPIGG_04485","FHGKKJNF_03101","LBMEENEJ_03887"
"aaeX","","Protein AaeX",581,581,1,1,1954,NA,NA,"",203,203,203,"PGKCJFEA_03673","DNOEEKHJ_04270","CKPEMOEN_04505","ALLEBCBP_04395","NAPOKNNJ_04440","ICDMIJBP_04536","MNLBAKIA_04498","JJPGFOPI_03980","MGNDMLEC_04461","CBFLKJKM_04552","MAIOMPIG_04481","JLGLOGEO_04317","KMJDPIGG_04462","FHGKKJNF_03078","LBMEENEJ_03910"
"yafQ","","mRNA interferase toxin YafQ",581,581,1,1,1679,NA,NA,"",275,275,275,"PGKCJFEA_02528","DNOEEKHJ_00785","CKPEMOEN_01684","ALLEBCBP_00918","NAPOKNNJ_02129","ICDMIJBP_00965","MNLBAKIA_02300","JJPGFOPI_00201","MGNDMLEC_01578","CBFLKJKM_00703","MAIOMPIG_02301","JLGLOGEO_00226","KMJDPIGG_02591","FHGKKJNF_00127","LBMEENEJ_00823"
"ettA","","Energy-dependent translational throttle protein EttA",581,581,1,1,82,NA,NA,"",1667,1667,1667,"PGKCJFEA_03187","DNOEEKHJ_01563","CKPEMOEN_01539","ALLEBCBP_03334","NAPOKNNJ_03998","ICDMIJBP_03920","MNLBAKIA_01522","JJPGFOPI_02551","MGNDMLEC_01206","CBFLKJKM_01906","MAIOMPIG_01229","JLGLOGEO_01341","KMJDPIGG_02153","FHGKKJNF_01063","LBMEENEJ_01783"
"group_5790","","hypothetical protein",581,581,1,1,4138,NA,NA,"",620,620,620,"PGKCJFEA_00463","DNOEEKHJ_03872","CKPEMOEN_02257","ALLEBCBP_03454","NAPOKNNJ_03386","ICDMIJBP_01762","MNLBAKIA_02645","JJPGFOPI_02896","MGNDMLEC_01922","CBFLKJKM_00856","MAIOMPIG_02644","JLGLOGEO_00715","KMJDPIGG_02972","FHGKKJNF_03144","LBMEENEJ_03264"
"torD_2","","Chaperone protein TorD",581,581,1,1,1427,NA,NA,"",632,632,632,"PGKCJFEA_02632","DNOEEKHJ_04201","CKPEMOEN_04106","ALLEBCBP_03972","NAPOKNNJ_04162","ICDMIJBP_04449","MNLBAKIA_04289","JJPGFOPI_03198","MGNDMLEC_03988","CBFLKJKM_04138","MAIOMPIG_04314","JLGLOGEO_03421","KMJDPIGG_04376","FHGKKJNF_01336","LBMEENEJ_02894"
"hmrR","","HTH-type transcriptional regulator HmrR",581,581,1,1,772,NA,NA,"",464,464,464,"PGKCJFEA_00265","DNOEEKHJ_01980","CKPEMOEN_02747","ALLEBCBP_02239","NAPOKNNJ_02424","ICDMIJBP_02396","MNLBAKIA_02953","JJPGFOPI_00345","MGNDMLEC_03406","CBFLKJKM_01726","MAIOMPIG_02831","JLGLOGEO_02318","KMJDPIGG_01614","FHGKKJNF_00598","LBMEENEJ_01128"
"mltA","","Membrane-bound lytic murein transglycosylase A",581,581,1,1,2917,NA,NA,"",1097,1097,1097,"PGKCJFEA_02481","DNOEEKHJ_00364","CKPEMOEN_01185","ALLEBCBP_01203","NAPOKNNJ_00984","ICDMIJBP_00305","MNLBAKIA_00306","JJPGFOPI_02303","MGNDMLEC_02310","CBFLKJKM_01173","MAIOMPIG_00364","JLGLOGEO_00841","KMJDPIGG_01206","FHGKKJNF_01306","LBMEENEJ_00041"
"fixX_1","","Ferredoxin-like protein FixX",581,581,1,1,5291,NA,NA,"",293,293,293,"PGKCJFEA_02368","DNOEEKHJ_02728","CKPEMOEN_02568","ALLEBCBP_01665","NAPOKNNJ_00225","ICDMIJBP_02728","MNLBAKIA_03170","JJPGFOPI_01858","MGNDMLEC_02889","CBFLKJKM_02389","MAIOMPIG_03284","JLGLOGEO_01149","KMJDPIGG_00519","FHGKKJNF_00964","LBMEENEJ_01364"
"rpsF","","30S ribosomal protein S6",581,581,1,1,6037,NA,NA,"",395,395,395,"PGKCJFEA_02297","DNOEEKHJ_01747","CKPEMOEN_01355","ALLEBCBP_01903","NAPOKNNJ_02630","ICDMIJBP_03345","MNLBAKIA_01339","JJPGFOPI_01712","MGNDMLEC_01022","CBFLKJKM_02090","MAIOMPIG_01413","JLGLOGEO_01878","KMJDPIGG_02337","FHGKKJNF_01595","LBMEENEJ_01930"
"tus","","DNA replication terminus site-binding protein",581,581,1,1,5165,NA,NA,"",929,929,929,"PGKCJFEA_03128","DNOEEKHJ_01480","CKPEMOEN_00400","ALLEBCBP_04415","NAPOKNNJ_00345","ICDMIJBP_01089","MNLBAKIA_01605","JJPGFOPI_02609","MGNDMLEC_00885","CBFLKJKM_00400","MAIOMPIG_01605","JLGLOGEO_03494","KMJDPIGG_00399","FHGKKJNF_04348","LBMEENEJ_02966"
"group_5797","","hypothetical protein",581,581,1,1,1712,NA,NA,"",761,761,761,"PGKCJFEA_04073","DNOEEKHJ_00817","CKPEMOEN_01716","ALLEBCBP_00886","NAPOKNNJ_02097","ICDMIJBP_00933","MNLBAKIA_02268","JJPGFOPI_00169","MGNDMLEC_01546","CBFLKJKM_00672","MAIOMPIG_02270","JLGLOGEO_00194","KMJDPIGG_02623","FHGKKJNF_00095","LBMEENEJ_00791"
"thiQ","","Thiamine import ATP-binding protein ThiQ",581,581,1,1,2493,NA,NA,"",707,707,707,"PGKCJFEA_04015","DNOEEKHJ_03822","CKPEMOEN_03385","ALLEBCBP_01968","NAPOKNNJ_03131","ICDMIJBP_03473","MNLBAKIA_03816","JJPGFOPI_00993","MGNDMLEC_03594","CBFLKJKM_03572","MAIOMPIG_04178","JLGLOGEO_02670","KMJDPIGG_03853","FHGKKJNF_04207","LBMEENEJ_02478"
"group_5799","","hypothetical protein",581,581,1,1,341,NA,NA,"",1433,1433,1433,"PGKCJFEA_03085","DNOEEKHJ_03509","CKPEMOEN_03772","ALLEBCBP_03710","NAPOKNNJ_03570","ICDMIJBP_03719","MNLBAKIA_03958","JJPGFOPI_01485","MGNDMLEC_03734","CBFLKJKM_03920","MAIOMPIG_03794","JLGLOGEO_02168","KMJDPIGG_01980","FHGKKJNF_02581","LBMEENEJ_01635"
