"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR28262169","SRR14766389","SRR10257879","SRR1299304","NDSU1","SRR28323368","SRR3000888","SRR9016907","SRR14766457","SRR14766402","SRR14766350","SRR19512134","NDSU22","SRR3037436","SRR27779118"
"rpoZ","","DNA-directed RNA polymerase subunit omega",581,581,1,1,1921,NA,NA,"",209,275,274,"ANCOLAMI_02409","JNEDFIJH_01546","OBCHFKCE_03160","NEANDPFB_02447","GEPIEMCB_02488","FCMCIBEK_02599","HAJGLMEJ_00436","BONMBINM_00345","GIBMOCCN_03050","IEMKGCAE_00739","KNJLKBEO_00468","NHCEEELK_01665","DLEGJOHP_02156","PEJBPJLM_02304","KJDDDPDM_02088"
"gpmI","","2,3-bisphosphoglycerate-independent phosphoglycerate mutase",581,581,1,1,1880,NA,NA,"",1004,1544,1543,"ANCOLAMI_02447","JNEDFIJH_03776","OBCHFKCE_00012","NEANDPFB_02485","GEPIEMCB_02526","FCMCIBEK_02561","HAJGLMEJ_00474","BONMBINM_00307","GIBMOCCN_03012","IEMKGCAE_00777","KNJLKBEO_00506","NHCEEELK_01703","DLEGJOHP_02118","PEJBPJLM_02266","KJDDDPDM_02050"
"sadA","","Autotransporter adhesin SadA",581,581,1,1,1866,NA,NA,"",3890,4028,4027,"ANCOLAMI_02460","JNEDFIJH_03763","OBCHFKCE_00025","NEANDPFB_02498","GEPIEMCB_02539","FCMCIBEK_02548","HAJGLMEJ_00487","BONMBINM_00294","GIBMOCCN_02999","IEMKGCAE_00790","KNJLKBEO_00519","NHCEEELK_01716","DLEGJOHP_02105","PEJBPJLM_02253","KJDDDPDM_02037"
"selB","","Selenocysteine-specific elongation factor",581,581,1,1,1857,NA,NA,"",1730,1850,1848,"ANCOLAMI_02469","JNEDFIJH_00206","OBCHFKCE_00034","NEANDPFB_02507","GEPIEMCB_02548","FCMCIBEK_02539","HAJGLMEJ_00496","BONMBINM_00285","GIBMOCCN_02990","IEMKGCAE_00799","KNJLKBEO_00528","NHCEEELK_01725","DLEGJOHP_02096","PEJBPJLM_02244","KJDDDPDM_02028"
"dlgD","","2,3-diketo-L-gulonate reductase",581,581,1,1,1842,NA,NA,"",476,998,997,"ANCOLAMI_02483","JNEDFIJH_00192","OBCHFKCE_00048","NEANDPFB_02521","GEPIEMCB_02562","FCMCIBEK_02525","HAJGLMEJ_00510","BONMBINM_00271","GIBMOCCN_02976","IEMKGCAE_00813","KNJLKBEO_00542","NHCEEELK_01739","DLEGJOHP_02082","PEJBPJLM_02230","KJDDDPDM_02014"
"group_1483","","hypothetical protein",581,581,1,1,1751,NA,NA,"",926,1067,1066,"ANCOLAMI_02567","JNEDFIJH_00109","OBCHFKCE_00131","NEANDPFB_02605","GEPIEMCB_02646","FCMCIBEK_02442","HAJGLMEJ_00593","BONMBINM_00188","GIBMOCCN_01200","IEMKGCAE_00896","KNJLKBEO_00625","NHCEEELK_01823","DLEGJOHP_01998","PEJBPJLM_02146","KJDDDPDM_01930"
"ftsY","","Signal recognition particle receptor FtsY",581,581,1,1,1734,NA,NA,"",989,1475,1474,"ANCOLAMI_02584","JNEDFIJH_00092","OBCHFKCE_00148","NEANDPFB_02622","GEPIEMCB_02663","FCMCIBEK_02425","HAJGLMEJ_00610","BONMBINM_00171","GIBMOCCN_01217","IEMKGCAE_00913","KNJLKBEO_00642","NHCEEELK_01840","DLEGJOHP_01981","PEJBPJLM_02129","KJDDDPDM_01913"
"RBKS_1","","Ribokinase",581,581,1,1,1711,NA,NA,"",1187,1214,1213,"ANCOLAMI_02607","JNEDFIJH_00069","OBCHFKCE_00171","NEANDPFB_02645","GEPIEMCB_02686","FCMCIBEK_02402","HAJGLMEJ_00633","BONMBINM_00148","GIBMOCCN_01240","IEMKGCAE_00936","KNJLKBEO_00665","NHCEEELK_01863","DLEGJOHP_01958","PEJBPJLM_02106","KJDDDPDM_01890"
"yhhX","","putative oxidoreductase YhhX",581,581,1,1,1708,NA,NA,"",857,1037,1036,"ANCOLAMI_02610","JNEDFIJH_00066","OBCHFKCE_00174","NEANDPFB_02648","GEPIEMCB_02689","FCMCIBEK_02399","HAJGLMEJ_00636","BONMBINM_00145","GIBMOCCN_01243","IEMKGCAE_00939","KNJLKBEO_00668","NHCEEELK_01866","DLEGJOHP_01955","PEJBPJLM_02103","KJDDDPDM_01887"
"glgB","","1,4-alpha-glucan branching enzyme GlgB",581,581,1,1,1701,NA,NA,"",518,2186,2183,"ANCOLAMI_02616","JNEDFIJH_00060","OBCHFKCE_00180","NEANDPFB_02654","GEPIEMCB_02695","FCMCIBEK_02393","HAJGLMEJ_00642","BONMBINM_00139","GIBMOCCN_01249","IEMKGCAE_00945","KNJLKBEO_00674","NHCEEELK_01872","DLEGJOHP_01949","PEJBPJLM_02097","KJDDDPDM_01881"
"rhmR_1","","putative HTH-type transcriptional regulator RhmR",581,581,1,1,1696,NA,NA,"",713,755,754,"ANCOLAMI_02621","JNEDFIJH_00055","OBCHFKCE_00185","NEANDPFB_02659","GEPIEMCB_02700","FCMCIBEK_02388","HAJGLMEJ_00647","BONMBINM_00134","GIBMOCCN_01254","IEMKGCAE_00950","KNJLKBEO_00679","NHCEEELK_01877","DLEGJOHP_01944","PEJBPJLM_02092","KJDDDPDM_01876"
"pilQ","","Type IV pilus biogenesis and competence protein PilQ",581,581,1,1,1648,NA,NA,"",1070,1106,1070,"ANCOLAMI_02666","JNEDFIJH_00010","OBCHFKCE_00230","NEANDPFB_02704","GEPIEMCB_02745","FCMCIBEK_02343","HAJGLMEJ_00692","BONMBINM_00089","GIBMOCCN_01299","IEMKGCAE_00995","KNJLKBEO_00724","NHCEEELK_01922","DLEGJOHP_01899","PEJBPJLM_02047","KJDDDPDM_01831"
"yhfG","","hypothetical protein",581,581,1,1,1630,NA,NA,"",167,272,271,"ANCOLAMI_02683","JNEDFIJH_03794","OBCHFKCE_00247","NEANDPFB_02721","GEPIEMCB_02762","FCMCIBEK_02326","HAJGLMEJ_00709","BONMBINM_00072","GIBMOCCN_01316","IEMKGCAE_01012","KNJLKBEO_00741","NHCEEELK_01939","DLEGJOHP_01882","PEJBPJLM_02030","KJDDDPDM_01814"
"rpsG","","30S ribosomal protein S7",581,581,1,1,1607,NA,NA,"",380,470,469,"ANCOLAMI_02706","JNEDFIJH_03817","OBCHFKCE_00270","NEANDPFB_02744","GEPIEMCB_02785","FCMCIBEK_02303","HAJGLMEJ_00732","BONMBINM_00049","GIBMOCCN_01339","IEMKGCAE_01035","KNJLKBEO_00764","NHCEEELK_01962","DLEGJOHP_01859","PEJBPJLM_02007","KJDDDPDM_01791"
"fabB","","3-oxoacyl-[acyl-carrier-protein] synthase 1",581,581,1,1,3937,NA,NA,"",296,1214,1212,"ANCOLAMI_02831","JNEDFIJH_02358","OBCHFKCE_00553","NEANDPFB_02916","GEPIEMCB_02910","FCMCIBEK_02791","HAJGLMEJ_00782","BONMBINM_01110","GIBMOCCN_00784","IEMKGCAE_01152","KNJLKBEO_02425","NHCEEELK_02541","DLEGJOHP_02348","PEJBPJLM_02496","KJDDDPDM_03423"
"yfcA","","putative membrane transporter protein YfcA",581,581,1,1,3943,NA,NA,"",248,809,808,"ANCOLAMI_02835","JNEDFIJH_02354","OBCHFKCE_00549","NEANDPFB_02920","GEPIEMCB_02914","FCMCIBEK_02795","HAJGLMEJ_00786","BONMBINM_01114","GIBMOCCN_00788","IEMKGCAE_01156","KNJLKBEO_02421","NHCEEELK_02545","DLEGJOHP_02352","PEJBPJLM_02500","KJDDDPDM_03419"
"dctD","","C4-dicarboxylate transport transcriptional regulatory protein DctD",581,581,1,1,3962,NA,NA,"",1178,1250,1249,"ANCOLAMI_02854","JNEDFIJH_00981","OBCHFKCE_00530","NEANDPFB_02939","GEPIEMCB_02933","FCMCIBEK_02814","HAJGLMEJ_00805","BONMBINM_01133","GIBMOCCN_00807","IEMKGCAE_01175","KNJLKBEO_01805","NHCEEELK_02564","DLEGJOHP_02371","PEJBPJLM_02519","KJDDDPDM_03400"
"glk","","Glucokinase",581,581,1,1,3974,NA,NA,"",893,965,964,"ANCOLAMI_02862","JNEDFIJH_00989","OBCHFKCE_00522","NEANDPFB_02948","GEPIEMCB_02941","FCMCIBEK_02822","HAJGLMEJ_00813","BONMBINM_01141","GIBMOCCN_00815","IEMKGCAE_01183","KNJLKBEO_01813","NHCEEELK_02572","DLEGJOHP_02379","PEJBPJLM_02527","KJDDDPDM_03392"
"group_1510","","hypothetical protein",581,581,1,1,3979,NA,NA,"",209,326,325,"ANCOLAMI_02867","JNEDFIJH_00994","OBCHFKCE_00517","NEANDPFB_02953","GEPIEMCB_02946","FCMCIBEK_02827","HAJGLMEJ_00818","BONMBINM_01146","GIBMOCCN_00820","IEMKGCAE_01188","KNJLKBEO_01818","NHCEEELK_02577","DLEGJOHP_02384","PEJBPJLM_02532","KJDDDPDM_03387"
"pdxK","","Pyridoxine/pyridoxal/pyridoxamine kinase",581,581,1,1,4003,NA,NA,"",866,893,866,"ANCOLAMI_02896","JNEDFIJH_01023","OBCHFKCE_00488","NEANDPFB_02982","GEPIEMCB_02976","FCMCIBEK_02856","HAJGLMEJ_00847","BONMBINM_01175","GIBMOCCN_00849","IEMKGCAE_01217","KNJLKBEO_01847","NHCEEELK_02606","DLEGJOHP_02413","PEJBPJLM_02561","KJDDDPDM_03357"
"cysM","","Cysteine synthase B",581,581,1,1,4008,NA,NA,"",227,911,909,"ANCOLAMI_02901","JNEDFIJH_01028","OBCHFKCE_00483","NEANDPFB_02987","GEPIEMCB_02981","FCMCIBEK_02861","HAJGLMEJ_00852","BONMBINM_01180","GIBMOCCN_00854","IEMKGCAE_01222","KNJLKBEO_01852","NHCEEELK_02611","DLEGJOHP_02418","PEJBPJLM_02566","KJDDDPDM_03352"
"group_1515","","hypothetical protein",581,581,1,1,4022,NA,NA,"",968,1052,1036,"ANCOLAMI_02915","JNEDFIJH_01042","OBCHFKCE_00469","NEANDPFB_03001","GEPIEMCB_02995","FCMCIBEK_02875","HAJGLMEJ_00866","BONMBINM_01194","GIBMOCCN_00868","IEMKGCAE_01236","KNJLKBEO_01866","NHCEEELK_02625","DLEGJOHP_02432","PEJBPJLM_02580","KJDDDPDM_03338"
"ftsA_1","","Cell division protein FtsA",581,581,1,1,4030,NA,NA,"",233,839,834,"ANCOLAMI_02923","JNEDFIJH_01050","OBCHFKCE_00461","NEANDPFB_03009","GEPIEMCB_03003","FCMCIBEK_02883","HAJGLMEJ_00874","BONMBINM_01202","GIBMOCCN_00876","IEMKGCAE_01244","KNJLKBEO_01874","NHCEEELK_02633","DLEGJOHP_02440","PEJBPJLM_02588","KJDDDPDM_03330"
"tal","","Transaldolase",581,581,1,1,4040,NA,NA,"",812,950,949,"ANCOLAMI_02933","JNEDFIJH_01060","OBCHFKCE_00451","NEANDPFB_03019","GEPIEMCB_03013","FCMCIBEK_02893","HAJGLMEJ_00884","BONMBINM_01212","GIBMOCCN_00886","IEMKGCAE_01254","KNJLKBEO_01884","NHCEEELK_02643","DLEGJOHP_02450","PEJBPJLM_02598","KJDDDPDM_03320"
"acrB_1","","Multidrug efflux pump subunit AcrB",581,581,1,1,4182,NA,NA,"",2981,3113,3112,"ANCOLAMI_02941","JNEDFIJH_01068","OBCHFKCE_00443","NEANDPFB_03027","GEPIEMCB_03021","FCMCIBEK_02901","HAJGLMEJ_00892","BONMBINM_01220","GIBMOCCN_00894","IEMKGCAE_01262","KNJLKBEO_01892","NHCEEELK_02651","DLEGJOHP_02458","PEJBPJLM_02606","KJDDDPDM_03498"
"gcvR","","Glycine cleavage system transcriptional repressor",581,581,1,1,4173,NA,NA,"",572,602,572,"ANCOLAMI_02950","JNEDFIJH_01077","OBCHFKCE_00434","NEANDPFB_03036","GEPIEMCB_03030","FCMCIBEK_02910","HAJGLMEJ_00901","BONMBINM_01229","GIBMOCCN_00903","IEMKGCAE_01271","KNJLKBEO_01901","NHCEEELK_02660","DLEGJOHP_02467","PEJBPJLM_02615","KJDDDPDM_03507"
"ppx","","Exopolyphosphatase",581,581,1,1,4159,NA,NA,"",629,1541,1539,"ANCOLAMI_02964","JNEDFIJH_01091","OBCHFKCE_00420","NEANDPFB_03050","GEPIEMCB_03044","FCMCIBEK_02924","HAJGLMEJ_00915","BONMBINM_01243","GIBMOCCN_00917","IEMKGCAE_01288","KNJLKBEO_01915","NHCEEELK_02674","DLEGJOHP_02481","PEJBPJLM_02629","KJDDDPDM_03521"
"group_1521","","hypothetical protein",581,581,1,1,4145,NA,NA,"",3530,3683,3667,"ANCOLAMI_02977","JNEDFIJH_04365","OBCHFKCE_00408","NEANDPFB_03062","GEPIEMCB_03057","FCMCIBEK_02937","HAJGLMEJ_00927","BONMBINM_01256","GIBMOCCN_00930","IEMKGCAE_01301","KNJLKBEO_01927","NHCEEELK_02686","DLEGJOHP_02493","PEJBPJLM_02642","KJDDDPDM_03533"
"group_1522","","hypothetical protein",581,581,1,1,4122,NA,NA,"",599,668,667,"ANCOLAMI_02998","JNEDFIJH_01409","OBCHFKCE_00387","NEANDPFB_03083","GEPIEMCB_03078","FCMCIBEK_02958","HAJGLMEJ_00948","BONMBINM_01277","GIBMOCCN_04031","IEMKGCAE_01322","KNJLKBEO_01948","NHCEEELK_02707","DLEGJOHP_02514","PEJBPJLM_02663","KJDDDPDM_03554"
"hmp","","Flavohemoprotein",581,581,1,1,4099,NA,NA,"",581,1190,1188,"ANCOLAMI_03021","JNEDFIJH_01432","OBCHFKCE_00364","NEANDPFB_03106","GEPIEMCB_03101","FCMCIBEK_02981","HAJGLMEJ_00971","BONMBINM_01300","GIBMOCCN_04008","IEMKGCAE_01345","KNJLKBEO_03955","NHCEEELK_02730","DLEGJOHP_02537","PEJBPJLM_02686","KJDDDPDM_03577"
"qseG","","Quorum-sensing regulator protein G",581,581,1,1,4091,NA,NA,"",686,764,707,"ANCOLAMI_03028","JNEDFIJH_01439","OBCHFKCE_00357","NEANDPFB_03113","GEPIEMCB_03108","FCMCIBEK_02988","HAJGLMEJ_00978","BONMBINM_01307","GIBMOCCN_04001","IEMKGCAE_01352","KNJLKBEO_03948","NHCEEELK_02737","DLEGJOHP_02544","PEJBPJLM_02693","KJDDDPDM_03584"
"group_1525","","PTS system EIIBC component",581,581,1,1,4085,NA,NA,"",1217,1361,1360,"ANCOLAMI_03034","JNEDFIJH_01445","OBCHFKCE_00351","NEANDPFB_03119","GEPIEMCB_03114","FCMCIBEK_02994","HAJGLMEJ_00984","BONMBINM_01313","GIBMOCCN_03995","IEMKGCAE_01358","KNJLKBEO_03942","NHCEEELK_02743","DLEGJOHP_02550","PEJBPJLM_02699","KJDDDPDM_03590"
"panE_1","","2-dehydropantoate 2-reductase",581,581,1,1,4082,NA,NA,"",344,917,916,"ANCOLAMI_03037","JNEDFIJH_01448","OBCHFKCE_00348","NEANDPFB_03122","GEPIEMCB_03117","FCMCIBEK_02997","HAJGLMEJ_00987","BONMBINM_01316","GIBMOCCN_03992","IEMKGCAE_01361","KNJLKBEO_03939","NHCEEELK_02746","DLEGJOHP_02553","PEJBPJLM_02702","KJDDDPDM_03593"
"group_1527","","L-lactate transporter",581,581,1,1,4081,NA,NA,"",1169,1196,1195,"ANCOLAMI_03038","JNEDFIJH_01449","OBCHFKCE_00347","NEANDPFB_03123","GEPIEMCB_03118","FCMCIBEK_02998","HAJGLMEJ_00988","BONMBINM_01317","GIBMOCCN_03991","IEMKGCAE_01362","KNJLKBEO_03938","NHCEEELK_02747","DLEGJOHP_02554","PEJBPJLM_02703","KJDDDPDM_03594"
"hdfR_2","","HTH-type transcriptional regulator HdfR",581,581,1,1,4080,NA,NA,"",713,926,925,"ANCOLAMI_03039","JNEDFIJH_01450","OBCHFKCE_00346","NEANDPFB_03124","GEPIEMCB_03119","FCMCIBEK_02999","HAJGLMEJ_00989","BONMBINM_01318","GIBMOCCN_03990","IEMKGCAE_01363","KNJLKBEO_03937","NHCEEELK_02748","DLEGJOHP_02555","PEJBPJLM_02704","KJDDDPDM_03595"
"alsT_1","","Amino-acid carrier protein AlsT",581,581,1,1,4409,NA,NA,"",1016,1436,1435,"ANCOLAMI_01699","JNEDFIJH_03167","OBCHFKCE_02074","NEANDPFB_01068","GEPIEMCB_03196","FCMCIBEK_01659","HAJGLMEJ_01424","BONMBINM_02278","GIBMOCCN_00227","IEMKGCAE_03429","KNJLKBEO_00892","NHCEEELK_00866","DLEGJOHP_02919","PEJBPJLM_00959","KJDDDPDM_03892"
"yhhW_2","","hypothetical protein",581,581,1,1,4354,NA,NA,"",656,860,859,"ANCOLAMI_01750","JNEDFIJH_01147","OBCHFKCE_02124","NEANDPFB_01118","GEPIEMCB_03246","FCMCIBEK_01709","HAJGLMEJ_01374","BONMBINM_02329","GIBMOCCN_00277","IEMKGCAE_02905","KNJLKBEO_00842","NHCEEELK_00816","DLEGJOHP_02969","PEJBPJLM_01009","KJDDDPDM_03842"
"ycaC_1","","putative hydrolase YcaC",581,581,1,1,4353,NA,NA,"",563,677,676,"ANCOLAMI_01751","JNEDFIJH_01148","OBCHFKCE_02125","NEANDPFB_01119","GEPIEMCB_03247","FCMCIBEK_01710","HAJGLMEJ_01373","BONMBINM_02330","GIBMOCCN_00278","IEMKGCAE_02906","KNJLKBEO_00841","NHCEEELK_00815","DLEGJOHP_02970","PEJBPJLM_01010","KJDDDPDM_03841"
"lysO","","Lysine exporter LysO",581,581,1,1,4342,NA,NA,"",899,917,899,"ANCOLAMI_01761","JNEDFIJH_01158","OBCHFKCE_02135","NEANDPFB_01129","GEPIEMCB_03257","FCMCIBEK_01720","HAJGLMEJ_01363","BONMBINM_02340","GIBMOCCN_00288","IEMKGCAE_02916","KNJLKBEO_00831","NHCEEELK_00805","DLEGJOHP_02980","PEJBPJLM_01020","KJDDDPDM_03831"
"moeA","","Molybdopterin molybdenumtransferase",581,581,1,1,4277,NA,NA,"",899,1235,1234,"ANCOLAMI_01818","JNEDFIJH_04295","OBCHFKCE_04429","NEANDPFB_01186","GEPIEMCB_03314","FCMCIBEK_01777","HAJGLMEJ_01306","BONMBINM_02397","GIBMOCCN_00345","IEMKGCAE_02973","KNJLKBEO_00774","NHCEEELK_00748","DLEGJOHP_03037","PEJBPJLM_01077","KJDDDPDM_03774"
"mntR","","Transcriptional regulator MntR",581,581,1,1,4264,NA,NA,"",437,473,472,"ANCOLAMI_01830","JNEDFIJH_02266","OBCHFKCE_03538","NEANDPFB_01198","GEPIEMCB_03326","FCMCIBEK_01789","HAJGLMEJ_03764","BONMBINM_04142","GIBMOCCN_03520","IEMKGCAE_02985","KNJLKBEO_03668","NHCEEELK_00736","DLEGJOHP_03049","PEJBPJLM_01089","KJDDDPDM_04212"
"ybiI_2","","putative protein YbiI",581,581,1,1,4253,NA,NA,"",224,266,265,"ANCOLAMI_01841","JNEDFIJH_02255","OBCHFKCE_03549","NEANDPFB_01209","GEPIEMCB_03337","FCMCIBEK_01800","HAJGLMEJ_03775","BONMBINM_04131","GIBMOCCN_03531","IEMKGCAE_02996","KNJLKBEO_03679","NHCEEELK_00725","DLEGJOHP_03060","PEJBPJLM_01100","KJDDDPDM_04201"
"slrP","","E3 ubiquitin-protein ligase SlrP",581,581,1,1,4227,NA,NA,"",2048,2267,2266,"ANCOLAMI_01866","JNEDFIJH_02230","OBCHFKCE_03574","NEANDPFB_01234","GEPIEMCB_03362","FCMCIBEK_01825","HAJGLMEJ_03800","BONMBINM_04106","GIBMOCCN_03556","IEMKGCAE_03021","KNJLKBEO_03704","NHCEEELK_00700","DLEGJOHP_03085","PEJBPJLM_01125","KJDDDPDM_04176"
"hutU","","Urocanate hydratase",581,581,1,1,4218,NA,NA,"",1586,1685,1684,"ANCOLAMI_01875","JNEDFIJH_02221","OBCHFKCE_03583","NEANDPFB_01243","GEPIEMCB_03371","FCMCIBEK_01834","HAJGLMEJ_03809","BONMBINM_04097","GIBMOCCN_03565","IEMKGCAE_03030","KNJLKBEO_03713","NHCEEELK_00691","DLEGJOHP_03094","PEJBPJLM_01134","KJDDDPDM_04167"
"erfK","","putative L,D-transpeptidase ErfK/SrfK",581,581,1,1,5674,NA,NA,"",893,929,928,"ANCOLAMI_03468","JNEDFIJH_02774","OBCHFKCE_03657","NEANDPFB_03701","GEPIEMCB_03393","FCMCIBEK_03430","HAJGLMEJ_03929","BONMBINM_01362","GIBMOCCN_03303","IEMKGCAE_02631","KNJLKBEO_04197","NHCEEELK_03519","DLEGJOHP_03683","PEJBPJLM_03144","KJDDDPDM_02510"
"cbiO","","Cobalt import ATP-binding protein CbiO",581,581,1,1,5679,NA,NA,"",644,815,814,"ANCOLAMI_03473","JNEDFIJH_02779","OBCHFKCE_03652","NEANDPFB_03696","GEPIEMCB_03398","FCMCIBEK_03435","HAJGLMEJ_03934","BONMBINM_01367","GIBMOCCN_03308","IEMKGCAE_02636","KNJLKBEO_04192","NHCEEELK_03524","DLEGJOHP_03678","PEJBPJLM_03149","KJDDDPDM_02515"
"cbiM","","Cobalt transport protein CbiM",581,581,1,1,5682,NA,NA,"",263,737,732,"ANCOLAMI_03476","JNEDFIJH_02782","OBCHFKCE_03649","NEANDPFB_03693","GEPIEMCB_03401","FCMCIBEK_03438","HAJGLMEJ_03937","BONMBINM_01370","GIBMOCCN_03311","IEMKGCAE_02639","KNJLKBEO_04189","NHCEEELK_03527","DLEGJOHP_03675","PEJBPJLM_03152","KJDDDPDM_02518"
"pduL","","Phosphate propanoyltransferase",581,581,1,1,5711,NA,NA,"",536,632,631,"ANCOLAMI_03501","JNEDFIJH_02807","OBCHFKCE_03624","NEANDPFB_03668","GEPIEMCB_03426","FCMCIBEK_03463","HAJGLMEJ_03962","BONMBINM_01395","GIBMOCCN_03336","IEMKGCAE_02664","KNJLKBEO_03308","NHCEEELK_03552","DLEGJOHP_03650","PEJBPJLM_03177","KJDDDPDM_02543"
"group_1562","","hypothetical protein",581,581,1,1,5714,NA,NA,"",290,1010,1008,"ANCOLAMI_03504","JNEDFIJH_02810","OBCHFKCE_03621","NEANDPFB_03665","GEPIEMCB_03429","FCMCIBEK_03466","HAJGLMEJ_03965","BONMBINM_01398","GIBMOCCN_03339","IEMKGCAE_02667","KNJLKBEO_03305","NHCEEELK_03555","DLEGJOHP_03647","PEJBPJLM_03180","KJDDDPDM_02546"
"phsA","","Thiosulfate reductase molybdopterin-containing subunit PhsA",581,581,1,1,5730,NA,NA,"",2129,2276,2272,"ANCOLAMI_03519","JNEDFIJH_02825","OBCHFKCE_03606","NEANDPFB_03650","GEPIEMCB_03444","FCMCIBEK_03481","HAJGLMEJ_03980","BONMBINM_01413","GIBMOCCN_03354","IEMKGCAE_02682","KNJLKBEO_03290","NHCEEELK_03570","DLEGJOHP_03632","PEJBPJLM_03195","KJDDDPDM_02561"
"sopA","","E3 ubiquitin-protein ligase SopA",581,581,1,1,5731,NA,NA,"",1703,2348,2313,"ANCOLAMI_03520","JNEDFIJH_04148","OBCHFKCE_04415","NEANDPFB_03649","GEPIEMCB_03445","FCMCIBEK_03482","HAJGLMEJ_04506","BONMBINM_01414","GIBMOCCN_03355","IEMKGCAE_02683","KNJLKBEO_03289","NHCEEELK_03571","DLEGJOHP_03631","PEJBPJLM_03196","KJDDDPDM_02562"
"ascD","","CDP-6-deoxy-L-threo-D-glycero-4-hexulose-3-dehydrase reductase",581,581,1,1,5762,NA,NA,"",338,974,972,"ANCOLAMI_03548","JNEDFIJH_03579","OBCHFKCE_02012","NEANDPFB_03621","GEPIEMCB_03473","FCMCIBEK_03510","HAJGLMEJ_02147","BONMBINM_01442","GIBMOCCN_02333","IEMKGCAE_02711","KNJLKBEO_03261","NHCEEELK_03599","DLEGJOHP_03603","PEJBPJLM_03224","KJDDDPDM_02590"
"algC","","Phosphomannomutase/phosphoglucomutase",581,581,1,1,5773,NA,NA,"",482,1370,1368,"ANCOLAMI_03559","JNEDFIJH_03590","OBCHFKCE_02001","NEANDPFB_03610","GEPIEMCB_03484","FCMCIBEK_03521","HAJGLMEJ_02136","BONMBINM_01453","GIBMOCCN_02344","IEMKGCAE_02722","KNJLKBEO_03250","NHCEEELK_03610","DLEGJOHP_03592","PEJBPJLM_03235","KJDDDPDM_02601"
"dnaK_2","","Chaperone protein DnaK",581,581,1,1,5795,NA,NA,"",683,926,925,"ANCOLAMI_03581","JNEDFIJH_04175","OBCHFKCE_01979","NEANDPFB_03588","GEPIEMCB_03506","FCMCIBEK_03543","HAJGLMEJ_02114","BONMBINM_01475","GIBMOCCN_02366","IEMKGCAE_02744","KNJLKBEO_03228","NHCEEELK_03632","DLEGJOHP_03570","PEJBPJLM_03257","KJDDDPDM_02623"
"mdtB","","Multidrug resistance protein MdtB",581,581,1,1,5799,NA,NA,"",2849,3122,3121,"ANCOLAMI_03585","JNEDFIJH_04179","OBCHFKCE_01975","NEANDPFB_03584","GEPIEMCB_03510","FCMCIBEK_03547","HAJGLMEJ_02110","BONMBINM_01479","GIBMOCCN_02370","IEMKGCAE_02748","KNJLKBEO_03224","NHCEEELK_03636","DLEGJOHP_03566","PEJBPJLM_03261","KJDDDPDM_02627"
"mdtD_2","","Putative multidrug resistance protein MdtD",581,581,1,1,5801,NA,NA,"",371,431,420,"ANCOLAMI_03587","JNEDFIJH_04181","OBCHFKCE_01973","NEANDPFB_03582","GEPIEMCB_03512","FCMCIBEK_03549","HAJGLMEJ_02108","BONMBINM_01481","GIBMOCCN_02372","IEMKGCAE_02750","KNJLKBEO_03222","NHCEEELK_03638","DLEGJOHP_03564","PEJBPJLM_03263","KJDDDPDM_02629"
"group_1570","","hypothetical protein",581,581,1,1,5853,NA,NA,"",1028,1202,1199,"ANCOLAMI_03591","JNEDFIJH_04585","OBCHFKCE_01969","NEANDPFB_03578","GEPIEMCB_03516","FCMCIBEK_03553","HAJGLMEJ_02104","BONMBINM_01485","GIBMOCCN_02376","IEMKGCAE_02754","KNJLKBEO_04261","NHCEEELK_03642","DLEGJOHP_03560","PEJBPJLM_03267","KJDDDPDM_02633"
"rlhA_2","","23S rRNA 5-hydroxycytidine synthase",581,581,1,1,5857,NA,NA,"",1100,1361,1360,"ANCOLAMI_03594","JNEDFIJH_04582","OBCHFKCE_01966","NEANDPFB_03575","GEPIEMCB_03519","FCMCIBEK_03556","HAJGLMEJ_02101","BONMBINM_01488","GIBMOCCN_02379","IEMKGCAE_02757","KNJLKBEO_04258","NHCEEELK_03645","DLEGJOHP_03557","PEJBPJLM_03270","KJDDDPDM_02636"
"cesT","","Tir chaperone",581,581,1,1,5858,NA,NA,"",269,416,414,"ANCOLAMI_03595","JNEDFIJH_04386","OBCHFKCE_01965","NEANDPFB_03574","GEPIEMCB_03520","FCMCIBEK_03557","HAJGLMEJ_02100","BONMBINM_01489","GIBMOCCN_02380","IEMKGCAE_02758","KNJLKBEO_04257","NHCEEELK_03646","DLEGJOHP_03556","PEJBPJLM_03271","KJDDDPDM_02637"
"yehB","","Outer membrane usher protein YehB",581,581,1,1,5871,NA,NA,"",545,2486,2482,"ANCOLAMI_03607","JNEDFIJH_04398","OBCHFKCE_01953","NEANDPFB_03562","GEPIEMCB_03532","FCMCIBEK_03569","HAJGLMEJ_02088","BONMBINM_01501","GIBMOCCN_02392","IEMKGCAE_02770","KNJLKBEO_04245","NHCEEELK_03658","DLEGJOHP_03544","PEJBPJLM_03283","KJDDDPDM_02649"
