"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR7010294","SRR5905016","SRR14766362","SRR18233382","SRR2911768","SRR14766451","SRR9017024","SRR14766433","SRR5905275","SRR14766368","SRR18233388","SRR1461785","NDSU16","SRR6308366","SRR14766393"
"rof","","Protein rof",581,581,1,1,2351,NA,NA,"",260,260,260,"FNDKDPDO_03119","BIBHBEME_03128","ADMPKBAP_04182","GMDHGEDP_03913","HFBCCMPJ_03377","JKFJINKE_02039","HFHLPAEB_02783","JOCLDNKJ_04020","MIPDHJCF_04419","DLDIJGFH_04321","ACOJFAEA_03810","JAFODMFN_04355","PJHKJHDN_03620","ABOIEABI_03977","FFKIDJGC_01682"
"rpsR","","30S ribosomal protein S18",581,581,1,1,6039,NA,NA,"",227,227,227,"FNDKDPDO_01454","BIBHBEME_01578","ADMPKBAP_00926","GMDHGEDP_01659","HFBCCMPJ_01111","JKFJINKE_00913","HFHLPAEB_03752","JOCLDNKJ_02726","MIPDHJCF_01927","DLDIJGFH_00187","ACOJFAEA_01370","JAFODMFN_01341","PJHKJHDN_02653","ABOIEABI_01724","FFKIDJGC_01615"
"iclR","","Transcriptional repressor IclR",581,581,1,1,2010,NA,NA,"",824,824,824,"FNDKDPDO_04225","BIBHBEME_04416","ADMPKBAP_01106","GMDHGEDP_03820","HFBCCMPJ_03272","JKFJINKE_04312","HFHLPAEB_03931","JOCLDNKJ_03392","MIPDHJCF_02106","DLDIJGFH_00007","ACOJFAEA_01549","JAFODMFN_01161","PJHKJHDN_02473","ABOIEABI_01904","FFKIDJGC_03985"
"pstA","","Phosphate transport system permease protein PstA",581,581,1,1,1397,NA,NA,"",890,890,890,"FNDKDPDO_02857","BIBHBEME_02213","ADMPKBAP_04053","GMDHGEDP_03581","HFBCCMPJ_02939","JKFJINKE_01363","HFHLPAEB_04223","JOCLDNKJ_03629","MIPDHJCF_04130","DLDIJGFH_04091","ACOJFAEA_04282","JAFODMFN_04226","PJHKJHDN_04153","ABOIEABI_03827","FFKIDJGC_02060"
"lsrG","","(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase",581,581,1,1,2204,NA,NA,"",329,329,329,"FNDKDPDO_02264","BIBHBEME_00464","ADMPKBAP_03376","GMDHGEDP_02516","HFBCCMPJ_01516","JKFJINKE_02981","HFHLPAEB_03584","JOCLDNKJ_02163","MIPDHJCF_03631","DLDIJGFH_03768","ACOJFAEA_04105","JAFODMFN_03703","PJHKJHDN_03844","ABOIEABI_03603","FFKIDJGC_02728"
"proA","","Gamma-glutamyl phosphate reductase",581,581,1,1,805,NA,NA,"",1247,1247,1247,"FNDKDPDO_03915","BIBHBEME_02126","ADMPKBAP_03145","GMDHGEDP_00674","HFBCCMPJ_00071","JKFJINKE_03522","HFHLPAEB_01664","JOCLDNKJ_02977","MIPDHJCF_02739","DLDIJGFH_03472","ACOJFAEA_02945","JAFODMFN_03108","PJHKJHDN_02207","ABOIEABI_01405","FFKIDJGC_03406"
"yjjJ","","Toxin YjjJ",581,581,1,1,6223,NA,NA,"",1328,1328,1328,"FNDKDPDO_02534","BIBHBEME_01888","ADMPKBAP_00750","GMDHGEDP_03732","HFBCCMPJ_02206","JKFJINKE_03334","HFHLPAEB_03432","JOCLDNKJ_02340","MIPDHJCF_03192","DLDIJGFH_00363","ACOJFAEA_01194","JAFODMFN_01518","PJHKJHDN_03305","ABOIEABI_03150","FFKIDJGC_00593"
"ydjG","","NADH-specific methylglyoxal reductase",581,581,1,1,5358,NA,NA,"",983,983,983,"FNDKDPDO_00661","BIBHBEME_00566","ADMPKBAP_02327","GMDHGEDP_00476","HFBCCMPJ_03072","JKFJINKE_01135","HFHLPAEB_02096","JOCLDNKJ_01317","MIPDHJCF_01675","DLDIJGFH_02501","ACOJFAEA_03189","JAFODMFN_04063","PJHKJHDN_00167","ABOIEABI_00931","FFKIDJGC_03650"
"tsaR","","HTH-type transcriptional regulator TsaR",581,581,1,1,2651,NA,NA,"",938,938,938,"FNDKDPDO_03071","BIBHBEME_04172","ADMPKBAP_00566","GMDHGEDP_00219","HFBCCMPJ_00810","JKFJINKE_00726","HFHLPAEB_00924","JOCLDNKJ_02006","MIPDHJCF_00708","DLDIJGFH_02777","ACOJFAEA_00103","JAFODMFN_00104","PJHKJHDN_01312","ABOIEABI_02520","FFKIDJGC_04464"
"fklB","","FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase",581,581,1,1,6043,NA,NA,"",662,662,662,"FNDKDPDO_01458","BIBHBEME_01574","ADMPKBAP_00922","GMDHGEDP_01655","HFBCCMPJ_01115","JKFJINKE_00909","HFHLPAEB_03748","JOCLDNKJ_02722","MIPDHJCF_01923","DLDIJGFH_00191","ACOJFAEA_01366","JAFODMFN_01345","PJHKJHDN_02657","ABOIEABI_01720","FFKIDJGC_01619"
"yciN","","Protein YciN",581,581,1,1,4883,NA,NA,"",251,251,251,"FNDKDPDO_01189","BIBHBEME_01718","ADMPKBAP_01268","GMDHGEDP_02209","HFBCCMPJ_00335","JKFJINKE_01317","HFHLPAEB_00157","JOCLDNKJ_00564","MIPDHJCF_00156","DLDIJGFH_01109","ACOJFAEA_01712","JAFODMFN_01755","PJHKJHDN_00590","ABOIEABI_02261","FFKIDJGC_01838"
"tusD","","Sulfurtransferase TusD",581,581,1,1,1611,NA,NA,"",386,386,386,"FNDKDPDO_02438","BIBHBEME_01789","ADMPKBAP_01822","GMDHGEDP_01408","HFBCCMPJ_04176","JKFJINKE_00006","HFHLPAEB_01588","JOCLDNKJ_00270","MIPDHJCF_04490","DLDIJGFH_01269","ACOJFAEA_01968","JAFODMFN_02361","PJHKJHDN_01418","ABOIEABI_00361","FFKIDJGC_03569"
"hisI","","Histidine biosynthesis bifunctional protein HisIE",581,581,1,1,5743,NA,NA,"",611,611,611,"FNDKDPDO_03558","BIBHBEME_04283","ADMPKBAP_02936","GMDHGEDP_03454","HFBCCMPJ_02810","JKFJINKE_03980","HFHLPAEB_02609","JOCLDNKJ_03125","MIPDHJCF_03880","DLDIJGFH_03159","ACOJFAEA_03519","JAFODMFN_02875","PJHKJHDN_03159","ABOIEABI_03539","FFKIDJGC_03957"
"phoU","","Phosphate-specific transport system accessory protein PhoU",581,581,1,1,1399,NA,NA,"",725,725,725,"FNDKDPDO_02855","BIBHBEME_02215","ADMPKBAP_04051","GMDHGEDP_03579","HFBCCMPJ_02937","JKFJINKE_01365","HFHLPAEB_04225","JOCLDNKJ_03631","MIPDHJCF_04128","DLDIJGFH_04093","ACOJFAEA_04284","JAFODMFN_04228","PJHKJHDN_04151","ABOIEABI_03825","FFKIDJGC_02058"
"sbcB","","Exodeoxyribonuclease I",581,581,1,1,5732,NA,NA,"",1430,1430,1430,"FNDKDPDO_03547","BIBHBEME_04294","ADMPKBAP_02947","GMDHGEDP_03443","HFBCCMPJ_02799","JKFJINKE_03969","HFHLPAEB_02598","JOCLDNKJ_03136","MIPDHJCF_03869","DLDIJGFH_03170","ACOJFAEA_03530","JAFODMFN_02864","PJHKJHDN_03170","ABOIEABI_03528","FFKIDJGC_03946"
"cpoB","","Cell division coordinator CpoB",581,581,1,1,265,NA,NA,"",788,788,788,"FNDKDPDO_04374","BIBHBEME_04433","ADMPKBAP_04287","GMDHGEDP_04041","HFBCCMPJ_03779","JKFJINKE_04330","HFHLPAEB_03147","JOCLDNKJ_01797","MIPDHJCF_02930","DLDIJGFH_04367","ACOJFAEA_04002","JAFODMFN_03461","PJHKJHDN_03593","ABOIEABI_04559","FFKIDJGC_04097"
"group_4765","","hypothetical protein",581,581,1,1,2745,NA,NA,"",404,404,404,"FNDKDPDO_03698","BIBHBEME_02834","ADMPKBAP_00475","GMDHGEDP_00128","HFBCCMPJ_01824","JKFJINKE_01958","HFHLPAEB_01015","JOCLDNKJ_03897","MIPDHJCF_00617","DLDIJGFH_02868","ACOJFAEA_00194","JAFODMFN_00195","PJHKJHDN_01221","ABOIEABI_02611","FFKIDJGC_00873"
"pgtP","","Phosphoglycerate transporter protein",581,581,1,1,3969,NA,NA,"",1391,1391,1391,"FNDKDPDO_00861","BIBHBEME_00819","ADMPKBAP_02622","GMDHGEDP_01193","HFBCCMPJ_00591","JKFJINKE_02765","HFHLPAEB_02409","JOCLDNKJ_00343","MIPDHJCF_01018","DLDIJGFH_01838","ACOJFAEA_02538","JAFODMFN_02575","PJHKJHDN_01987","ABOIEABI_01227","FFKIDJGC_00313"
"group_4767","","hypothetical protein",581,581,1,1,4156,NA,NA,"",233,233,233,"FNDKDPDO_00971","BIBHBEME_00709","ADMPKBAP_02512","GMDHGEDP_01303","HFBCCMPJ_01583","JKFJINKE_00741","HFHLPAEB_02519","JOCLDNKJ_00453","MIPDHJCF_00908","DLDIJGFH_01728","ACOJFAEA_02428","JAFODMFN_02465","PJHKJHDN_01877","ABOIEABI_01117","FFKIDJGC_03628"
"sodB","","Superoxide dismutase [Fe]",581,581,1,1,5207,NA,NA,"",581,581,581,"FNDKDPDO_03763","BIBHBEME_03436","ADMPKBAP_02469","GMDHGEDP_00617","HFBCCMPJ_03614","JKFJINKE_02670","HFHLPAEB_01954","JOCLDNKJ_01458","MIPDHJCF_01533","DLDIJGFH_02643","ACOJFAEA_03047","JAFODMFN_03858","PJHKJHDN_00309","ABOIEABI_01074","FFKIDJGC_02165"
"deoD","","Purine nucleoside phosphorylase DeoD-type",581,581,1,1,6222,NA,NA,"",719,719,719,"FNDKDPDO_02535","BIBHBEME_01887","ADMPKBAP_00751","GMDHGEDP_03731","HFBCCMPJ_02207","JKFJINKE_03335","HFHLPAEB_03433","JOCLDNKJ_02339","MIPDHJCF_03193","DLDIJGFH_00362","ACOJFAEA_01195","JAFODMFN_01517","PJHKJHDN_03306","ABOIEABI_03151","FFKIDJGC_00594"
"group_4770","","hypothetical protein",581,581,1,1,5275,NA,NA,"",188,188,188,"FNDKDPDO_00586","BIBHBEME_00642","ADMPKBAP_02403","GMDHGEDP_00551","HFBCCMPJ_03513","JKFJINKE_01865","HFHLPAEB_02020","JOCLDNKJ_01392","MIPDHJCF_01599","DLDIJGFH_02577","ACOJFAEA_03113","JAFODMFN_03792","PJHKJHDN_00243","ABOIEABI_01008","FFKIDJGC_00949"
"pgi","","Glucose-6-phosphate isomerase",581,581,1,1,2026,NA,NA,"",1649,1649,1649,"FNDKDPDO_03638","BIBHBEME_03831","ADMPKBAP_01092","GMDHGEDP_03834","HFBCCMPJ_03286","JKFJINKE_03356","HFHLPAEB_03917","JOCLDNKJ_03406","MIPDHJCF_02092","DLDIJGFH_00021","ACOJFAEA_01535","JAFODMFN_01175","PJHKJHDN_02487","ABOIEABI_01890","FFKIDJGC_04469"
"rsd","","Regulator of sigma D",581,581,1,1,1532,NA,NA,"",488,488,488,"FNDKDPDO_04352","BIBHBEME_04508","ADMPKBAP_04563","GMDHGEDP_04439","HFBCCMPJ_04359","JKFJINKE_04273","HFHLPAEB_04500","JOCLDNKJ_04326","MIPDHJCF_04649","DLDIJGFH_04538","ACOJFAEA_04552","JAFODMFN_04555","PJHKJHDN_04527","ABOIEABI_04586","FFKIDJGC_04063"
"hupA","","DNA-binding protein HU-alpha",581,581,1,1,1527,NA,NA,"",272,272,272,"FNDKDPDO_04357","BIBHBEME_04503","ADMPKBAP_04558","GMDHGEDP_04434","HFBCCMPJ_04354","JKFJINKE_04268","HFHLPAEB_04505","JOCLDNKJ_04321","MIPDHJCF_04644","DLDIJGFH_04543","ACOJFAEA_04547","JAFODMFN_04560","PJHKJHDN_04532","ABOIEABI_04581","FFKIDJGC_04058"
"group_4774","","hypothetical protein",581,581,1,1,2627,NA,NA,"",503,503,503,"FNDKDPDO_02127","BIBHBEME_01293","ADMPKBAP_00587","GMDHGEDP_00240","HFBCCMPJ_00789","JKFJINKE_00705","HFHLPAEB_00903","JOCLDNKJ_02027","MIPDHJCF_00729","DLDIJGFH_02756","ACOJFAEA_00082","JAFODMFN_00083","PJHKJHDN_01333","ABOIEABI_02498","FFKIDJGC_03026"
"nagI","","Gentisate 1,2-dioxygenase",581,581,1,1,5902,NA,NA,"",1037,1037,1037,"FNDKDPDO_01290","BIBHBEME_02285","ADMPKBAP_02833","GMDHGEDP_02061","HFBCCMPJ_02328","JKFJINKE_00562","HFHLPAEB_02712","JOCLDNKJ_01550","MIPDHJCF_03342","DLDIJGFH_03056","ACOJFAEA_03416","JAFODMFN_02978","PJHKJHDN_03056","ABOIEABI_03036","FFKIDJGC_01477"
"group_4776","","hypothetical protein",581,581,1,1,3932,NA,NA,"",374,374,374,"FNDKDPDO_01714","BIBHBEME_02729","ADMPKBAP_02653","GMDHGEDP_02682","HFBCCMPJ_00622","JKFJINKE_00988","HFHLPAEB_02378","JOCLDNKJ_00312","MIPDHJCF_01049","DLDIJGFH_01869","ACOJFAEA_02569","JAFODMFN_02606","PJHKJHDN_02017","ABOIEABI_01258","FFKIDJGC_00344"
"pncC_1","","Nicotinamide-nucleotide amidohydrolase PncC",581,581,1,1,3157,NA,NA,"",497,497,497,"FNDKDPDO_00267","BIBHBEME_02866","ADMPKBAP_00140","GMDHGEDP_01046","HFBCCMPJ_02078","JKFJINKE_00315","HFHLPAEB_03287","JOCLDNKJ_00943","MIPDHJCF_02544","DLDIJGFH_02127","ACOJFAEA_00529","JAFODMFN_00530","PJHKJHDN_00885","ABOIEABI_02048","FFKIDJGC_02632"
"group_4778","","hypothetical protein",581,581,1,1,1726,NA,NA,"",1277,1277,1277,"FNDKDPDO_00058","BIBHBEME_00351","ADMPKBAP_01712","GMDHGEDP_01518","HFBCCMPJ_02851","JKFJINKE_00116","HFHLPAEB_01478","JOCLDNKJ_00160","MIPDHJCF_01418","DLDIJGFH_01378","ACOJFAEA_02078","JAFODMFN_02251","PJHKJHDN_01528","ABOIEABI_00251","FFKIDJGC_00451"
"mlrA_2","","HTH-type transcriptional regulator MlrA",581,581,1,1,5250,NA,NA,"",470,470,470,"FNDKDPDO_00563","BIBHBEME_00665","ADMPKBAP_02426","GMDHGEDP_00574","HFBCCMPJ_04551","JKFJINKE_01842","HFHLPAEB_01997","JOCLDNKJ_01415","MIPDHJCF_01576","DLDIJGFH_02600","ACOJFAEA_03090","JAFODMFN_03815","PJHKJHDN_00266","ABOIEABI_01031","FFKIDJGC_04009"
"fadR","","Fatty acid metabolism regulator protein",581,581,1,1,4791,NA,NA,"",719,719,719,"FNDKDPDO_03309","BIBHBEME_02657","ADMPKBAP_01179","GMDHGEDP_03483","HFBCCMPJ_00424","JKFJINKE_01622","HFHLPAEB_00068","JOCLDNKJ_02474","MIPDHJCF_00067","DLDIJGFH_01198","ACOJFAEA_01623","JAFODMFN_01666","PJHKJHDN_00679","ABOIEABI_02350","FFKIDJGC_02526"
"ytfJ","","putative protein YtfJ",581,581,1,1,6055,NA,NA,"",557,557,557,"FNDKDPDO_01468","BIBHBEME_01564","ADMPKBAP_00912","GMDHGEDP_01645","HFBCCMPJ_01125","JKFJINKE_00899","HFHLPAEB_03738","JOCLDNKJ_02712","MIPDHJCF_01913","DLDIJGFH_00201","ACOJFAEA_01356","JAFODMFN_01355","PJHKJHDN_02667","ABOIEABI_01710","FFKIDJGC_01629"
"emtA","","Endo-type membrane-bound lytic murein transglycosylase A",581,581,1,1,4797,NA,NA,"",611,611,611,"FNDKDPDO_03303","BIBHBEME_02651","ADMPKBAP_01185","GMDHGEDP_03477","HFBCCMPJ_00418","JKFJINKE_01616","HFHLPAEB_00074","JOCLDNKJ_02468","MIPDHJCF_00073","DLDIJGFH_01192","ACOJFAEA_01629","JAFODMFN_01672","PJHKJHDN_00673","ABOIEABI_02344","FFKIDJGC_02532"
"lolD","","Lipoprotein-releasing system ATP-binding protein LolD",581,581,1,1,5438,NA,NA,"",701,701,701,"FNDKDPDO_01863","BIBHBEME_01451","ADMPKBAP_02249","GMDHGEDP_00398","HFBCCMPJ_03741","JKFJINKE_03742","HFHLPAEB_02174","JOCLDNKJ_02582","MIPDHJCF_01753","DLDIJGFH_02423","ACOJFAEA_03267","JAFODMFN_03913","PJHKJHDN_00089","ABOIEABI_00853","FFKIDJGC_03685"
"group_4784","","hypothetical protein",581,581,1,1,4958,NA,NA,"",266,266,266,"FNDKDPDO_04217","BIBHBEME_00049","ADMPKBAP_01335","GMDHGEDP_02142","HFBCCMPJ_00268","JKFJINKE_04162","HFHLPAEB_00225","JOCLDNKJ_00631","MIPDHJCF_00223","DLDIJGFH_01042","ACOJFAEA_01779","JAFODMFN_01822","PJHKJHDN_00523","ABOIEABI_02194","FFKIDJGC_04269"
"bamE","","Outer membrane protein assembly factor BamE",581,581,1,1,3029,NA,NA,"",338,338,338,"FNDKDPDO_04114","BIBHBEME_03319","ADMPKBAP_00023","GMDHGEDP_01163","HFBCCMPJ_03675","JKFJINKE_04010","HFHLPAEB_04166","JOCLDNKJ_01060","MIPDHJCF_02427","DLDIJGFH_02010","ACOJFAEA_04419","JAFODMFN_00647","PJHKJHDN_00767","ABOIEABI_01933","FFKIDJGC_04595"
"group_4786","","hypothetical protein",581,581,1,1,1621,NA,NA,"",1022,1022,1022,"FNDKDPDO_02428","BIBHBEME_01779","ADMPKBAP_01812","GMDHGEDP_01418","HFBCCMPJ_04186","JKFJINKE_00016","HFHLPAEB_01578","JOCLDNKJ_00260","MIPDHJCF_04480","DLDIJGFH_01279","ACOJFAEA_01978","JAFODMFN_02351","PJHKJHDN_01428","ABOIEABI_00351","FFKIDJGC_03559"
"yhcO","","putative protein YhcO",581,581,1,1,1951,NA,NA,"",272,272,272,"FNDKDPDO_03484","BIBHBEME_03577","ADMPKBAP_04378","GMDHGEDP_04198","HFBCCMPJ_03857","JKFJINKE_03400","HFHLPAEB_04449","JOCLDNKJ_04144","MIPDHJCF_04552","DLDIJGFH_04416","ACOJFAEA_04507","JAFODMFN_04409","PJHKJHDN_04384","ABOIEABI_04259","FFKIDJGC_02781"
"sgbE","","L-ribulose-5-phosphate 4-epimerase SgbE",581,581,1,1,1852,NA,NA,"",695,695,695,"FNDKDPDO_00175","BIBHBEME_00234","ADMPKBAP_01594","GMDHGEDP_02938","HFBCCMPJ_01326","JKFJINKE_02596","HFHLPAEB_01360","JOCLDNKJ_00041","MIPDHJCF_01301","DLDIJGFH_01496","ACOJFAEA_02196","JAFODMFN_02133","PJHKJHDN_01645","ABOIEABI_00134","FFKIDJGC_02444"
"hslO","","33 kDa chaperonin",581,581,1,1,1659,NA,NA,"",878,878,878,"FNDKDPDO_02392","BIBHBEME_01743","ADMPKBAP_01776","GMDHGEDP_01454","HFBCCMPJ_02652","JKFJINKE_00052","HFHLPAEB_01542","JOCLDNKJ_00224","MIPDHJCF_01482","DLDIJGFH_01315","ACOJFAEA_02014","JAFODMFN_02315","PJHKJHDN_01464","ABOIEABI_00315","FFKIDJGC_00515"
"oppF_2","","Oligopeptide transport ATP-binding protein OppF",581,581,1,1,5396,NA,NA,"",590,590,590,"FNDKDPDO_00699","BIBHBEME_04119","ADMPKBAP_02289","GMDHGEDP_00438","HFBCCMPJ_03701","JKFJINKE_04290","HFHLPAEB_02134","JOCLDNKJ_02542","MIPDHJCF_01713","DLDIJGFH_02463","ACOJFAEA_03227","JAFODMFN_04025","PJHKJHDN_00129","ABOIEABI_00893","FFKIDJGC_04191"
"dppC_2","","Dipeptide transport system permease protein DppC",581,581,1,1,5398,NA,NA,"",812,812,812,"FNDKDPDO_00701","BIBHBEME_04117","ADMPKBAP_02287","GMDHGEDP_00436","HFBCCMPJ_03703","JKFJINKE_04292","HFHLPAEB_02136","JOCLDNKJ_02544","MIPDHJCF_01715","DLDIJGFH_02461","ACOJFAEA_03229","JAFODMFN_04023","PJHKJHDN_00127","ABOIEABI_00891","FFKIDJGC_04189"
"lutR","","HTH-type transcriptional regulator LutR",581,581,1,1,1417,NA,NA,"",689,689,689,"FNDKDPDO_02837","BIBHBEME_02233","ADMPKBAP_04033","GMDHGEDP_03561","HFBCCMPJ_02919","JKFJINKE_01383","HFHLPAEB_04243","JOCLDNKJ_03649","MIPDHJCF_04110","DLDIJGFH_04111","ACOJFAEA_04302","JAFODMFN_04246","PJHKJHDN_04133","ABOIEABI_03807","FFKIDJGC_02040"
"gmd","","GDP-mannose 4,6-dehydratase",581,581,1,1,5778,NA,NA,"",1121,1121,1121,"FNDKDPDO_01361","BIBHBEME_03053","ADMPKBAP_02904","GMDHGEDP_01990","HFBCCMPJ_02257","JKFJINKE_03669","HFHLPAEB_02641","JOCLDNKJ_01621","MIPDHJCF_03413","DLDIJGFH_03127","ACOJFAEA_03487","JAFODMFN_02907","PJHKJHDN_03127","ABOIEABI_02965","FFKIDJGC_03266"
"rplI","","50S ribosomal protein L9",581,581,1,1,6040,NA,NA,"",449,449,449,"FNDKDPDO_01455","BIBHBEME_01577","ADMPKBAP_00925","GMDHGEDP_01658","HFBCCMPJ_01112","JKFJINKE_00912","HFHLPAEB_03751","JOCLDNKJ_02725","MIPDHJCF_01926","DLDIJGFH_00188","ACOJFAEA_01369","JAFODMFN_01342","PJHKJHDN_02654","ABOIEABI_01723","FFKIDJGC_01616"
"group_4795","","hypothetical protein",581,581,1,1,6073,NA,NA,"",302,302,302,"FNDKDPDO_01485","BIBHBEME_04077","ADMPKBAP_00895","GMDHGEDP_01628","HFBCCMPJ_01142","JKFJINKE_02232","HFHLPAEB_03721","JOCLDNKJ_02695","MIPDHJCF_01896","DLDIJGFH_00218","ACOJFAEA_01339","JAFODMFN_01372","PJHKJHDN_02684","ABOIEABI_01693","FFKIDJGC_01646"
"clsA","","Cardiolipin synthase A",581,581,1,1,4858,NA,NA,"",1460,1460,1460,"FNDKDPDO_01213","BIBHBEME_01694","ADMPKBAP_01244","GMDHGEDP_02233","HFBCCMPJ_00359","JKFJINKE_02211","HFHLPAEB_00133","JOCLDNKJ_02409","MIPDHJCF_00132","DLDIJGFH_01133","ACOJFAEA_01688","JAFODMFN_01731","PJHKJHDN_00614","ABOIEABI_02285","FFKIDJGC_02985"
"rlmN","","Dual-specificity RNA methyltransferase RlmN",581,581,1,1,4134,NA,NA,"",1166,1166,1166,"FNDKDPDO_02030","BIBHBEME_04024","ADMPKBAP_03855","GMDHGEDP_01323","HFBCCMPJ_01603","JKFJINKE_03595","HFHLPAEB_03946","JOCLDNKJ_00473","MIPDHJCF_00889","DLDIJGFH_01709","ACOJFAEA_02409","JAFODMFN_02446","PJHKJHDN_01858","ABOIEABI_03287","FFKIDJGC_04255"
"kefF","","Glutathione-regulated potassium-efflux system ancillary protein KefF",581,581,1,1,2516,NA,NA,"",530,530,530,"FNDKDPDO_01612","BIBHBEME_03950","ADMPKBAP_03778","GMDHGEDP_03949","HFBCCMPJ_00913","JKFJINKE_01908","HFHLPAEB_02942","JOCLDNKJ_01837","MIPDHJCF_03461","DLDIJGFH_03656","ACOJFAEA_03651","JAFODMFN_03590","PJHKJHDN_04350","ABOIEABI_04071","FFKIDJGC_02338"
"kdsA","","2-dehydro-3-deoxyphosphooctonate aldolase",581,581,1,1,4827,NA,NA,"",854,854,854,"FNDKDPDO_01244","BIBHBEME_01663","ADMPKBAP_01213","GMDHGEDP_02264","HFBCCMPJ_00390","JKFJINKE_02180","HFHLPAEB_00102","JOCLDNKJ_02440","MIPDHJCF_00101","DLDIJGFH_01164","ACOJFAEA_01657","JAFODMFN_01700","PJHKJHDN_00645","ABOIEABI_02316","FFKIDJGC_03785"
"hiuH","","5-hydroxyisourate hydrolase",581,581,1,1,4513,NA,NA,"",410,410,410,"FNDKDPDO_04540","BIBHBEME_03284","ADMPKBAP_02021","GMDHGEDP_03246","HFBCCMPJ_04021","JKFJINKE_04190","HFHLPAEB_00629","JOCLDNKJ_03822","MIPDHJCF_02212","DLDIJGFH_00637","ACOJFAEA_00920","JAFODMFN_00862","PJHKJHDN_02906","ABOIEABI_00559","FFKIDJGC_04375"
"dgoD_1","","D-galactonate dehydratase",581,581,1,1,1414,NA,NA,"",1190,1190,1190,"FNDKDPDO_02840","BIBHBEME_02230","ADMPKBAP_04036","GMDHGEDP_03564","HFBCCMPJ_02922","JKFJINKE_01380","HFHLPAEB_04240","JOCLDNKJ_03646","MIPDHJCF_04113","DLDIJGFH_04108","ACOJFAEA_04299","JAFODMFN_04243","PJHKJHDN_04136","ABOIEABI_03810","FFKIDJGC_02043"
"group_4802","","hypothetical protein",581,581,1,1,2015,NA,NA,"",539,539,539,"FNDKDPDO_04229","BIBHBEME_04412","ADMPKBAP_01102","GMDHGEDP_03824","HFBCCMPJ_03276","JKFJINKE_04308","HFHLPAEB_03927","JOCLDNKJ_03396","MIPDHJCF_02102","DLDIJGFH_00011","ACOJFAEA_01545","JAFODMFN_01165","PJHKJHDN_02477","ABOIEABI_01900","FFKIDJGC_03989"
"uhpC_1","","Membrane sensor protein UhpC",581,581,1,1,1462,NA,NA,"",1328,1328,1328,"FNDKDPDO_03360","BIBHBEME_03519","ADMPKBAP_04344","GMDHGEDP_04100","HFBCCMPJ_01217","JKFJINKE_02937","HFHLPAEB_01251","JOCLDNKJ_03049","MIPDHJCF_01192","DLDIJGFH_01605","ACOJFAEA_02305","JAFODMFN_02024","PJHKJHDN_01754","ABOIEABI_00025","FFKIDJGC_02569"
"group_4804","","hypothetical protein",581,581,1,1,1723,NA,NA,"",221,221,221,"FNDKDPDO_00055","BIBHBEME_00354","ADMPKBAP_01715","GMDHGEDP_01515","HFBCCMPJ_02848","JKFJINKE_00113","HFHLPAEB_01481","JOCLDNKJ_00163","MIPDHJCF_01421","DLDIJGFH_01375","ACOJFAEA_02075","JAFODMFN_02254","PJHKJHDN_01525","ABOIEABI_00254","FFKIDJGC_00454"
"group_4805","","hypothetical protein",581,581,1,1,2728,NA,NA,"",482,482,482,"FNDKDPDO_04070","BIBHBEME_02819","ADMPKBAP_00490","GMDHGEDP_00143","HFBCCMPJ_00886","JKFJINKE_01973","HFHLPAEB_01000","JOCLDNKJ_03882","MIPDHJCF_00632","DLDIJGFH_02853","ACOJFAEA_00179","JAFODMFN_00180","PJHKJHDN_01236","ABOIEABI_02596","FFKIDJGC_02845"
"sucA","","2-oxoglutarate dehydrogenase E1 component",581,581,1,1,280,NA,NA,"",2801,2801,2801,"FNDKDPDO_03997","BIBHBEME_04205","ADMPKBAP_04302","GMDHGEDP_04056","HFBCCMPJ_03764","JKFJINKE_03720","HFHLPAEB_03132","JOCLDNKJ_01782","MIPDHJCF_02945","DLDIJGFH_04352","ACOJFAEA_03987","JAFODMFN_03446","PJHKJHDN_03578","ABOIEABI_04398","FFKIDJGC_03579"
"purU","","Formyltetrahydrofolate deformylase",581,581,1,1,4840,NA,NA,"",842,842,842,"FNDKDPDO_01229","BIBHBEME_01678","ADMPKBAP_01228","GMDHGEDP_02249","HFBCCMPJ_00375","JKFJINKE_02195","HFHLPAEB_00117","JOCLDNKJ_02425","MIPDHJCF_00116","DLDIJGFH_01149","ACOJFAEA_01672","JAFODMFN_01715","PJHKJHDN_00630","ABOIEABI_02301","FFKIDJGC_03001"
"yheH","","putative multidrug resistance ABC transporter ATP-binding/permease protein YheH",581,581,1,1,4358,NA,NA,"",1721,1721,1721,"FNDKDPDO_02687","BIBHBEME_02038","ADMPKBAP_02162","GMDHGEDP_01888","HFBCCMPJ_01407","JKFJINKE_02315","HFHLPAEB_00488","JOCLDNKJ_03460","MIPDHJCF_03969","DLDIJGFH_00778","ACOJFAEA_00779","JAFODMFN_01003","PJHKJHDN_03953","ABOIEABI_00700","FFKIDJGC_02093"
