"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","NDSU8","SRR13643357","SRR5905013","SRR5350414","SRR3000883","SRR16297813","SRR14766377","SRR14766364","SRR1556977","SRR28412144","NDSU12","SRR13641927","SRR19397116","SRR14766330","SRR14766433"
"group_5607","","hypothetical protein",581,581,1,1,4042,NA,NA,"",230,230,230,"CDDPGOFG_00131","MCHABJHI_02839","PNLCLONJ_00406","ILNMAOIA_01080","PHBHKDKN_01760","GDLLMNMD_01930","JHIODDIP_02173","KBJJGPAO_03157","KLKGDDID_02820","GLCMENJN_02414","KMJDPIGG_03019","KCFKLOLI_02503","KKIADDGI_02902","POPOBFCK_01968","JOCLDNKJ_00421"
"group_5608","","hypothetical protein",581,581,1,1,2971,NA,NA,"",560,560,560,"CDDPGOFG_03006","MCHABJHI_01162","PNLCLONJ_03416","ILNMAOIA_01462","PHBHKDKN_02077","GDLLMNMD_02150","JHIODDIP_00251","KBJJGPAO_00495","KLKGDDID_00994","GLCMENJN_01168","KMJDPIGG_01260","KCFKLOLI_00419","KKIADDGI_01709","POPOBFCK_03316","JOCLDNKJ_00832"
"ybiS","","putative L,D-transpeptidase YbiS",581,581,1,1,4267,NA,NA,"",920,920,920,"CDDPGOFG_02622","MCHABJHI_01830","PNLCLONJ_03624","ILNMAOIA_04183","PHBHKDKN_04366","GDLLMNMD_00070","JHIODDIP_03702","KBJJGPAO_03498","KLKGDDID_02339","GLCMENJN_01425","KMJDPIGG_04448","KCFKLOLI_00739","KKIADDGI_01221","POPOBFCK_00070","JOCLDNKJ_03662"
"aroB","","3-dehydroquinate synthase",581,581,1,1,1646,NA,NA,"",1088,1088,1088,"CDDPGOFG_03570","MCHABJHI_02669","PNLCLONJ_00276","ILNMAOIA_00087","PHBHKDKN_01590","GDLLMNMD_01376","JHIODDIP_00954","KBJJGPAO_01124","KLKGDDID_02183","GLCMENJN_04319","KMJDPIGG_02561","KCFKLOLI_02333","KKIADDGI_02732","POPOBFCK_03462","JOCLDNKJ_00236"
"ybiI_1","","putative protein YbiI",581,581,1,1,3084,NA,NA,"",227,227,227,"CDDPGOFG_03253","MCHABJHI_01346","PNLCLONJ_01425","ILNMAOIA_01278","PHBHKDKN_02261","GDLLMNMD_02334","JHIODDIP_00067","KBJJGPAO_00679","KLKGDDID_00809","GLCMENJN_01353","KMJDPIGG_01444","KCFKLOLI_00603","KKIADDGI_01893","POPOBFCK_03134","JOCLDNKJ_01016"
"yqaA","","Inner membrane protein YqaA",581,581,1,1,3151,NA,NA,"",425,425,425,"CDDPGOFG_02901","MCHABJHI_01284","PNLCLONJ_01487","ILNMAOIA_01340","PHBHKDKN_02199","GDLLMNMD_02272","JHIODDIP_00129","KBJJGPAO_00617","KLKGDDID_00872","GLCMENJN_01290","KMJDPIGG_01382","KCFKLOLI_00541","KKIADDGI_01831","POPOBFCK_03196","JOCLDNKJ_00954"
"bioH","","Pimeloyl-[acyl-carrier protein] methyl ester esterase",581,581,1,1,1672,NA,NA,"",770,770,770,"CDDPGOFG_03547","MCHABJHI_02646","PNLCLONJ_00253","ILNMAOIA_00110","PHBHKDKN_01567","GDLLMNMD_01399","JHIODDIP_00977","KBJJGPAO_01101","KLKGDDID_02160","GLCMENJN_02946","KMJDPIGG_02584","KCFKLOLI_02310","KKIADDGI_02709","POPOBFCK_03439","JOCLDNKJ_00213"
"zapB","","Cell division protein ZapB",581,581,1,1,2195,NA,NA,"",239,239,239,"CDDPGOFG_02236","MCHABJHI_04134","PNLCLONJ_01790","ILNMAOIA_03508","PHBHKDKN_03768","GDLLMNMD_04129","JHIODDIP_02635","KBJJGPAO_01917","KLKGDDID_04062","GLCMENJN_04046","KMJDPIGG_04178","KCFKLOLI_04074","KKIADDGI_04162","POPOBFCK_03816","JOCLDNKJ_02154"
"mdtH","","Multidrug resistance protein MdtH",581,581,1,1,5493,NA,NA,"",1208,1208,1208,"CDDPGOFG_01109","MCHABJHI_00712","PNLCLONJ_01114","ILNMAOIA_03853","PHBHKDKN_04046","GDLLMNMD_03089","JHIODDIP_03228","KBJJGPAO_02868","KLKGDDID_00037","GLCMENJN_00040","KMJDPIGG_00711","KCFKLOLI_02792","KKIADDGI_00036","POPOBFCK_02733","JOCLDNKJ_02635"
"galE","","UDP-glucose 4-epimerase",581,581,1,1,4203,NA,NA,"",1016,1016,1016,"CDDPGOFG_02683","MCHABJHI_01891","PNLCLONJ_03563","ILNMAOIA_04244","PHBHKDKN_04427","GDLLMNMD_00009","JHIODDIP_03641","KBJJGPAO_03437","KLKGDDID_02278","GLCMENJN_01364","KMJDPIGG_04386","KCFKLOLI_00678","KKIADDGI_01282","POPOBFCK_00009","JOCLDNKJ_03723"
"modF","","ABC transporter ATP-binding protein ModF",581,581,1,1,4205,NA,NA,"",1475,1475,1475,"CDDPGOFG_02681","MCHABJHI_01889","PNLCLONJ_03565","ILNMAOIA_04242","PHBHKDKN_04425","GDLLMNMD_00011","JHIODDIP_03643","KBJJGPAO_03439","KLKGDDID_02280","GLCMENJN_01366","KMJDPIGG_04388","KCFKLOLI_00680","KKIADDGI_01280","POPOBFCK_00011","JOCLDNKJ_03721"
"group_5618","","hypothetical protein",581,581,1,1,5921,NA,NA,"",389,389,389,"CDDPGOFG_01563","MCHABJHI_03662","PNLCLONJ_02842","ILNMAOIA_02936","PHBHKDKN_03026","GDLLMNMD_03652","JHIODDIP_01759","KBJJGPAO_00953","KLKGDDID_03320","GLCMENJN_03335","KMJDPIGG_03433","KCFKLOLI_03137","KKIADDGI_03165","POPOBFCK_03027","JOCLDNKJ_01531"
"amyA","","Cytoplasmic alpha-amylase",581,581,1,1,4632,NA,NA,"",1484,1484,1484,"CDDPGOFG_01981","MCHABJHI_01499","PNLCLONJ_03340","ILNMAOIA_00620","PHBHKDKN_00531","GDLLMNMD_00400","JHIODDIP_04081","KBJJGPAO_01728","KLKGDDID_04512","GLCMENJN_01754","KMJDPIGG_03985","KCFKLOLI_01069","KKIADDGI_00892","POPOBFCK_00399","JOCLDNKJ_02894"
"cysE_2","","Serine acetyltransferase",581,581,1,1,5783,NA,NA,"",488,488,488,"CDDPGOFG_01478","MCHABJHI_03577","PNLCLONJ_04440","ILNMAOIA_02851","PHBHKDKN_03111","GDLLMNMD_03567","JHIODDIP_01844","KBJJGPAO_00868","KLKGDDID_03405","GLCMENJN_03420","KMJDPIGG_03348","KCFKLOLI_03222","KKIADDGI_03250","POPOBFCK_02942","JOCLDNKJ_01616"
"surE","","5'/3'-nucleotidase SurE",581,581,1,1,2988,NA,NA,"",761,761,761,"CDDPGOFG_03021","MCHABJHI_01177","PNLCLONJ_03431","ILNMAOIA_01447","PHBHKDKN_02092","GDLLMNMD_02165","JHIODDIP_00236","KBJJGPAO_00510","KLKGDDID_00979","GLCMENJN_01183","KMJDPIGG_01275","KCFKLOLI_00434","KKIADDGI_01724","POPOBFCK_03301","JOCLDNKJ_00847"
"plsC","","1-acyl-sn-glycerol-3-phosphate acyltransferase",581,581,1,1,2724,NA,NA,"",737,737,737,"CDDPGOFG_02433","MCHABJHI_00920","PNLCLONJ_02001","ILNMAOIA_01975","PHBHKDKN_02809","GDLLMNMD_02883","JHIODDIP_00497","KBJJGPAO_03823","KLKGDDID_01236","GLCMENJN_00926","KMJDPIGG_01018","KCFKLOLI_00177","KKIADDGI_01466","POPOBFCK_01512","JOCLDNKJ_03879"
"nei","","Endonuclease 8",581,581,1,1,287,NA,NA,"",791,791,791,"CDDPGOFG_01152","MCHABJHI_04050","PNLCLONJ_04064","ILNMAOIA_04486","PHBHKDKN_04473","GDLLMNMD_03924","JHIODDIP_02719","KBJJGPAO_02660","KLKGDDID_03927","GLCMENJN_03797","KMJDPIGG_02039","KCFKLOLI_03875","KKIADDGI_04028","POPOBFCK_04365","JOCLDNKJ_01775"
"group_5624","","ISNCY family transposase ISRor2",581,581,1,1,1478,NA,NA,"",941,941,941,"CDDPGOFG_03151","MCHABJHI_02383","PNLCLONJ_03992","ILNMAOIA_00374","PHBHKDKN_01304","GDLLMNMD_01662","JHIODDIP_03342","KBJJGPAO_03019","KLKGDDID_01897","GLCMENJN_02682","KMJDPIGG_02848","KCFKLOLI_02046","KKIADDGI_02444","POPOBFCK_03679","JOCLDNKJ_03065"
"sulA","","Cell division inhibitor SulA",581,581,1,1,4489,NA,NA,"",509,509,509,"CDDPGOFG_03408","MCHABJHI_01630","PNLCLONJ_02448","ILNMAOIA_00490","PHBHKDKN_00661","GDLLMNMD_00270","JHIODDIP_01358","KBJJGPAO_04190","KLKGDDID_02538","GLCMENJN_01624","KMJDPIGG_03671","KCFKLOLI_00938","KKIADDGI_01022","POPOBFCK_00269","JOCLDNKJ_03846"
"prlC","","Oligopeptidase A",581,581,1,1,1759,NA,NA,"",2042,2042,2042,"CDDPGOFG_02574","MCHABJHI_02561","PNLCLONJ_00168","ILNMAOIA_00195","PHBHKDKN_01482","GDLLMNMD_01484","JHIODDIP_01062","KBJJGPAO_01016","KLKGDDID_02075","GLCMENJN_02861","KMJDPIGG_02669","KCFKLOLI_02225","KKIADDGI_02624","POPOBFCK_03354","JOCLDNKJ_00128"
"dgoK1","","putative 2-dehydro-3-deoxygalactonokinase DgoK1",581,581,1,1,1418,NA,NA,"",878,878,878,"CDDPGOFG_03620","MCHABJHI_04373","PNLCLONJ_03499","ILNMAOIA_04080","PHBHKDKN_04218","GDLLMNMD_04368","JHIODDIP_03577","KBJJGPAO_03352","KLKGDDID_04251","GLCMENJN_04235","KMJDPIGG_04367","KCFKLOLI_04375","KKIADDGI_04306","POPOBFCK_04342","JOCLDNKJ_03650"
"ygiN","","putative quinol monooxygenase YgiN",581,581,1,1,2717,NA,NA,"",314,314,314,"CDDPGOFG_02426","MCHABJHI_00913","PNLCLONJ_01994","ILNMAOIA_01982","PHBHKDKN_02816","GDLLMNMD_02890","JHIODDIP_00504","KBJJGPAO_03816","KLKGDDID_01243","GLCMENJN_00919","KMJDPIGG_01011","KCFKLOLI_00170","KKIADDGI_01459","POPOBFCK_01505","JOCLDNKJ_03872"
"fldA","","Flavodoxin 1",581,581,1,1,309,NA,NA,"",530,530,530,"CDDPGOFG_01173","MCHABJHI_04029","PNLCLONJ_01974","ILNMAOIA_03563","PHBHKDKN_04002","GDLLMNMD_03945","JHIODDIP_02740","KBJJGPAO_02639","KLKGDDID_03906","GLCMENJN_03818","KMJDPIGG_02018","KCFKLOLI_03896","KKIADDGI_04007","POPOBFCK_03871","JOCLDNKJ_01754"
"group_5630","","hypothetical protein",581,581,1,1,6118,NA,NA,"",248,248,248,"CDDPGOFG_04264","MCHABJHI_02080","PNLCLONJ_04592","ILNMAOIA_01591","PHBHKDKN_00264","GDLLMNMD_00667","JHIODDIP_01712","KBJJGPAO_03696","KLKGDDID_01675","GLCMENJN_02021","KMJDPIGG_02258","KCFKLOLI_01336","KKIADDGI_02223","POPOBFCK_00667","JOCLDNKJ_04502"
"group_5631","","hypothetical protein",581,581,1,1,2631,NA,NA,"",635,635,635,"CDDPGOFG_02803","MCHABJHI_00830","PNLCLONJ_01608","ILNMAOIA_02065","PHBHKDKN_02899","GDLLMNMD_02973","JHIODDIP_02916","KBJJGPAO_01626","KLKGDDID_01326","GLCMENJN_00835","KMJDPIGG_00928","KCFKLOLI_00086","KKIADDGI_01376","POPOBFCK_01422","JOCLDNKJ_02023"
"pxpA","","5-oxoprolinase subunit A",581,581,1,1,288,NA,NA,"",734,734,734,"CDDPGOFG_01153","MCHABJHI_04049","PNLCLONJ_04063","ILNMAOIA_04485","PHBHKDKN_04474","GDLLMNMD_03925","JHIODDIP_02720","KBJJGPAO_02659","KLKGDDID_03926","GLCMENJN_03798","KMJDPIGG_02038","KCFKLOLI_03876","KKIADDGI_04027","POPOBFCK_04364","JOCLDNKJ_01774"
"qseB","","Transcriptional regulatory protein QseB",581,581,1,1,2720,NA,NA,"",659,659,659,"CDDPGOFG_02429","MCHABJHI_00916","PNLCLONJ_01997","ILNMAOIA_01979","PHBHKDKN_02813","GDLLMNMD_02887","JHIODDIP_00501","KBJJGPAO_03819","KLKGDDID_01240","GLCMENJN_00922","KMJDPIGG_01014","KCFKLOLI_00173","KKIADDGI_01462","POPOBFCK_01508","JOCLDNKJ_03875"
"nadE","","NH(3)-dependent NAD(+) synthetase",581,581,1,1,5336,NA,NA,"",827,827,827,"CDDPGOFG_00957","MCHABJHI_00560","PNLCLONJ_00962","ILNMAOIA_02500","PHBHKDKN_03569","GDLLMNMD_03241","JHIODDIP_02364","KBJJGPAO_01505","KLKGDDID_00189","GLCMENJN_00192","KMJDPIGG_00559","KCFKLOLI_02943","KKIADDGI_00188","POPOBFCK_02581","JOCLDNKJ_01338"
"yidH","","Inner membrane protein YidH",581,581,1,1,1443,NA,NA,"",347,347,347,"CDDPGOFG_03116","MCHABJHI_02348","PNLCLONJ_03957","ILNMAOIA_00409","PHBHKDKN_01269","GDLLMNMD_01697","JHIODDIP_03307","KBJJGPAO_02984","KLKGDDID_01862","GLCMENJN_02647","KMJDPIGG_02883","KCFKLOLI_02011","KKIADDGI_02409","POPOBFCK_03714","JOCLDNKJ_03030"
"moeB","","Molybdopterin-synthase adenylyltransferase",581,581,1,1,4276,NA,NA,"",749,749,749,"CDDPGOFG_02613","MCHABJHI_01821","PNLCLONJ_02130","ILNMAOIA_03702","PHBHKDKN_00851","GDLLMNMD_00079","JHIODDIP_01168","KBJJGPAO_00443","KLKGDDID_02348","GLCMENJN_01434","KMJDPIGG_03481","KCFKLOLI_00748","KKIADDGI_01212","POPOBFCK_00079","JOCLDNKJ_04554"
"yfhM","","Alpha-2-macroglobulin",581,581,1,1,4127,NA,NA,"",4661,4661,4661,"CDDPGOFG_00073","MCHABJHI_02781","PNLCLONJ_03062","ILNMAOIA_01139","PHBHKDKN_01702","GDLLMNMD_01988","JHIODDIP_04242","KBJJGPAO_02906","KLKGDDID_02879","GLCMENJN_02356","KMJDPIGG_02961","KCFKLOLI_02445","KKIADDGI_02844","POPOBFCK_02027","JOCLDNKJ_00480"
"glaH_2","","Glutarate 2-hydroxylase",581,581,1,1,3116,NA,NA,"",389,389,389,"CDDPGOFG_02869","MCHABJHI_01316","PNLCLONJ_01455","ILNMAOIA_01308","PHBHKDKN_02231","GDLLMNMD_02304","JHIODDIP_00097","KBJJGPAO_00649","KLKGDDID_00840","GLCMENJN_01322","KMJDPIGG_01414","KCFKLOLI_00573","KKIADDGI_01863","POPOBFCK_03164","JOCLDNKJ_00986"
"rhaB","","Rhamnulokinase",581,581,1,1,2266,NA,NA,"",1469,1469,1469,"CDDPGOFG_02276","MCHABJHI_04174","PNLCLONJ_01750","ILNMAOIA_03468","PHBHKDKN_03808","GDLLMNMD_04169","JHIODDIP_02594","KBJJGPAO_01957","KLKGDDID_04021","GLCMENJN_04006","KMJDPIGG_04138","KCFKLOLI_04114","KKIADDGI_04122","POPOBFCK_03776","JOCLDNKJ_02194"
"abaF","","Fosfomycin resistance protein AbaF",581,581,1,1,2378,NA,NA,"",803,803,803,"CDDPGOFG_01817","MCHABJHI_03740","PNLCLONJ_03835","ILNMAOIA_04290","PHBHKDKN_03335","GDLLMNMD_03849","JHIODDIP_03858","KBJJGPAO_03904","KLKGDDID_03737","GLCMENJN_03722","KMJDPIGG_03741","KCFKLOLI_03680","KKIADDGI_03835","POPOBFCK_04162","JOCLDNKJ_03994"
"ttdA_2","","L(+)-tartrate dehydratase subunit alpha",581,581,1,1,1943,NA,NA,"",899,899,899,"CDDPGOFG_03920","MCHABJHI_04473","PNLCLONJ_04216","ILNMAOIA_04403","PHBHKDKN_04487","GDLLMNMD_04533","JHIODDIP_04113","KBJJGPAO_04124","KLKGDDID_04473","GLCMENJN_04400","KMJDPIGG_04451","KCFKLOLI_04531","KKIADDGI_04446","POPOBFCK_04516","JOCLDNKJ_04136"
"dapD","","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",581,581,1,1,2376,NA,NA,"",824,824,824,"CDDPGOFG_01815","MCHABJHI_03738","PNLCLONJ_03837","ILNMAOIA_04288","PHBHKDKN_03333","GDLLMNMD_03851","JHIODDIP_03860","KBJJGPAO_03902","KLKGDDID_03739","GLCMENJN_03724","KMJDPIGG_03739","KCFKLOLI_03678","KKIADDGI_03837","POPOBFCK_04164","JOCLDNKJ_03996"
"group_5643","","hypothetical protein",581,581,1,1,4238,NA,NA,"",170,170,170,"CDDPGOFG_02650","MCHABJHI_01858","PNLCLONJ_03596","ILNMAOIA_04211","PHBHKDKN_04394","GDLLMNMD_00042","JHIODDIP_03674","KBJJGPAO_03470","KLKGDDID_02311","GLCMENJN_01397","KMJDPIGG_04419","KCFKLOLI_00711","KKIADDGI_01249","POPOBFCK_00042","JOCLDNKJ_03690"
"slyX","","Protein SlyX",581,581,1,1,1614,NA,NA,"",218,218,218,"CDDPGOFG_03601","MCHABJHI_02700","PNLCLONJ_00307","ILNMAOIA_00056","PHBHKDKN_01621","GDLLMNMD_01345","JHIODDIP_00923","KBJJGPAO_01155","KLKGDDID_02214","GLCMENJN_04350","KMJDPIGG_02530","KCFKLOLI_02364","KKIADDGI_02763","POPOBFCK_03493","JOCLDNKJ_00267"
"ywrO","","General stress protein 14",581,581,1,1,1618,NA,NA,"",551,551,551,"CDDPGOFG_03597","MCHABJHI_02696","PNLCLONJ_00303","ILNMAOIA_00060","PHBHKDKN_01617","GDLLMNMD_01349","JHIODDIP_00927","KBJJGPAO_01151","KLKGDDID_02210","GLCMENJN_04346","KMJDPIGG_02534","KCFKLOLI_02360","KKIADDGI_02759","POPOBFCK_03489","JOCLDNKJ_00263"
"torC","","Cytochrome c-type protein TorC",581,581,1,1,1425,NA,NA,"",1184,1184,1184,"CDDPGOFG_03613","MCHABJHI_04380","PNLCLONJ_03492","ILNMAOIA_04087","PHBHKDKN_04211","GDLLMNMD_04375","JHIODDIP_03570","KBJJGPAO_03359","KLKGDDID_04258","GLCMENJN_04242","KMJDPIGG_04374","KCFKLOLI_04368","KKIADDGI_04299","POPOBFCK_04349","JOCLDNKJ_03657"
"yceO","","putative protein YceO",581,581,1,1,5500,NA,NA,"",113,113,113,"CDDPGOFG_04407","MCHABJHI_00719","PNLCLONJ_01121","ILNMAOIA_03846","PHBHKDKN_04039","GDLLMNMD_03082","JHIODDIP_03221","KBJJGPAO_02875","KLKGDDID_00030","GLCMENJN_00033","KMJDPIGG_00718","KCFKLOLI_02785","KKIADDGI_00029","POPOBFCK_02740","JOCLDNKJ_02642"
"group_5648","","hypothetical protein",581,581,1,1,5882,NA,NA,"",467,467,467,"CDDPGOFG_01524","MCHABJHI_03623","PNLCLONJ_02803","ILNMAOIA_02897","PHBHKDKN_03065","GDLLMNMD_03613","JHIODDIP_01798","KBJJGPAO_00914","KLKGDDID_03359","GLCMENJN_03374","KMJDPIGG_03394","KCFKLOLI_03176","KKIADDGI_03204","POPOBFCK_02988","JOCLDNKJ_01570"
"yhbE","","putative inner membrane transporter YhbE",581,581,1,1,2595,NA,NA,"",890,890,890,"CDDPGOFG_03825","MCHABJHI_00795","PNLCLONJ_01643","ILNMAOIA_02100","PHBHKDKN_02934","GDLLMNMD_03008","JHIODDIP_02881","KBJJGPAO_01591","KLKGDDID_01362","GLCMENJN_00800","KMJDPIGG_00893","KCFKLOLI_00051","KKIADDGI_01341","POPOBFCK_01387","JOCLDNKJ_02058"
"dmlR_7","","HTH-type transcriptional regulator DmlR",581,581,1,1,1955,NA,NA,"",929,929,929,"CDDPGOFG_03932","MCHABJHI_04485","PNLCLONJ_04228","ILNMAOIA_04391","PHBHKDKN_04499","GDLLMNMD_04521","JHIODDIP_04125","KBJJGPAO_04136","KLKGDDID_04461","GLCMENJN_04388","KMJDPIGG_04463","KCFKLOLI_04519","KKIADDGI_04458","POPOBFCK_04528","JOCLDNKJ_04148"
"yedJ","","putative protein YedJ",581,581,1,1,4601,NA,NA,"",695,695,695,"CDDPGOFG_01952","MCHABJHI_01528","PNLCLONJ_03311","ILNMAOIA_00591","PHBHKDKN_00560","GDLLMNMD_00371","JHIODDIP_04110","KBJJGPAO_01699","KLKGDDID_04483","GLCMENJN_01725","KMJDPIGG_04014","KCFKLOLI_01040","KKIADDGI_00921","POPOBFCK_00370","JOCLDNKJ_02923"
"pmbA","","Metalloprotease PmbA",581,581,1,1,6069,NA,NA,"",1352,1352,1352,"CDDPGOFG_02329","MCHABJHI_02130","PNLCLONJ_02548","ILNMAOIA_01641","PHBHKDKN_00214","GDLLMNMD_00717","JHIODDIP_01660","KBJJGPAO_02708","KLKGDDID_01625","GLCMENJN_02071","KMJDPIGG_02308","KCFKLOLI_01386","KKIADDGI_02173","POPOBFCK_00717","JOCLDNKJ_02699"
"levE","","PTS system fructose-specific EIIB component",581,581,1,1,1473,NA,NA,"",485,485,485,"CDDPGOFG_03146","MCHABJHI_02378","PNLCLONJ_03987","ILNMAOIA_00379","PHBHKDKN_01299","GDLLMNMD_01667","JHIODDIP_03337","KBJJGPAO_03014","KLKGDDID_01892","GLCMENJN_02677","KMJDPIGG_02853","KCFKLOLI_02041","KKIADDGI_02439","POPOBFCK_03684","JOCLDNKJ_03060"
"eutM","","Ethanolamine utilization protein EutM",581,581,1,1,4033,NA,NA,"",290,290,290,"CDDPGOFG_00140","MCHABJHI_02848","PNLCLONJ_00415","ILNMAOIA_01071","PHBHKDKN_01769","GDLLMNMD_01921","JHIODDIP_02164","KBJJGPAO_03148","KLKGDDID_02811","GLCMENJN_02423","KMJDPIGG_03028","KCFKLOLI_02512","KKIADDGI_02911","POPOBFCK_01959","JOCLDNKJ_00412"
"group_5655","","hypothetical protein",581,581,1,1,4168,NA,NA,"",1067,1067,1067,"CDDPGOFG_00111","MCHABJHI_02819","PNLCLONJ_00386","ILNMAOIA_01100","PHBHKDKN_01740","GDLLMNMD_01950","JHIODDIP_02193","KBJJGPAO_00467","KLKGDDID_02840","GLCMENJN_02394","KMJDPIGG_02999","KCFKLOLI_02483","KKIADDGI_02882","POPOBFCK_01988","JOCLDNKJ_00441"
"ydjF_2","","putative HTH-type transcriptional regulator YdjF",581,581,1,1,5357,NA,NA,"",758,758,758,"CDDPGOFG_00977","MCHABJHI_00580","PNLCLONJ_00982","ILNMAOIA_02480","PHBHKDKN_03549","GDLLMNMD_03221","JHIODDIP_02384","KBJJGPAO_01525","KLKGDDID_00169","GLCMENJN_00172","KMJDPIGG_00579","KCFKLOLI_02923","KKIADDGI_00168","POPOBFCK_02601","JOCLDNKJ_01318"
"mhbM","","3-hydroxybenzoate 6-hydroxylase",581,581,1,1,5899,NA,NA,"",1193,1193,1193,"CDDPGOFG_01541","MCHABJHI_03640","PNLCLONJ_02820","ILNMAOIA_02914","PHBHKDKN_03048","GDLLMNMD_03630","JHIODDIP_01781","KBJJGPAO_00931","KLKGDDID_03342","GLCMENJN_03357","KMJDPIGG_03411","KCFKLOLI_03159","KKIADDGI_03187","POPOBFCK_03005","JOCLDNKJ_01553"
"yihS","","Sulfoquinovose isomerase",581,581,1,1,2235,NA,NA,"",1241,1241,1241,"CDDPGOFG_04007","MCHABJHI_04203","PNLCLONJ_01721","ILNMAOIA_03439","PHBHKDKN_03837","GDLLMNMD_04198","JHIODDIP_02565","KBJJGPAO_01986","KLKGDDID_03992","GLCMENJN_03977","KMJDPIGG_04109","KCFKLOLI_04144","KKIADDGI_04093","POPOBFCK_03747","JOCLDNKJ_02223"
"fixX_2","","Ferredoxin-like protein FixX",581,581,1,1,2519,NA,NA,"",287,287,287,"CDDPGOFG_03754","MCHABJHI_03876","PNLCLONJ_03795","ILNMAOIA_03093","PHBHKDKN_03471","GDLLMNMD_03714","JHIODDIP_02516","KBJJGPAO_03660","KLKGDDID_03601","GLCMENJN_03587","KMJDPIGG_03877","KCFKLOLI_03816","KKIADDGI_03697","POPOBFCK_04026","JOCLDNKJ_01834"
"yebV","","putative protein YebV",581,581,1,1,4744,NA,NA,"",239,239,239,"CDDPGOFG_01758","MCHABJHI_00022","PNLCLONJ_02696","ILNMAOIA_00786","PHBHKDKN_01242","GDLLMNMD_00953","JHIODDIP_04276","KBJJGPAO_02314","KLKGDDID_00720","GLCMENJN_00728","KMJDPIGG_00022","KCFKLOLI_01621","KKIADDGI_00725","POPOBFCK_00952","JOCLDNKJ_02518"
"COQ3","","Ubiquinone biosynthesis O-methyltransferase, mitochondrial",581,581,1,1,6145,NA,NA,"",1625,1625,1625,"CDDPGOFG_04510","MCHABJHI_02057","PNLCLONJ_04337","ILNMAOIA_02810","PHBHKDKN_00287","GDLLMNMD_00644","JHIODDIP_03188","KBJJGPAO_03719","KLKGDDID_01698","GLCMENJN_01998","KMJDPIGG_02235","KCFKLOLI_01313","KKIADDGI_02246","POPOBFCK_00644","JOCLDNKJ_02264"
"ail_4","","Attachment invasion locus protein",581,581,1,1,3643,NA,NA,"",497,497,497,"CDDPGOFG_04201","MCHABJHI_04527","PNLCLONJ_04172","ILNMAOIA_00750","PHBHKDKN_04568","GDLLMNMD_04479","JHIODDIP_04478","KBJJGPAO_01858","KLKGDDID_04419","GLCMENJN_04441","KMJDPIGG_04505","KCFKLOLI_04572","KKIADDGI_00761","POPOBFCK_04472","JOCLDNKJ_04220"
"rstB","","Sensor protein RstB",581,581,1,1,5164,NA,NA,"",1301,1301,1301,"CDDPGOFG_00574","MCHABJHI_00398","PNLCLONJ_04675","ILNMAOIA_03276","PHBHKDKN_00867","GDLLMNMD_01328","JHIODDIP_04605","KBJJGPAO_00259","KLKGDDID_00350","GLCMENJN_00353","KMJDPIGG_00398","KCFKLOLI_01997","KKIADDGI_00349","POPOBFCK_01328","JOCLDNKJ_00805"
"osmY_1","","Osmotically-inducible protein Y",581,581,1,1,2632,NA,NA,"",575,575,575,"CDDPGOFG_02804","MCHABJHI_00831","PNLCLONJ_01607","ILNMAOIA_02064","PHBHKDKN_02898","GDLLMNMD_02972","JHIODDIP_02917","KBJJGPAO_01627","KLKGDDID_01325","GLCMENJN_00836","KMJDPIGG_00929","KCFKLOLI_00087","KKIADDGI_01377","POPOBFCK_01423","JOCLDNKJ_02022"
"tdh","","L-threonine 3-dehydrogenase",581,581,1,1,1884,NA,NA,"",1025,1025,1025,"CDDPGOFG_03062","MCHABJHI_02445","PNLCLONJ_00052","ILNMAOIA_00312","PHBHKDKN_01366","GDLLMNMD_01600","JHIODDIP_04389","KBJJGPAO_04215","KLKGDDID_01959","GLCMENJN_02744","KMJDPIGG_02786","KCFKLOLI_02108","KKIADDGI_02506","POPOBFCK_03617","JOCLDNKJ_00010"
"mdh_1","","NAD-dependent methanol dehydrogenase",581,581,1,1,4029,NA,NA,"",1187,1187,1187,"CDDPGOFG_00144","MCHABJHI_02852","PNLCLONJ_00419","ILNMAOIA_01067","PHBHKDKN_01773","GDLLMNMD_01917","JHIODDIP_02160","KBJJGPAO_03144","KLKGDDID_02807","GLCMENJN_02427","KMJDPIGG_03032","KCFKLOLI_02516","KKIADDGI_02915","POPOBFCK_01955","JOCLDNKJ_00408"
"topA_1","","DNA topoisomerase 1",581,581,1,1,4884,NA,NA,"",2597,2597,2597,"CDDPGOFG_01624","MCHABJHI_00157","PNLCLONJ_03287","ILNMAOIA_03183","PHBHKDKN_01108","GDLLMNMD_01088","JHIODDIP_03752","KBJJGPAO_00018","KLKGDDID_00586","GLCMENJN_00594","KMJDPIGG_00157","KCFKLOLI_01756","KKIADDGI_00591","POPOBFCK_01087","JOCLDNKJ_00565"
