"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR14766369","SRR25097973","SRR27714941","SRR14766372","SRR14766387","SRR15146546","SRR14766349","SRR8297625","SRR14095467","SRR14766450","SRR23043674","SRR1515953","SRR9016861","SRR5905515","NDSU26"
"gatC_2","","PTS system galactitol-specific EIIC component",581,581,1,1,2640,NA,NA,"",284,1373,1370,"MDPCJDML_03385","NGHFEAKD_03449","JBHNMEAO_00094","OFPOAPDN_01323","AFLICIDC_03082","NAPOKNNJ_01254","FMNDBGIB_02460","MJBBHCGK_01613","EIKGHHBD_00839","MKNLEGFG_00872","HLOGJBDP_01326","JICBPFCI_00312","DPFOFGOO_01771","AAOLMGCP_00094","CLIIGENJ_00093"
"group_4990","","hypothetical protein",581,581,1,1,5508,NA,NA,"",374,374,374,"MDPCJDML_03696","NGHFEAKD_01893","JBHNMEAO_01032","OFPOAPDN_00724","AFLICIDC_03415","NAPOKNNJ_00020","FMNDBGIB_01964","MJBBHCGK_01500","EIKGHHBD_00023","MKNLEGFG_01759","HLOGJBDP_00725","JICBPFCI_02993","DPFOFGOO_01659","AAOLMGCP_03236","CLIIGENJ_02819"
"group_4991","","hypothetical protein",581,581,1,1,5260,NA,NA,"",737,737,737,"MDPCJDML_00048","NGHFEAKD_01659","JBHNMEAO_01266","OFPOAPDN_00490","AFLICIDC_01309","NAPOKNNJ_00254","FMNDBGIB_01303","MJBBHCGK_01266","EIKGHHBD_00257","MKNLEGFG_03445","HLOGJBDP_00491","JICBPFCI_01916","DPFOFGOO_01426","AAOLMGCP_04221","CLIIGENJ_03053"
"astD","","N-succinylglutamate 5-semialdehyde dehydrogenase",581,581,1,1,5342,NA,NA,"",1478,1478,1478,"MDPCJDML_03537","NGHFEAKD_01734","JBHNMEAO_01191","OFPOAPDN_00565","AFLICIDC_01235","NAPOKNNJ_00179","FMNDBGIB_01229","MJBBHCGK_01341","EIKGHHBD_00182","MKNLEGFG_01600","HLOGJBDP_00566","JICBPFCI_01841","DPFOFGOO_01500","AAOLMGCP_03395","CLIIGENJ_02978"
"nfi","","Endonuclease V",581,581,1,1,1529,NA,NA,"",671,671,671,"MDPCJDML_04557","NGHFEAKD_04556","JBHNMEAO_04472","OFPOAPDN_04550","AFLICIDC_04553","NAPOKNNJ_04461","FMNDBGIB_03982","MJBBHCGK_04526","EIKGHHBD_04530","MKNLEGFG_04570","HLOGJBDP_04594","JICBPFCI_04382","DPFOFGOO_04596","AAOLMGCP_04713","CLIIGENJ_04675"
"group_4994","","hypothetical protein",581,581,1,1,4499,NA,NA,"",548,548,548,"MDPCJDML_00815","NGHFEAKD_02759","JBHNMEAO_02393","OFPOAPDN_01622","AFLICIDC_00803","NAPOKNNJ_01554","FMNDBGIB_00627","MJBBHCGK_00208","EIKGHHBD_02862","MKNLEGFG_02255","HLOGJBDP_01698","JICBPFCI_03327","DPFOFGOO_02181","AAOLMGCP_01732","CLIIGENJ_03630"
"group_4995","","hypothetical protein",581,581,1,1,6019,NA,NA,"",659,659,659,"MDPCJDML_02259","NGHFEAKD_02030","JBHNMEAO_01429","OFPOAPDN_02067","AFLICIDC_02457","NAPOKNNJ_02647","FMNDBGIB_02856","MJBBHCGK_02262","EIKGHHBD_01691","MKNLEGFG_03164","HLOGJBDP_02072","JICBPFCI_02641","DPFOFGOO_01288","AAOLMGCP_00946","CLIIGENJ_01392"
"group_4996","","hypothetical protein",581,581,1,1,2200,NA,NA,"",428,428,428,"MDPCJDML_03810","NGHFEAKD_03927","JBHNMEAO_03685","OFPOAPDN_04034","AFLICIDC_02610","NAPOKNNJ_03926","FMNDBGIB_03230","MJBBHCGK_03890","EIKGHHBD_03994","MKNLEGFG_03647","HLOGJBDP_04186","JICBPFCI_02361","DPFOFGOO_03030","AAOLMGCP_03895","CLIIGENJ_04124"
"araE","","Arabinose-proton symporter",581,581,1,1,2891,NA,NA,"",1418,1418,1418,"MDPCJDML_01138","NGHFEAKD_00140","JBHNMEAO_00336","OFPOAPDN_01081","AFLICIDC_01431","NAPOKNNJ_01012","FMNDBGIB_01131","MJBBHCGK_04111","EIKGHHBD_01081","MKNLEGFG_00740","HLOGJBDP_01084","JICBPFCI_00069","DPFOFGOO_03639","AAOLMGCP_00337","CLIIGENJ_00335"
"higA","","Antitoxin HigA",581,581,1,1,2244,NA,NA,"",446,446,446,"MDPCJDML_03755","NGHFEAKD_03872","JBHNMEAO_03630","OFPOAPDN_03979","AFLICIDC_02665","NAPOKNNJ_03871","FMNDBGIB_03393","MJBBHCGK_03835","EIKGHHBD_04049","MKNLEGFG_04100","HLOGJBDP_04241","JICBPFCI_02416","DPFOFGOO_03085","AAOLMGCP_03950","CLIIGENJ_04069"
"cydX","","Cytochrome bd-I ubiquinol oxidase subunit X",581,581,1,1,273,NA,NA,"",113,113,113,"MDPCJDML_04368","NGHFEAKD_03184","JBHNMEAO_04113","OFPOAPDN_04408","AFLICIDC_04148","NAPOKNNJ_03643","FMNDBGIB_04364","MJBBHCGK_03478","EIKGHHBD_03770","MKNLEGFG_04067","HLOGJBDP_04111","JICBPFCI_01788","DPFOFGOO_04281","AAOLMGCP_03820","CLIIGENJ_00690"
"yjjP","","Inner membrane protein YjjP",581,581,1,1,6201,NA,NA,"",944,944,944,"MDPCJDML_02430","NGHFEAKD_03602","JBHNMEAO_03057","OFPOAPDN_02237","AFLICIDC_01656","NAPOKNNJ_04301","FMNDBGIB_04286","MJBBHCGK_03163","EIKGHHBD_01521","MKNLEGFG_02628","HLOGJBDP_02242","JICBPFCI_02064","DPFOFGOO_01118","AAOLMGCP_00776","CLIIGENJ_01563"
"murJ","","putative lipid II flippase MurJ",581,581,1,1,5489,NA,NA,"",1574,1574,1574,"MDPCJDML_03679","NGHFEAKD_01876","JBHNMEAO_01049","OFPOAPDN_00707","AFLICIDC_03398","NAPOKNNJ_00037","FMNDBGIB_01981","MJBBHCGK_01483","EIKGHHBD_00040","MKNLEGFG_01742","HLOGJBDP_00708","JICBPFCI_03010","DPFOFGOO_01642","AAOLMGCP_03253","CLIIGENJ_02836"
"ynhG","","putative L,D-transpeptidase YnhG",581,581,1,1,5267,NA,NA,"",1001,1001,1001,"MDPCJDML_00042","NGHFEAKD_01665","JBHNMEAO_01260","OFPOAPDN_00496","AFLICIDC_01303","NAPOKNNJ_00248","FMNDBGIB_01297","MJBBHCGK_01272","EIKGHHBD_00251","MKNLEGFG_03451","HLOGJBDP_00497","JICBPFCI_01910","DPFOFGOO_01432","AAOLMGCP_04227","CLIIGENJ_03047"
"xapB","","Xanthosine permease",581,581,1,1,3989,NA,NA,"",1256,1256,1256,"MDPCJDML_02021","NGHFEAKD_02673","JBHNMEAO_02317","OFPOAPDN_02892","AFLICIDC_02889","NAPOKNNJ_03285","FMNDBGIB_00406","MJBBHCGK_02012","EIKGHHBD_02409","MKNLEGFG_02839","HLOGJBDP_02945","JICBPFCI_00867","DPFOFGOO_00184","AAOLMGCP_02124","CLIIGENJ_02626"
"tsgA","","Protein TsgA",581,581,1,1,1632,NA,NA,"",1181,1181,1181,"MDPCJDML_01811","NGHFEAKD_00905","JBHNMEAO_02821","OFPOAPDN_02682","AFLICIDC_00345","NAPOKNNJ_02172","FMNDBGIB_00027","MJBBHCGK_00827","EIKGHHBD_01885","MKNLEGFG_01530","HLOGJBDP_02422","JICBPFCI_00431","DPFOFGOO_04249","AAOLMGCP_01186","CLIIGENJ_02416"
"thyA","","Thymidylate synthase",581,581,1,1,2906,NA,NA,"",794,794,794,"MDPCJDML_01153","NGHFEAKD_00155","JBHNMEAO_00351","OFPOAPDN_01066","AFLICIDC_01446","NAPOKNNJ_00997","FMNDBGIB_01146","MJBBHCGK_04096","EIKGHHBD_01096","MKNLEGFG_00725","HLOGJBDP_01069","JICBPFCI_00054","DPFOFGOO_03654","AAOLMGCP_00352","CLIIGENJ_00350"
"truB","","tRNA pseudouridine synthase B",581,581,1,1,2615,NA,NA,"",944,944,944,"MDPCJDML_03361","NGHFEAKD_03425","JBHNMEAO_00070","OFPOAPDN_01347","AFLICIDC_03058","NAPOKNNJ_01278","FMNDBGIB_02436","MJBBHCGK_01589","EIKGHHBD_00815","MKNLEGFG_00848","HLOGJBDP_01350","JICBPFCI_00336","DPFOFGOO_01747","AAOLMGCP_00070","CLIIGENJ_00069"
"nagC","","N-acetylglucosamine repressor",581,581,1,1,322,NA,NA,"",1220,1220,1220,"MDPCJDML_03985","NGHFEAKD_03232","JBHNMEAO_03861","OFPOAPDN_04210","AFLICIDC_02723","NAPOKNNJ_03595","FMNDBGIB_01665","MJBBHCGK_03526","EIKGHHBD_03818","MKNLEGFG_02862","HLOGJBDP_04063","JICBPFCI_01740","DPFOFGOO_03359","AAOLMGCP_03772","CLIIGENJ_00738"
"fliA","","RNA polymerase sigma factor FliA",581,581,1,1,4640,NA,NA,"",719,719,719,"MDPCJDML_00941","NGHFEAKD_02885","JBHNMEAO_02519","OFPOAPDN_01496","AFLICIDC_03164","NAPOKNNJ_01428","FMNDBGIB_02199","MJBBHCGK_00081","EIKGHHBD_04166","MKNLEGFG_03515","HLOGJBDP_01824","JICBPFCI_04048","DPFOFGOO_02055","AAOLMGCP_01606","CLIIGENJ_03756"
"iscX","","Protein IscX",581,581,1,1,4118,NA,NA,"",200,200,200,"MDPCJDML_01902","NGHFEAKD_03773","JBHNMEAO_02198","OFPOAPDN_02773","AFLICIDC_01827","NAPOKNNJ_03405","FMNDBGIB_03016","MJBBHCGK_03977","EIKGHHBD_02290","MKNLEGFG_02100","HLOGJBDP_02826","JICBPFCI_03421","DPFOFGOO_00065","AAOLMGCP_02005","CLIIGENJ_02507"
"menI","","1,4-dihydroxy-2-naphthoyl-CoA hydrolase",581,581,1,1,5277,NA,NA,"",410,410,410,"MDPCJDML_00033","NGHFEAKD_01674","JBHNMEAO_01251","OFPOAPDN_00505","AFLICIDC_01294","NAPOKNNJ_00239","FMNDBGIB_01288","MJBBHCGK_01281","EIKGHHBD_00242","MKNLEGFG_03460","HLOGJBDP_00506","JICBPFCI_01901","DPFOFGOO_01441","AAOLMGCP_04236","CLIIGENJ_03038"
"group_5011","","hypothetical protein",581,581,1,1,2227,NA,NA,"",986,986,986,"MDPCJDML_03739","NGHFEAKD_03856","JBHNMEAO_04547","OFPOAPDN_03963","AFLICIDC_02681","NAPOKNNJ_03855","FMNDBGIB_03377","MJBBHCGK_03819","EIKGHHBD_04065","MKNLEGFG_04116","HLOGJBDP_04257","JICBPFCI_02432","DPFOFGOO_03101","AAOLMGCP_03966","CLIIGENJ_04053"
"ubiC","","Chorismate pyruvate-lyase",581,581,1,1,2038,NA,NA,"",497,497,497,"MDPCJDML_04039","NGHFEAKD_02165","JBHNMEAO_01564","OFPOAPDN_01933","AFLICIDC_03886","NAPOKNNJ_02782","FMNDBGIB_03832","MJBBHCGK_02128","EIKGHHBD_01826","MKNLEGFG_03855","HLOGJBDP_01937","JICBPFCI_02771","DPFOFGOO_03202","AAOLMGCP_01080","CLIIGENJ_01258"
"group_5013","","hypothetical protein",581,581,1,1,1736,NA,NA,"",269,269,269,"MDPCJDML_01712","NGHFEAKD_01004","JBHNMEAO_02920","OFPOAPDN_02584","AFLICIDC_00444","NAPOKNNJ_02073","FMNDBGIB_00125","MJBBHCGK_00728","EIKGHHBD_01984","MKNLEGFG_01431","HLOGJBDP_02521","JICBPFCI_00530","DPFOFGOO_00600","AAOLMGCP_01284","CLIIGENJ_02317"
"mntS","","Small protein MntS",581,581,1,1,4263,NA,NA,"",128,128,128,"MDPCJDML_00603","NGHFEAKD_04270","JBHNMEAO_04085","OFPOAPDN_01834","AFLICIDC_03798","NAPOKNNJ_01766","FMNDBGIB_03766","MJBBHCGK_00421","EIKGHHBD_02650","MKNLEGFG_02433","HLOGJBDP_01486","JICBPFCI_03824","DPFOFGOO_04115","AAOLMGCP_04549","CLIIGENJ_03312"
"pyrH","","Uridylate kinase",581,581,1,1,2371,NA,NA,"",725,725,725,"MDPCJDML_03124","NGHFEAKD_02996","JBHNMEAO_03457","OFPOAPDN_03912","AFLICIDC_03944","NAPOKNNJ_03250","FMNDBGIB_03074","MJBBHCGK_03768","EIKGHHBD_03716","MKNLEGFG_03913","HLOGJBDP_03914","JICBPFCI_03936","DPFOFGOO_04150","AAOLMGCP_03617","CLIIGENJ_03867"
"rfaC","","Lipopolysaccharide heptosyltransferase 1",581,581,1,1,1889,NA,NA,"",953,953,953,"MDPCJDML_01570","NGHFEAKD_01147","JBHNMEAO_02696","OFPOAPDN_02442","AFLICIDC_00587","NAPOKNNJ_01931","FMNDBGIB_00267","MJBBHCGK_00586","EIKGHHBD_02127","MKNLEGFG_03290","HLOGJBDP_02663","JICBPFCI_00672","DPFOFGOO_00457","AAOLMGCP_01427","CLIIGENJ_02173"
"lpxA","","Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase",581,581,1,1,2361,NA,NA,"",788,788,788,"MDPCJDML_03114","NGHFEAKD_02986","JBHNMEAO_03467","OFPOAPDN_03922","AFLICIDC_03954","NAPOKNNJ_03260","FMNDBGIB_03064","MJBBHCGK_03778","EIKGHHBD_03726","MKNLEGFG_03923","HLOGJBDP_03924","JICBPFCI_03946","DPFOFGOO_04140","AAOLMGCP_03627","CLIIGENJ_03857"
"group_5018","","hypothetical protein",581,581,1,1,6036,NA,NA,"",275,275,275,"MDPCJDML_02275","NGHFEAKD_02014","JBHNMEAO_01413","OFPOAPDN_02083","AFLICIDC_02473","NAPOKNNJ_02631","FMNDBGIB_02872","MJBBHCGK_02278","EIKGHHBD_01675","MKNLEGFG_03180","HLOGJBDP_02088","JICBPFCI_02657","DPFOFGOO_01272","AAOLMGCP_00930","CLIIGENJ_01408"
"group_5019","","hypothetical protein",581,581,1,1,5320,NA,NA,"",290,290,290,"MDPCJDML_03516","NGHFEAKD_01713","JBHNMEAO_01212","OFPOAPDN_00544","AFLICIDC_01256","NAPOKNNJ_00200","FMNDBGIB_01250","MJBBHCGK_01320","EIKGHHBD_00203","MKNLEGFG_01579","HLOGJBDP_00545","JICBPFCI_01862","DPFOFGOO_01479","AAOLMGCP_03416","CLIIGENJ_02999"
"deoA","","Thymidine phosphorylase",581,581,1,1,6220,NA,NA,"",1322,1322,1322,"MDPCJDML_02452","NGHFEAKD_03624","JBHNMEAO_03079","OFPOAPDN_02259","AFLICIDC_01678","NAPOKNNJ_03989","FMNDBGIB_02078","MJBBHCGK_03185","EIKGHHBD_01499","MKNLEGFG_02650","HLOGJBDP_02264","JICBPFCI_02086","DPFOFGOO_01096","AAOLMGCP_00754","CLIIGENJ_01585"
"group_5021","","hypothetical protein",581,581,1,1,2962,NA,NA,"",797,797,797,"MDPCJDML_01212","NGHFEAKD_00213","JBHNMEAO_00409","OFPOAPDN_01008","AFLICIDC_01504","NAPOKNNJ_00939","FMNDBGIB_04494","MJBBHCGK_02341","EIKGHHBD_01154","MKNLEGFG_00667","HLOGJBDP_01011","JICBPFCI_03248","DPFOFGOO_02270","AAOLMGCP_00410","CLIIGENJ_00407"
"norR_2","","Anaerobic nitric oxide reductase transcription regulator NorR",581,581,1,1,1685,NA,NA,"",1583,1583,1583,"MDPCJDML_01762","NGHFEAKD_00954","JBHNMEAO_02870","OFPOAPDN_02633","AFLICIDC_00394","NAPOKNNJ_02123","FMNDBGIB_00076","MJBBHCGK_00778","EIKGHHBD_01934","MKNLEGFG_01481","HLOGJBDP_02471","JICBPFCI_00480","DPFOFGOO_00650","AAOLMGCP_01235","CLIIGENJ_02367"
"stpA_1","","DNA-binding protein StpA",581,581,1,1,3131,NA,NA,"",401,401,401,"MDPCJDML_01363","NGHFEAKD_00364","JBHNMEAO_00560","OFPOAPDN_00856","AFLICIDC_01974","NAPOKNNJ_00788","FMNDBGIB_01796","MJBBHCGK_02492","EIKGHHBD_01305","MKNLEGFG_00516","HLOGJBDP_00860","JICBPFCI_02960","DPFOFGOO_02421","AAOLMGCP_00561","CLIIGENJ_00558"
"modE","","DNA-binding transcriptional dual regulator ModE",581,581,1,1,4207,NA,NA,"",788,788,788,"MDPCJDML_00548","NGHFEAKD_04325","JBHNMEAO_04030","OFPOAPDN_01890","AFLICIDC_03853","NAPOKNNJ_01821","FMNDBGIB_04059","MJBBHCGK_00476","EIKGHHBD_02595","MKNLEGFG_02378","HLOGJBDP_01431","JICBPFCI_03769","DPFOFGOO_04060","AAOLMGCP_04494","CLIIGENJ_03367"
"aceK","","Isocitrate dehydrogenase kinase/phosphatase",581,581,1,1,2008,NA,NA,"",1751,1751,1751,"MDPCJDML_04011","NGHFEAKD_02193","JBHNMEAO_01592","OFPOAPDN_01905","AFLICIDC_03914","NAPOKNNJ_02810","FMNDBGIB_04309","MJBBHCGK_02100","EIKGHHBD_01854","MKNLEGFG_03883","HLOGJBDP_01909","JICBPFCI_02743","DPFOFGOO_03230","AAOLMGCP_01108","CLIIGENJ_01230"
"pspF","","Psp operon transcriptional activator",581,581,1,1,4912,NA,NA,"",980,980,980,"MDPCJDML_00356","NGHFEAKD_00654","JBHNMEAO_00829","OFPOAPDN_00182","AFLICIDC_00225","NAPOKNNJ_00562","FMNDBGIB_01446","MJBBHCGK_02886","EIKGHHBD_00564","MKNLEGFG_00183","HLOGJBDP_00183","JICBPFCI_03701","DPFOFGOO_00787","AAOLMGCP_03180","CLIIGENJ_01851"
"rlmE","","Ribosomal RNA large subunit methyltransferase E",581,581,1,1,2602,NA,NA,"",626,626,626,"MDPCJDML_03348","NGHFEAKD_03412","JBHNMEAO_00057","OFPOAPDN_01360","AFLICIDC_03045","NAPOKNNJ_01291","FMNDBGIB_02423","MJBBHCGK_01576","EIKGHHBD_00802","MKNLEGFG_00835","HLOGJBDP_01363","JICBPFCI_00349","DPFOFGOO_01734","AAOLMGCP_00057","CLIIGENJ_00056"
"group_5028","","hypothetical protein",581,581,1,1,3087,NA,NA,"",458,458,458,"MDPCJDML_01402","NGHFEAKD_00403","JBHNMEAO_00599","OFPOAPDN_00816","AFLICIDC_02013","NAPOKNNJ_00749","FMNDBGIB_01756","MJBBHCGK_02531","EIKGHHBD_01345","MKNLEGFG_00477","HLOGJBDP_00821","JICBPFCI_02921","DPFOFGOO_02460","AAOLMGCP_00600","CLIIGENJ_00597"
"group_5029","","hypothetical protein",581,581,1,1,2045,NA,NA,"",212,212,212,"MDPCJDML_04045","NGHFEAKD_02158","JBHNMEAO_01557","OFPOAPDN_01940","AFLICIDC_03880","NAPOKNNJ_02775","FMNDBGIB_03839","MJBBHCGK_02135","EIKGHHBD_01819","MKNLEGFG_03848","HLOGJBDP_01944","JICBPFCI_02778","DPFOFGOO_03195","AAOLMGCP_01073","CLIIGENJ_01264"
"ynfM_2","","Inner membrane transport protein YnfM",581,581,1,1,798,NA,NA,"",386,1232,1227,"MDPCJDML_02926","NGHFEAKD_01324","JBHNMEAO_01885","OFPOAPDN_03146","AFLICIDC_01128","NAPOKNNJ_02449","FMNDBGIB_00855","MJBBHCGK_00932","EIKGHHBD_03030","MKNLEGFG_01325","HLOGJBDP_03370","JICBPFCI_01579","DPFOFGOO_02608","AAOLMGCP_02376","CLIIGENJ_01147"
"nagB","","Glucosamine-6-phosphate deaminase",581,581,1,1,320,NA,NA,"",800,800,800,"MDPCJDML_03987","NGHFEAKD_03230","JBHNMEAO_03863","OFPOAPDN_04212","AFLICIDC_02721","NAPOKNNJ_03597","FMNDBGIB_01667","MJBBHCGK_03524","EIKGHHBD_03816","MKNLEGFG_02860","HLOGJBDP_04065","JICBPFCI_01742","DPFOFGOO_03361","AAOLMGCP_03774","CLIIGENJ_00736"
"uhpT","","Hexose-6-phosphate:phosphate antiporter",581,581,1,1,1463,NA,NA,"",1391,1391,1391,"MDPCJDML_01497","NGHFEAKD_01220","JBHNMEAO_02769","OFPOAPDN_02369","AFLICIDC_03451","NAPOKNNJ_01858","FMNDBGIB_03478","MJBBHCGK_00513","EIKGHHBD_02200","MKNLEGFG_04162","HLOGJBDP_02736","JICBPFCI_00745","DPFOFGOO_00384","AAOLMGCP_01500","CLIIGENJ_02100"
"nusA","","Transcription termination/antitermination protein NusA",581,581,1,1,2612,NA,NA,"",1502,1502,1502,"MDPCJDML_03358","NGHFEAKD_03422","JBHNMEAO_00067","OFPOAPDN_01350","AFLICIDC_03055","NAPOKNNJ_01281","FMNDBGIB_02433","MJBBHCGK_01586","EIKGHHBD_00812","MKNLEGFG_00845","HLOGJBDP_01353","JICBPFCI_00339","DPFOFGOO_01744","AAOLMGCP_00067","CLIIGENJ_00066"
"rpoN","","RNA polymerase sigma-54 factor",581,581,1,1,2577,NA,NA,"",1433,1433,1433,"MDPCJDML_03324","NGHFEAKD_03388","JBHNMEAO_00033","OFPOAPDN_01384","AFLICIDC_03021","NAPOKNNJ_01315","FMNDBGIB_02399","MJBBHCGK_01552","EIKGHHBD_00778","MKNLEGFG_00811","HLOGJBDP_01387","JICBPFCI_00373","DPFOFGOO_01710","AAOLMGCP_00033","CLIIGENJ_00032"
"kdgT_2","","2-keto-3-deoxygluconate permease",581,581,1,1,347,NA,NA,"",953,953,953,"MDPCJDML_03954","NGHFEAKD_03263","JBHNMEAO_03830","OFPOAPDN_04179","AFLICIDC_02754","NAPOKNNJ_03564","FMNDBGIB_01634","MJBBHCGK_03557","EIKGHHBD_03849","MKNLEGFG_02893","HLOGJBDP_04032","JICBPFCI_01709","DPFOFGOO_03328","AAOLMGCP_03741","CLIIGENJ_00769"
"yfcQ_1","","putative fimbrial-like protein YfcQ",581,581,1,1,2953,NA,NA,"",485,485,485,"MDPCJDML_01203","NGHFEAKD_00204","JBHNMEAO_00400","OFPOAPDN_01017","AFLICIDC_01495","NAPOKNNJ_00948","FMNDBGIB_01195","MJBBHCGK_04046","EIKGHHBD_01145","MKNLEGFG_00676","HLOGJBDP_01020","JICBPFCI_00005","DPFOFGOO_03703","AAOLMGCP_00401","CLIIGENJ_00398"
"group_5036","","hypothetical protein",581,581,1,1,3086,NA,NA,"",341,341,341,"MDPCJDML_01403","NGHFEAKD_00404","JBHNMEAO_00600","OFPOAPDN_00815","AFLICIDC_02014","NAPOKNNJ_00748","FMNDBGIB_01755","MJBBHCGK_02532","EIKGHHBD_01346","MKNLEGFG_00476","HLOGJBDP_00820","JICBPFCI_02920","DPFOFGOO_02461","AAOLMGCP_00601","CLIIGENJ_00598"
"rpsB","","30S ribosomal protein S2",581,581,1,1,2373,NA,NA,"",725,725,725,"MDPCJDML_03126","NGHFEAKD_02998","JBHNMEAO_03455","OFPOAPDN_03910","AFLICIDC_03942","NAPOKNNJ_03248","FMNDBGIB_03076","MJBBHCGK_03766","EIKGHHBD_03714","MKNLEGFG_03911","HLOGJBDP_03912","JICBPFCI_03934","DPFOFGOO_04152","AAOLMGCP_03615","CLIIGENJ_03869"
"group_5038","","hypothetical protein",581,581,1,1,771,NA,NA,"",194,194,194,"MDPCJDML_02952","NGHFEAKD_01350","JBHNMEAO_01911","OFPOAPDN_03172","AFLICIDC_01102","NAPOKNNJ_02423","FMNDBGIB_00881","MJBBHCGK_00958","EIKGHHBD_03056","MKNLEGFG_01299","HLOGJBDP_03344","JICBPFCI_01553","DPFOFGOO_02634","AAOLMGCP_02403","CLIIGENJ_01121"
"prpR_1","","Propionate catabolism operon regulatory protein",581,581,1,1,758,NA,NA,"",944,944,944,"MDPCJDML_02964","NGHFEAKD_01363","JBHNMEAO_01923","OFPOAPDN_03184","AFLICIDC_01090","NAPOKNNJ_02411","FMNDBGIB_00893","MJBBHCGK_00970","EIKGHHBD_03068","MKNLEGFG_01287","HLOGJBDP_03332","JICBPFCI_01541","DPFOFGOO_02646","AAOLMGCP_02415","CLIIGENJ_01109"
"group_5040","","hypothetical protein",581,581,1,1,4647,NA,NA,"",224,224,224,"MDPCJDML_00948","NGHFEAKD_02892","JBHNMEAO_02526","OFPOAPDN_01489","AFLICIDC_03171","NAPOKNNJ_01421","FMNDBGIB_02206","MJBBHCGK_00074","EIKGHHBD_04159","MKNLEGFG_03522","HLOGJBDP_01831","JICBPFCI_04041","DPFOFGOO_02048","AAOLMGCP_01599","CLIIGENJ_03763"
"yeaR_1","","putative protein YeaR",581,581,1,1,4788,NA,NA,"",341,341,341,"MDPCJDML_00474","NGHFEAKD_00536","JBHNMEAO_00947","OFPOAPDN_00064","AFLICIDC_04195","NAPOKNNJ_00680","FMNDBGIB_03429","MJBBHCGK_03004","EIKGHHBD_00683","MKNLEGFG_00065","HLOGJBDP_00065","JICBPFCI_03468","DPFOFGOO_03920","AAOLMGCP_04051","CLIIGENJ_01733"
"group_5042","","hypothetical protein",581,581,1,1,71,NA,NA,"",1085,1085,1085,"MDPCJDML_02473","NGHFEAKD_03645","JBHNMEAO_03100","OFPOAPDN_02280","AFLICIDC_01699","NAPOKNNJ_04010","FMNDBGIB_02099","MJBBHCGK_03206","EIKGHHBD_01478","MKNLEGFG_02671","HLOGJBDP_02285","JICBPFCI_02107","DPFOFGOO_01075","AAOLMGCP_00733","CLIIGENJ_01606"
"murA","","UDP-N-acetylglucosamine 1-carboxyvinyltransferase",581,581,1,1,2590,NA,NA,"",1259,1259,1259,"MDPCJDML_03337","NGHFEAKD_03401","JBHNMEAO_00046","OFPOAPDN_01371","AFLICIDC_03034","NAPOKNNJ_01302","FMNDBGIB_02412","MJBBHCGK_01565","EIKGHHBD_00791","MKNLEGFG_00824","HLOGJBDP_01374","JICBPFCI_00360","DPFOFGOO_01723","AAOLMGCP_00046","CLIIGENJ_00045"
"group_5044","","hypothetical protein",581,581,1,1,2276,NA,NA,"",395,395,395,"MDPCJDML_03785","NGHFEAKD_03902","JBHNMEAO_03660","OFPOAPDN_04009","AFLICIDC_02635","NAPOKNNJ_03901","FMNDBGIB_03255","MJBBHCGK_03865","EIKGHHBD_04019","MKNLEGFG_03672","HLOGJBDP_04211","JICBPFCI_02386","DPFOFGOO_03055","AAOLMGCP_03920","CLIIGENJ_04099"
"plaP","","Low-affinity putrescine importer PlaP",581,581,1,1,5733,NA,NA,"",1358,1358,1358,"MDPCJDML_02675","NGHFEAKD_02324","JBHNMEAO_01765","OFPOAPDN_03574","AFLICIDC_04103","NAPOKNNJ_02988","FMNDBGIB_04222","MJBBHCGK_02676","EIKGHHBD_03377","MKNLEGFG_01837","HLOGJBDP_03622","JICBPFCI_01380","DPFOFGOO_02903","AAOLMGCP_02826","CLIIGENJ_03546"
"group_5046","","hypothetical protein",581,581,1,1,5444,NA,NA,"",539,539,539,"MDPCJDML_03636","NGHFEAKD_01833","JBHNMEAO_01092","OFPOAPDN_00664","AFLICIDC_03355","NAPOKNNJ_00080","FMNDBGIB_02024","MJBBHCGK_01440","EIKGHHBD_00083","MKNLEGFG_01699","HLOGJBDP_00665","JICBPFCI_03053","DPFOFGOO_01599","AAOLMGCP_03296","CLIIGENJ_02879"
"narH","","Respiratory nitrate reductase 1 beta chain",581,581,1,1,4836,NA,NA,"",1538,1538,1538,"MDPCJDML_00428","NGHFEAKD_00582","JBHNMEAO_00901","OFPOAPDN_00110","AFLICIDC_00297","NAPOKNNJ_00634","FMNDBGIB_01518","MJBBHCGK_02958","EIKGHHBD_00636","MKNLEGFG_00111","HLOGJBDP_00111","JICBPFCI_03514","DPFOFGOO_00715","AAOLMGCP_04099","CLIIGENJ_01779"
